CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2013,Aleutians East Borough,3304,2198,1106,12.0,15.0,9.2,29.0,30.5,1.1,1874,61518.0,2684.0,16.8,23.2,13.6,9.4,7.2,14.2,55.6,18.4,4.9,0.5,71.2,2.2,2.8,4.9,2519,78.6,15.4,5.9,0.2,2.9
2016,Aleutians West Census Area,5684,3393,2291,11.0,27.8,4.6,12.9,36.8,2.4,3423,84306.0,4743.0,9.1,9.0,16.9,10.5,17.6,14.1,40.9,42.3,7.1,0.0,42.5,3.2,4.9,7.6,3787,77.9,18.9,3.2,0.0,2.1
2020,Anchorage Municipality,299107,153122,145985,8.6,60.3,5.5,6.3,8.7,2.1,212908,78326.0,1872.0,8.2,12.4,39.7,17.7,23.9,9.4,9.3,75.4,11.9,1.9,3.1,4.0,3.7,19.5,152355,73.3,20.9,5.7,0.1,6.7
2050,Bethel Census Area,17776,9351,8425,1.8,11.3,0.8,80.6,1.2,0.3,11295,51012.0,2526.0,25.2,31.0,35.2,19.3,24.4,8.1,13.0,26.5,12.7,0.5,33.0,22.6,4.8,7.4,6232,53.2,44.8,2.0,0.0,17.6
2060,Bristol Bay Borough,970,553,417,7.1,53.4,0.5,29.0,0.7,0.2,725,79750.0,8886.0,7.2,8.4,33.1,18.7,20.5,12.9,14.8,65.6,17.3,0.2,8.9,3.0,5.0,10.4,541,49.7,39.2,11.1,0.0,5.4
2068,Denali Borough,2060,1126,934,2.6,84.7,0.6,3.5,2.9,0.0,1548,81544.0,6321.0,12.7,5.6,30.3,30.4,12.6,15.8,10.9,43.9,8.4,0.9,17.8,2.4,26.7,17.9,1210,66.4,24.5,7.9,1.2,2.3
2070,Dillingham Census Area,4979,2589,2390,2.9,17.7,0.3,71.7,1.4,0.0,3365,54173.0,1651.0,18.1,24.6,38.1,15.4,22.7,11.6,12.1,37.7,16.0,1.1,20.3,17.7,7.2,8.8,1854,58.5,37.8,3.7,0.0,12.5
2090,Fairbanks North Star Borough,99705,53477,46228,7.4,71.9,4.1,5.7,2.6,0.6,72964,71068.0,1964.0,8.1,9.9,36.6,17.0,23.4,12.9,10.1,74.0,14.3,1.5,3.6,3.3,3.4,19.2,46661,65.8,29.9,4.1,0.2,7.9
2100,Haines Borough,2560,1387,1173,1.5,79.6,0.0,6.4,3.0,0.0,2058,58750.0,18270.0,5.3,4.3,34.0,20.6,20.6,10.6,14.1,58.5,15.4,1.6,8.1,9.0,7.4,8.2,1470,69.0,19.7,10.3,1.0,3.0
2105,Hoonah-Angoon Census Area,2128,1129,999,2.2,49.3,2.2,32.4,2.6,0.0,1686,52419.0,7157.0,11.9,29.2,35.6,18.1,16.5,18.1,11.6,37.5,9.8,1.8,29.3,10.5,11.0,9.0,1086,53.5,30.9,15.6,0.0,13.1
2110,Juneau City and Borough,32531,16645,15886,6.1,66.0,1.2,11.8,6.2,1.1,24246,85746.0,2129.0,6.6,11.0,45.4,14.3,22.0,10.7,7.7,68.9,15.9,4.4,5.8,2.2,2.8,15.1,17836,53.3,38.8,7.7,0.1,5.2
2122,Kenai Peninsula Borough,57221,29974,27247,3.7,81.7,0.6,7.3,1.3,0.1,43435,63684.0,2337.0,10.0,11.8,29.9,19.0,22.2,16.9,12.0,67.4,11.0,0.7,5.9,8.1,6.8,19.7,25637,72.2,17.4,9.8,0.5,9.4
2130,Ketchikan Gateway Borough,13699,7038,6661,4.8,65.0,0.4,13.6,7.3,0.1,10217,64222.0,3557.0,12.1,15.6,30.4,16.3,26.7,12.8,13.8,63.8,18.0,2.9,10.5,2.3,2.5,13.0,6655,62.7,29.5,7.3,0.6,7.9
2150,Kodiak Island Borough,13973,7468,6505,8.5,51.4,0.4,13.3,21.3,0.9,9238,70887.0,5665.0,11.3,12.7,27.1,21.3,19.3,9.4,22.9,61.3,16.9,0.6,12.2,4.7,4.3,11.3,7032,65.0,25.3,9.4,0.3,6.3
2158,Kusilvak Census Area,7914,4200,3714,1.0,4.5,0.4,87.4,0.4,0.1,4680,38229.0,1809.0,33.3,39.7,29.9,22.8,22.4,14.6,10.3,5.2,3.3,0.1,47.6,39.1,4.7,5.9,2067,45.4,53.8,0.5,0.3,28.6
2164,Lake and Peninsula Borough,1474,731,743,2.2,21.0,0.5,67.6,3.2,0.7,974,50781.0,9403.0,16.8,23.5,34.1,20.7,13.4,16.3,15.5,21.2,6.8,1.1,36.2,32.4,2.4,6.0,657,42.2,51.6,6.1,0.2,9.8
2170,Matanuska-Susitna Borough,96178,50205,45973,4.5,80.8,1.0,5.1,1.4,0.3,68242,72983.0,1577.0,10.0,12.5,32.8,16.6,22.3,17.9,10.5,72.0,12.5,1.1,1.9,6.8,5.7,34.0,40854,70.6,21.5,7.8,0.2,9.8
2180,Nome Census Area,9854,5272,4582,2.0,16.5,0.7,69.8,1.2,0.2,6377,48868.0,1988.0,27.0,32.5,34.7,22.4,22.1,11.4,9.4,25.8,10.0,0.3,36.9,22.7,4.3,7.0,3654,50.6,44.0,5.2,0.2,16.5
2185,North Slope Borough,9667,6172,3495,3.6,32.2,0.5,47.4,5.3,5.6,6892,72576.0,8046.0,10.2,14.7,24.0,15.0,18.4,25.0,17.5,20.1,17.0,2.8,37.9,7.9,14.3,8.4,5499,73.8,25.2,0.9,0.0,9.3
2188,Northwest Arctic Borough,7732,4165,3567,1.8,11.8,0.3,81.5,0.8,0.0,4953,63648.0,2525.0,23.8,30.2,33.8,18.2,22.4,14.9,10.8,16.5,10.4,0.4,46.9,21.2,4.6,7.4,2593,54.0,43.7,2.1,0.2,21.9
