CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
4001,Apache,72124,35663,36461,6.3,19.3,0.6,71.7,0.4,0.1,49827,31757.0,1377.0,486,36.6,45.0,28.8,25.7,20.4,13.4,11.8,76.6,10.2,0.6,5.0,1.4,6.3,28.8,18334,50.2,45.0,4.7,0.1,18.2
4003,Cochise,129647,66100,63547,33.9,56.7,3.6,0.8,1.7,0.1,93583,45075.0,1485.0,778,17.9,24.9,33.7,24.9,23.4,10.3,7.6,77.6,10.0,0.5,3.8,2.6,5.5,19.3,43776,63.2,30.5,6.1,0.2,8.7
4005,Coconino,136701,67553,69148,13.8,54.7,1.4,26.0,1.6,0.1,102071,50234.0,1876.0,878,22.7,26.3,34.7,22.5,23.5,8.4,10.9,68.7,11.4,1.9,8.6,4.5,5.0,18.7,64844,72.2,23.3,4.4,0.1,8.8
4007,Gila,53165,26436,26729,18.6,63.7,0.6,15.1,0.6,0.0,41195,39751.0,1776.0,850,22.7,38.5,29.4,23.1,22.2,15.4,10.0,77.8,11.5,0.4,3.1,2.3,4.8,21.0,17961,72.2,23.1,4.6,0.2,12.8
4009,Graham,37407,20049,17358,31.8,51.7,1.9,12.9,0.6,0.1,25820,45964.0,2599.0,871,22.6,29.1,29.8,21.3,20.9,16.1,11.9,76.7,13.5,1.2,2.7,2.2,3.7,21.3,11954,71.1,25.0,3.8,0.1,14.1
4011,Greenlee,9023,4748,4275,47.0,47.2,1.4,2.8,0.4,0.0,6186,51628.0,5310.0,1533,13.7,17.7,26.4,12.7,13.6,31.4,15.9,80.2,13.0,0.0,1.9,1.8,3.0,18.5,3346,81.5,14.3,4.2,0.0,10.0
4012,La Paz,20335,10378,9957,25.5,59.9,0.2,12.2,0.8,0.3,15181,34466.0,4358.0,1449,19.1,33.8,25.2,21.7,21.8,20.6,10.7,74.6,9.5,0.6,5.9,2.0,7.4,11.7,6386,60.8,31.3,7.9,0.0,11.2
4013,Maricopa,4018143,1986158,2031985,30.1,57.3,4.9,1.6,3.7,0.2,2659853,54229.0,365.0,173,17.0,24.4,36.6,18.4,27.2,8.4,9.5,76.5,11.0,2.4,1.6,2.6,5.9,25.5,1821038,82.5,11.7,5.7,0.2,7.7
4015,Mohave,203362,102371,100991,15.6,78.2,1.0,1.7,1.1,0.1,156544,38488.0,1064.0,567,19.8,30.8,25.0,25.2,27.4,10.5,12.0,78.1,14.2,0.5,1.9,2.5,2.8,19.3,66880,78.3,15.0,6.4,0.3,13.2
4017,Navajo,107656,53984,53672,11.1,42.6,0.5,43.1,0.6,0.1,75710,35921.0,1585.0,649,30.6,40.4,28.5,25.6,22.7,11.6,11.6,72.0,13.2,1.5,3.7,2.3,7.3,22.3,31955,61.1,31.3,7.4,0.3,19.8
4019,Pima,998537,491108,507429,35.7,53.7,3.3,2.4,2.6,0.1,715163,46162.0,620.0,261,19.3,27.5,36.0,21.7,25.0,8.9,8.4,76.6,9.9,2.8,2.5,3.7,4.6,24.4,422371,74.9,18.3,6.6,0.2,10.0
4021,Pinal,389772,202502,187270,29.1,58.0,4.4,4.7,1.6,0.4,269267,49477.0,1077.0,421,17.3,25.5,30.5,22.2,24.8,11.0,11.6,78.5,12.1,0.2,1.3,2.4,5.5,31.2,134182,76.2,18.5,5.0,0.2,10.6
4023,Santa Cruz,47073,22566,24507,82.8,15.6,0.2,0.1,1.0,0.1,26735,40140.0,2637.0,999,23.5,29.8,26.8,18.6,31.6,10.1,12.9,81.3,9.3,0.2,2.1,1.9,5.3,21.7,17246,68.0,20.5,11.0,0.5,11.3
4025,Yavapai,215996,105693,110303,14.1,81.1,0.6,1.6,0.8,0.0,170343,44748.0,1150.0,509,16.0,23.4,31.3,22.9,24.0,11.9,9.8,74.0,13.2,0.4,3.1,2.2,7.2,23.2,81511,76.3,14.2,9.4,0.1,10.0
4027,Yuma,202987,103779,99208,61.1,33.5,1.9,1.0,1.2,0.1,119116,40743.0,1111.0,504,20.7,29.0,25.0,24.1,22.9,16.3,11.8,79.6,11.4,1.0,2.8,1.9,3.3,18.9,71622,73.1,21.9,4.9,0.1,13.1
