CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
5001,Arkansas,18731,8936,9795,2.9,70.3,25.3,0.1,0.4,0.0,14064,36411.0,2766.0,20.1,30.4,26.8,17.0,20.8,8.7,26.7,80.9,13.0,0.3,2.1,1.4,2.4,15.1,8088,76.4,15.3,7.7,0.6,8.3
5003,Ashley,21229,10185,11044,5.1,67.9,26.0,0.3,0.1,0.0,15892,34263.0,2352.0,20.7,28.4,28.0,17.5,18.7,12.2,23.6,86.3,6.3,0.4,1.7,2.7,2.7,18.5,7840,76.6,18.0,4.8,0.5,11.8
5005,Baxter,41040,19811,21229,1.9,95.3,0.3,0.6,0.5,0.0,33474,35396.0,2040.0,15.9,25.7,29.2,19.7,23.3,8.5,19.3,84.6,8.9,0.4,1.3,0.8,4.0,17.1,15229,78.9,12.8,8.3,0.0,7.6
5007,Benton,238198,117781,120417,16.0,75.0,1.5,1.4,3.4,0.4,156678,56239.0,1291.0,12.2,18.2,35.2,13.5,26.5,9.3,15.5,83.4,9.3,0.2,1.6,1.0,4.5,19.9,109788,85.9,8.0,5.9,0.1,4.2
5009,Boone,37227,18138,19089,2.2,94.5,0.4,0.7,0.5,0.0,28663,39251.0,1797.0,17.7,25.1,30.7,18.9,25.4,10.9,14.1,85.2,9.2,0.0,1.2,1.9,2.5,20.3,15368,78.0,12.6,8.9,0.5,8.4
5011,Bradley,11206,5534,5672,14.0,57.0,28.6,0.0,0.0,0.0,8034,33701.0,2360.0,29.0,47.0,25.6,17.0,21.1,16.1,20.2,79.7,11.6,0.6,0.6,1.9,5.6,22.1,4180,72.8,21.6,5.6,0.0,9.4
5013,Calhoun,5245,2692,2553,3.5,73.0,22.2,0.1,0.2,0.0,4216,36899.0,6334.0,17.8,23.2,22.0,15.6,17.9,18.5,25.9,85.4,7.8,0.3,2.6,0.9,3.0,26.7,2243,74.9,17.7,7.4,0.0,7.2
5015,Carroll,27635,13535,14100,14.3,81.6,0.4,0.3,0.4,1.2,20067,36897.0,2308.0,18.3,27.2,27.5,16.7,19.1,12.7,24.0,78.5,11.6,0.0,4.4,0.6,4.8,19.6,11454,78.5,11.1,10.2,0.2,6.2
5017,Chicot,11353,5577,5776,5.3,39.5,53.9,0.4,0.3,0.0,8537,28913.0,2578.0,31.7,44.4,27.9,20.5,26.6,11.8,13.3,81.3,11.0,1.1,2.4,3.7,0.4,20.4,3769,66.6,24.8,8.6,0.0,11.5
5019,Clark,22751,10786,11965,4.3,69.6,23.9,0.1,0.8,0.0,17967,35031.0,2501.0,23.7,32.6,35.0,21.1,22.4,7.4,14.0,79.2,10.7,0.4,4.1,1.3,4.3,21.5,9780,73.1,21.2,5.3,0.3,8.4
