CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6001,Alameda,1584983,776699,808284,22.6,33.0,11.3,0.3,27.5,0.8,1025865,75619.0,613.0,12.5,15.2,46.6,16.2,21.5,6.5,9.3,63.6,9.9,13.6,3.7,3.5,5.6,30.7,778132,78.7,13.8,7.4,0.1,8.3
6003,Alpine,1131,654,477,9.5,64.1,1.0,19.4,1.2,1.4,865,52917.0,13603.0,17.5,8.5,37.3,20.3,17.9,10.3,14.2,62.5,13.7,0.0,8.4,1.8,13.7,24.3,408,57.4,32.8,9.8,0.0,10.7
6005,Amador,36995,20012,16983,12.9,79.7,2.2,1.8,1.4,0.1,30376,54171.0,4208.0,12.8,22.5,30.9,22.9,25.3,10.3,10.6,79.1,10.3,0.5,3.6,0.9,5.6,29.3,12573,64.5,23.4,11.8,0.3,14.0
6007,Butte,222564,110115,112449,15.2,73.8,1.4,0.7,4.3,0.2,169724,43444.0,1068.0,21.9,23.9,34.6,23.3,23.7,9.1,9.3,75.2,10.3,1.1,3.7,3.9,5.8,19.9,89411,71.8,17.3,10.5,0.5,12.1
6009,Calaveras,44767,22143,22624,11.1,82.5,0.6,0.9,0.9,0.3,35415,53233.0,3774.0,12.6,13.3,36.1,18.9,20.7,12.4,11.8,79.1,10.4,0.3,1.9,0.8,7.5,33.6,16248,65.2,20.3,13.9,0.6,12.1
6011,Colusa,21396,11129,10267,57.4,37.5,0.6,1.0,2.0,0.2,12114,52168.0,2583.0,15.0,22.2,24.7,17.0,18.0,26.4,13.8,76.8,14.6,0.3,2.3,1.1,4.9,22.6,8837,75.6,15.5,8.8,0.1,10.4
6013,Contra Costa,1096068,534618,561450,24.9,46.0,8.6,0.3,15.1,0.5,720881,80185.0,827.0,10.9,14.0,42.9,17.5,23.6,8.2,7.7,68.9,11.6,10.1,1.7,1.9,5.8,35.3,509920,77.5,13.6,8.7,0.2,8.8
6015,Del Norte,27788,15418,12370,19.1,63.3,2.8,4.8,2.1,0.3,21078,40847.0,4369.0,21.8,29.0,33.9,31.5,18.8,8.9,6.8,74.8,12.9,0.6,3.5,2.3,5.9,14.1,8612,57.0,32.7,10.0,0.4,11.5
6017,El Dorado,182093,90970,91123,12.5,79.0,0.9,0.6,3.9,0.1,135584,69584.0,1835.0,10.4,13.3,40.2,19.2,24.9,8.7,7.1,76.2,9.7,1.7,2.5,2.2,7.8,28.4,79568,71.8,16.8,11.1,0.2,11.1
6019,Fresno,956749,477316,479433,51.6,31.2,4.7,0.5,9.6,0.1,559092,45233.0,692.0,26.8,38.2,28.6,19.2,23.2,15.3,13.7,76.9,12.8,1.3,1.9,2.9,4.2,22.1,374564,75.4,17.8,6.7,0.2,13.2
6021,Glenn,28029,14168,13861,39.6,53.7,0.9,1.7,2.5,0.3,17146,39349.0,4204.0,20.8,27.3,21.9,21.1,18.7,24.7,13.6,76.2,12.3,0.3,3.6,2.1,5.5,21.8,10523,68.1,19.8,10.9,1.1,12.6
6023,Humboldt,135034,67533,67501,10.6,75.7,1.1,4.6,2.6,0.3,104456,42197.0,1183.0,21.4,23.7,34.0,22.5,23.3,11.0,9.1,72.3,9.4,1.7,6.7,2.8,7.2,18.1,58449,63.8,22.0,14.0,0.3,10.5
6025,Imperial,178206,91167,87039,81.8,12.6,2.5,0.7,1.4,0.1,98226,41079.0,1556.0,24.0,31.0,23.5,24.1,25.1,14.7,12.5,80.0,10.5,1.1,2.1,2.4,4.0,21.3,58391,66.6,27.8,5.2,0.4,17.4
6027,Inyo,18373,9214,9159,20.6,64.8,1.0,10.2,1.3,0.6,13642,45955.0,2280.0,11.4,14.1,31.5,22.3,25.8,10.1,10.3,69.6,9.5,0.8,9.2,5.5,5.4,14.6,8370,62.4,28.1,9.5,0.0,6.8
6029,Kern,865736,444547,421189,51.0,36.6,5.3,0.6,4.4,0.1,499713,49026.0,865.0,23.5,33.0,25.6,18.9,21.0,20.8,13.7,77.8,13.9,1.1,1.4,2.9,2.9,23.6,327294,76.3,17.2,6.2,0.2,12.7
6031,Kings,150998,83958,67040,52.6,34.1,5.9,0.7,3.5,0.2,92064,46481.0,1200.0,22.6,32.1,25.1,22.4,19.5,19.6,13.5,76.0,15.5,0.9,2.7,1.7,3.2,21.1,50960,68.2,25.7,5.9,0.2,13.0
6033,Lake,64158,32146,32012,18.5,72.6,2.1,3.0,1.3,0.3,48212,35578.0,2034.0,24.7,32.8,27.1,25.7,23.3,14.7,9.2,73.6,10.5,0.7,3.3,0.8,11.2,28.6,23011,66.0,22.2,11.7,0.2,14.6
6035,Lassen,32645,21818,10827,18.3,65.9,8.4,2.8,1.4,0.7,26125,51555.0,2789.0,16.4,23.6,29.1,29.1,19.4,10.1,12.3,77.2,10.8,1.2,4.3,1.6,4.8,20.6,9082,42.6,50.5,6.8,0.1,10.9
6037,Los Angeles,10038388,4945351,5093037,48.2,26.9,8.0,0.2,14.0,0.2,6046749,56196.0,270.0,18.2,25.8,35.7,19.1,24.6,7.8,12.8,73.0,9.9,6.8,2.8,2.3,5.1,30.0,4635465,79.0,11.5,9.4,0.2,10.0
6039,Madera,153187,73863,79324,55.6,36.3,3.2,1.1,2.0,0.1,87708,45073.0,1837.0,23.5,33.6,25.3,17.0,20.8,23.5,13.3,77.1,13.2,0.3,2.5,2.2,4.7,25.5,53032,76.5,16.0,7.4,0.1,7.5
6041,Marin,258349,126460,131889,15.8,72.0,2.4,0.2,5.6,0.2,181699,93257.0,2610.0,8.3,10.3,51.4,15.8,22.8,5.6,4.4,65.2,9.0,9.9,3.2,2.6,10.1,30.2,129027,73.8,10.8,15.4,0.1,5.7
6043,Mariposa,17789,8931,8858,10.1,81.7,1.1,2.3,1.3,0.1,14196,47681.0,4294.0,15.1,19.6,31.2,30.5,21.0,9.3,8.1,68.4,9.3,2.9,6.9,3.5,9.0,33.1,7329,60.3,27.8,10.5,1.5,11.6
6045,Mendocino,87544,43827,43717,23.6,66.7,0.6,3.4,1.9,0.2,61868,42980.0,1757.0,20.4,28.1,30.3,21.8,24.9,14.0,9.0,73.7,10.9,0.5,5.5,1.9,7.5,18.9,36848,64.9,19.1,15.4,0.6,12.2
6047,Merced,263885,133152,130733,56.9,29.9,3.2,0.2,7.4,0.2,144588,42462.0,1214.0,26.1,37.7,22.7,18.6,21.2,20.2,17.4,76.8,12.9,0.8,2.2,3.4,3.9,26.1,96170,76.7,16.2,7.0,0.2,16.2
6049,Modoc,9184,4664,4520,14.6,77.8,0.5,3.5,0.9,0.0,6860,37860.0,4210.0,18.8,18.6,40.7,14.7,18.1,18.0,8.5,66.2,12.1,0.5,6.7,1.8,12.8,15.4,3334,56.5,31.3,11.6,0.6,8.6
6051,Mono,14146,7311,6835,27.3,66.5,0.4,1.6,1.1,0.0,9474,56944.0,10734.0,4.9,5.8,42.1,25.1,18.8,8.4,5.5,48.0,6.2,12.0,14.2,6.7,12.9,18.9,7061,62.4,25.9,10.8,0.9,13.4
6053,Monterey,428441,219299,209142,56.9,31.5,2.6,0.3,5.9,0.5,229007,58783.0,1121.0,17.0,25.1,27.6,20.5,20.7,20.0,11.2,70.5,11.9,2.1,3.1,8.0,4.5,22.3,177333,76.6,15.1,8.2,0.2,8.4
6055,Napa,140295,69798,70497,33.3,54.2,2.0,0.2,7.6,0.2,91161,71379.0,2063.0,10.3,13.3,34.8,22.0,20.8,11.6,10.8,76.0,11.5,1.3,4.3,1.4,5.5,23.6,68587,76.8,12.5,10.5,0.1,7.5
6057,Nevada,98570,48668,49902,9.0,85.7,0.5,0.9,1.4,0.1,77833,56521.0,2539.0,12.7,17.1,39.1,21.6,23.0,9.3,7.0,75.1,8.2,1.2,2.1,2.3,11.1,25.0,41473,68.1,14.7,16.8,0.5,9.8
6059,Orange,3116069,1539600,1576469,34.2,42.4,1.5,0.2,18.8,0.3,1961585,76509.0,426.0,12.8,17.6,40.1,17.5,25.6,6.8,10.1,78.4,9.8,2.5,2.0,2.1,5.2,26.8,1508753,81.8,10.2,7.8,0.2,7.6
