CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
8001,Adams,471206,237107,234099,38.6,52.1,3.0,0.5,3.7,0.1,295079,58946.0,1016.0,13.8,19.1,29.5,18.7,24.5,13.4,13.9,77.6,12.0,3.7,1.2,1.2,4.4,28.8,229743,83.6,11.3,5.0,0.1,7.9
8003,Alamosa,16269,7972,8297,45.7,49.3,1.6,1.2,1.0,0.0,11392,32395.0,6782.0,28.9,36.5,30.2,19.8,25.0,16.1,8.9,73.0,13.8,0.5,7.7,3.0,2.2,13.7,6283,67.6,26.9,5.4,0.1,10.4
8005,Arapahoe,608310,299103,309207,18.7,62.2,9.9,0.3,5.3,0.2,411357,63265.0,942.0,11.2,15.4,41.2,16.5,26.1,7.8,8.5,78.1,8.5,4.7,1.5,1.3,5.9,27.4,311498,82.6,11.6,5.6,0.2,7.2
8007,Archuleta,12174,6202,5972,18.5,77.2,0.6,2.1,0.7,0.0,9676,46646.0,4453.0,11.7,22.8,39.7,15.6,21.4,15.4,7.9,71.6,13.4,0.2,3.8,1.7,9.3,20.6,5506,66.3,14.8,18.3,0.6,8.2
8009,Baca,3701,1776,1925,9.8,86.5,1.1,1.2,0.1,0.1,2859,38000.0,3517.0,20.5,32.7,38.0,20.2,15.2,17.6,9.0,69.0,10.1,0.0,10.1,1.9,8.9,14.6,1702,52.1,29.1,17.2,1.6,4.5
8011,Bent,5895,4046,1849,31.3,55.8,9.2,2.4,0.7,0.0,4627,36791.0,5397.0,25.6,36.8,35.5,26.7,12.4,18.4,7.0,78.0,8.9,0.0,3.7,1.3,8.1,17.9,1212,46.0,38.4,15.3,0.2,8.3
8013,Boulder,310032,155795,154237,13.7,78.5,0.8,0.2,4.3,0.0,228765,70961.0,1552.0,14.1,13.2,52.3,15.7,20.3,5.1,6.5,65.2,7.7,5.3,5.0,5.7,11.1,22.5,166701,78.0,13.4,8.5,0.2,6.1
8014,Broomfield,60699,30075,30624,11.9,78.2,0.9,0.2,5.9,0.0,43009,81898.0,2803.0,6.5,8.5,51.4,11.5,24.2,6.1,6.9,78.7,7.1,4.0,1.0,1.7,7.6,28.3,31807,79.9,13.8,6.0,0.2,5.5
8015,Chaffee,18309,9798,8511,10.1,85.4,2.0,0.7,0.3,0.0,15187,51092.0,2278.0,8.7,12.3,36.1,18.2,25.6,13.0,7.1,69.5,8.6,0.2,4.2,6.0,11.6,15.1,8170,69.6,18.5,10.6,1.3,5.9
8017,Cheyenne,2002,1051,951,12.9,84.5,0.3,0.1,1.5,0.0,1383,52554.0,3744.0,8.6,4.7,38.8,12.2,18.6,18.3,12.0,73.1,8.2,0.0,6.1,2.0,10.5,12.4,932,57.1,26.0,16.6,0.3,9.3
8019,Clear Creek,9136,4724,4412,5.5,90.7,1.3,0.0,0.6,0.4,7506,67710.0,3884.0,8.3,10.3,36.8,17.6,24.5,11.2,9.9,68.2,9.6,1.2,5.5,2.5,13.0,33.3,5114,72.1,18.2,8.9,0.8,5.4
8021,Conejos,8249,4111,4138,54.4,43.3,0.1,1.6,0.2,0.2,5809,36652.0,4979.0,18.3,19.8,29.6,20.0,20.0,18.2,12.2,77.4,12.7,0.6,2.5,1.0,5.7,22.6,3021,65.8,21.3,12.8,0.0,9.7
8023,Costilla,3581,1866,1715,64.4,32.1,0.0,0.0,0.8,0.0,2728,31321.0,5677.0,23.7,40.4,23.3,23.1,21.5,21.2,10.9,79.0,8.7,1.3,5.1,0.0,5.9,20.0,1240,63.8,21.7,14.0,0.5,14.0
8025,Crowley,5551,3145,2406,30.2,61.1,5.3,0.9,0.4,0.5,4169,31151.0,4231.0,33.4,40.9,24.4,28.8,22.7,11.5,12.6,79.5,10.4,0.0,7.3,0.5,2.3,21.9,1457,66.7,27.3,6.0,0.0,27.0
8027,Custer,4303,2148,2155,2.7,91.6,3.0,1.3,0.0,0.1,3495,35000.0,5776.0,17.4,24.5,24.2,25.6,19.4,23.3,7.4,66.6,14.7,0.0,4.7,0.0,14.0,29.7,1390,49.9,23.3,26.6,0.2,14.0
8029,Delta,30214,15148,15066,14.7,82.1,1.0,0.5,0.6,0.0,23171,42452.0,2626.0,16.3,23.9,32.2,19.6,19.9,19.4,8.9,73.0,12.4,0.3,4.9,2.0,7.4,23.8,11362,70.0,15.0,14.7,0.4,11.7
8031,Denver,649654,324730,324924,30.9,53.1,9.4,0.6,3.5,0.1,449814,53637.0,803.0,17.3,26.1,44.6,17.6,22.3,7.5,8.1,70.3,8.5,6.8,4.5,3.4,6.5,24.8,348382,83.2,11.2,5.6,0.1,6.3
8033,Dolores,1862,1017,845,5.9,90.7,0.0,1.2,0.0,0.2,1448,31875.0,3530.0,21.5,29.8,30.5,25.5,21.0,12.9,10.2,56.3,12.9,0.0,25.1,0.3,5.4,17.6,801,69.5,21.7,8.5,0.2,4.6
8035,Douglas,306974,152339,154635,8.1,84.0,1.0,0.2,4.1,0.0,209369,102964.0,1796.0,4.0,4.2,53.0,11.9,25.7,4.6,4.8,79.1,6.8,1.7,0.9,1.3,10.1,27.7,159911,82.9,11.9,5.1,0.1,4.1
8037,Eagle,52576,27887,24689,30.0,67.0,0.6,0.3,1.0,0.1,33036,72214.0,3789.0,9.2,11.9,34.6,25.8,20.9,12.5,6.2,72.8,10.3,7.1,2.1,1.3,6.4,20.5,31793,84.9,8.5,6.6,0.0,4.4
8039,Elbert,23855,11969,11886,6.2,89.9,0.5,0.4,0.5,0.0,17858,84963.0,4050.0,7.0,11.2,38.9,15.6,23.5,13.8,8.2,76.2,10.4,0.2,0.8,0.7,11.7,40.1,12373,77.3,13.8,8.6,0.4,6.7
8041,El Paso,655024,329550,325474,16.0,70.6,5.7,0.4,2.7,0.3,468300,58206.0,869.0,11.8,15.6,40.5,18.5,24.5,8.5,8.0,78.1,10.2,0.8,3.6,1.6,5.7,22.2,290448,76.6,17.5,5.7,0.2,8.4
8043,Fremont,46809,27003,19806,13.0,78.0,5.1,1.3,0.7,0.1,38084,40423.0,1747.0,17.4,29.4,26.6,32.2,22.8,10.7,7.6,77.9,11.3,0.4,3.2,3.3,4.0,23.1,13983,66.2,27.0,6.7,0.1,9.2
8045,Garfield,57076,29186,27890,28.1,68.7,0.4,0.7,0.7,0.0,36129,56590.0,3065.0,12.1,14.8,30.4,19.8,21.0,18.8,10.0,70.6,12.6,4.4,2.8,3.0,6.7,28.8,29078,76.9,14.1,8.8,0.1,6.9
8047,Gilpin,5605,2878,2727,8.8,88.2,0.5,0.0,0.1,0.0,4466,65670.0,10178.0,7.4,3.5,40.5,21.9,17.9,11.1,8.6,75.6,12.0,1.4,3.1,1.0,6.7,32.8,3159,80.3,14.2,5.5,0.0,4.9
8049,Grand,14411,7689,6722,6.2,88.0,1.4,0.2,1.9,0.7,11252,63628.0,6543.0,10.8,14.3,33.9,19.3,19.3,19.5,8.0,64.6,16.8,2.2,5.7,1.3,9.4,19.8,8274,81.1,14.6,4.2,0.1,5.7
8051,Gunnison,15651,8427,7224,9.0,87.9,0.4,0.2,0.6,0.1,12428,48071.0,3928.0,16.9,18.9,33.3,22.5,20.4,17.0,6.9,54.3,13.4,2.1,14.6,11.0,4.7,14.1,9016,69.2,18.1,10.9,1.8,7.8
8053,Hinsdale,874,416,458,1.3,97.1,0.0,0.0,0.0,0.0,734,57083.0,6141.0,8.0,12.9,40.6,15.5,22.2,18.6,3.1,60.9,6.8,0.0,21.3,2.3,8.8,12.9,451,60.1,25.9,14.0,0.0,3.0
8055,Huerfano,6502,3290,3212,34.6,64.2,0.3,0.1,0.2,0.0,5421,31715.0,2861.0,18.5,19.1,33.2,23.7,21.7,14.0,7.5,64.9,14.9,2.0,11.4,1.2,5.6,22.0,2211,63.2,24.2,12.2,0.5,15.0
8057,Jackson,1335,709,626,15.4,83.7,0.1,0.2,0.0,0.0,1066,46014.0,3111.0,11.7,20.8,32.7,14.4,15.2,25.8,11.9,64.5,2.9,0.1,12.9,3.4,16.2,19.1,764,66.2,24.2,8.6,0.9,1.5
8059,Jefferson,552344,274525,277819,15.1,78.8,1.0,0.5,2.5,0.0,418635,70164.0,712.0,8.5,11.8,44.0,15.2,25.1,8.0,7.7,78.7,8.0,3.2,1.5,1.6,7.0,27.0,294390,79.8,13.8,6.2,0.2,5.9
8061,Kiowa,1463,666,797,7.2,87.0,0.8,0.3,0.1,0.0,1071,40304.0,3948.0,13.2,14.9,40.5,19.6,16.9,14.5,8.4,76.8,4.5,0.4,7.0,2.4,8.8,15.1,723,50.9,35.3,13.8,0.0,2.0
8063,Kit Carson,7980,4379,3601,18.9,75.9,4.2,0.3,0.3,0.2,5591,40603.0,5333.0,16.4,25.4,31.4,18.1,22.7,19.1,8.7,76.5,11.1,0.7,3.1,1.0,7.6,12.3,3421,62.9,22.9,14.0,0.2,5.9
8065,Lake,7362,4021,3341,37.7,59.6,0.1,0.1,0.7,0.0,5058,45367.0,6912.0,11.5,14.0,27.2,24.6,19.5,18.0,10.7,64.4,12.0,1.7,11.2,1.6,9.1,24.5,4126,72.5,19.6,7.9,0.0,5.7
