CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
12001,Florida,Alachua,254218,122968,131250,8.9,62.7,19.6,0.3,5.6,0.2,195394,43073.0,1713.0,25498,602,24.3,23.5,46.4,19.1,23.7,5.0,5.8,74.2,9.0,4.5,3.3,4.8,4.1,20.6,116659,69.1,26.6,4.3,0.1,7.9
12003,Florida,Baker,27135,14277,12858,2.4,82.0,14.5,0.1,0.6,0.0,20205,47121.0,4778.0,20471,1495,18.1,22.1,29.6,20.4,24.0,11.5,14.5,83.9,11.7,0.1,0.7,0.6,3.0,29.6,10174,73.2,22.3,4.4,0.1,8.9
12005,Florida,Bay,175353,86800,88553,5.5,77.9,10.5,0.5,2.0,0.1,133949,47368.0,1318.0,25246,614,15.2,22.6,32.3,22.5,25.0,10.1,10.2,82.4,10.4,0.7,1.7,2.0,2.8,22.1,77894,76.4,17.0,6.4,0.3,8.6
12007,Florida,Bradford,27223,15150,12073,3.8,74.4,19.9,0.1,0.4,0.0,21563,41606.0,4845.0,19739,1346,20.6,24.8,32.8,22.5,22.8,11.1,10.7,84.3,11.0,0.1,2.4,0.4,1.7,31.4,9225,73.6,22.3,4.1,0.0,12.4
12009,Florida,Brevard,553591,270544,283047,9.1,76.1,9.9,0.3,2.2,0.1,432722,48925.0,739.0,27571,383,14.0,21.3,36.6,19.8,25.9,8.3,9.3,82.2,8.3,0.6,1.1,2.7,5.0,24.2,229693,80.5,13.9,5.4,0.2,10.9
12011,Florida,Broward,1843152,894820,948332,27.0,40.4,26.9,0.2,3.4,0.0,1208582,51968.0,429.0,28381,265,14.5,19.9,35.4,19.9,28.4,8.1,8.1,79.5,9.4,3.1,1.2,2.0,4.9,27.8,890997,82.2,11.3,6.4,0.1,10.0
12013,Florida,Calhoun,14615,7991,6624,5.6,77.0,13.3,1.2,0.6,0.0,11165,34510.0,2159.0,16536,1498,19.3,21.5,25.4,28.7,20.6,15.8,9.6,80.3,15.2,0.0,0.2,2.6,1.7,28.2,4735,63.7,28.3,8.0,0.0,10.0
12015,Florida,Charlotte,165783,80718,85065,6.5,84.8,5.5,0.1,1.3,0.0,137030,44244.0,1207.0,26984,750,12.2,19.0,28.1,23.4,29.5,11.6,7.6,77.9,9.7,0.3,0.8,4.9,6.5,23.6,56730,79.2,12.5,7.7,0.5,10.8
12017,Florida,Citrus,139654,67381,72273,5.1,88.9,2.8,0.3,1.6,0.0,116364,38312.0,1593.0,23979,784,17.4,30.4,28.8,24.1,25.1,10.6,11.5,82.4,8.1,0.4,1.0,2.5,5.6,24.9,43486,78.2,14.4,6.9,0.5,13.1
12019,Florida,Clay,197417,96931,100486,8.8,75.1,9.6,0.2,3.0,0.1,144430,58290.0,2010.0,26464,789,10.5,11.6,33.5,18.1,26.8,10.9,10.7,84.2,9.3,0.2,1.1,1.1,4.1,32.4,86374,80.5,15.8,3.6,0.1,10.7
