CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
13001,Appling,18417,9040,9377,9.4,69.6,18.9,0.1,0.8,0.1,13248,37135.0,3073.0,1467,20.9,25.2,25.5,13.1,19.4,22.7,19.2,80.6,12.4,0.3,1.9,2.2,2.6,20.7,7071,80.1,13.6,6.0,0.3,7.9
13003,Atkinson,8294,4090,4204,24.2,56.7,17.2,0.3,0.0,0.0,5043,30933.0,2584.0,2216,28.7,38.3,18.6,13.6,23.8,20.3,23.7,78.3,18.3,0.3,1.5,0.8,0.9,21.5,3389,82.1,12.8,5.1,0.0,7.3
13005,Bacon,11222,5638,5584,7.8,74.5,15.0,0.0,1.2,0.3,7864,37162.0,4097.0,1193,17.9,22.2,28.7,10.9,21.7,19.7,18.9,79.3,17.4,0.8,2.0,0.0,0.5,20.3,4598,80.4,14.9,4.6,0.2,4.4
13007,Baker,3292,1579,1713,1.9,49.5,47.5,0.2,0.6,0.0,2576,44297.0,9366.0,2967,22.9,38.1,27.8,14.4,27.0,18.0,12.9,85.4,8.3,1.0,1.0,2.6,1.6,27.9,1282,73.2,20.7,6.1,0.0,7.1
13009,Baldwin,45795,22776,23019,2.1,53.6,41.5,0.3,1.5,0.1,36024,32460.0,2489.0,1344,31.4,42.4,29.9,27.2,20.6,9.8,12.5,83.5,10.0,0.1,2.8,2.0,1.6,20.6,16387,72.9,23.4,3.6,0.0,8.4
13011,Banks,18336,9327,9009,6.3,88.4,2.6,0.3,1.3,0.0,13623,41472.0,3202.0,1186,16.6,23.1,24.5,15.5,22.4,14.5,23.0,84.1,9.0,0.4,1.6,0.8,4.2,30.4,7801,78.2,13.8,7.2,0.8,8.5
13013,Barrow,72012,36057,35955,9.5,73.8,11.3,0.1,3.5,0.0,49719,52012.0,2034.0,806,15.2,20.4,27.3,14.6,29.7,12.2,16.3,85.2,9.6,0.1,0.5,1.2,3.3,32.8,32137,82.2,13.4,4.3,0.1,10.1
13015,Bartow,101336,50052,51284,7.9,78.9,10.8,0.4,0.8,0.0,72250,48893.0,2506.0,869,15.8,21.5,29.0,17.1,23.3,13.0,17.5,83.4,9.3,0.7,0.6,1.9,4.0,27.3,44594,81.6,14.3,4.0,0.1,8.8
13017,Ben Hill,17477,8349,9128,6.2,56.5,35.7,0.0,0.0,0.0,12604,29994.0,2807.0,935,35.3,49.5,26.9,20.6,19.4,9.6,23.5,83.7,11.3,0.0,1.5,2.4,1.1,16.4,6019,75.7,18.9,5.3,0.1,9.7
13019,Berrien,19019,9471,9548,4.9,82.1,10.9,0.1,0.7,0.0,14081,31835.0,4173.0,1015,26.2,32.6,26.0,20.4,22.5,16.3,14.8,79.2,13.8,0.3,2.6,1.7,2.4,23.2,6457,72.6,20.6,6.4,0.4,13.8
