CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
16001,Ada,417501,208879,208622,7.6,85.5,1.1,0.5,2.6,0.2,298836,56356.0,1082.0,622,12.3,13.7,42.4,16.8,25.4,7.2,8.2,79.9,8.0,0.5,2.0,2.8,6.9,20.0,199955,77.2,15.8,6.9,0.1,6.6
16003,Adams,3880,2049,1831,3.1,93.5,0.0,1.7,0.1,0.0,3134,39565.0,3928.0,2099,12.9,16.0,27.9,23.5,20.4,17.0,11.2,68.7,11.0,0.8,4.1,3.5,12.0,23.0,1474,60.4,25.2,14.2,0.1,11.3
16005,Bannock,83604,41666,41938,7.7,85.3,0.7,2.6,1.2,0.2,59298,43779.0,1584.0,657,18.8,21.9,34.4,18.5,24.7,8.6,13.9,77.8,10.1,2.0,4.1,2.2,3.8,17.9,37206,73.0,20.8,6.0,0.2,7.2
16007,Bear Lake,5939,2981,2958,4.1,93.8,0.5,0.1,1.0,0.1,4313,48654.0,4245.0,2392,12.9,21.4,25.3,19.3,23.8,16.1,15.6,71.2,18.1,1.0,3.2,1.3,5.2,20.0,2598,71.5,17.9,10.3,0.2,3.3
16009,Benewah,9088,4581,4507,3.2,84.6,0.3,8.9,0.5,0.1,6990,39863.0,3459.0,1241,16.6,21.8,25.3,20.1,16.7,16.1,21.9,76.5,9.5,0.9,6.5,2.7,3.9,23.3,3600,71.3,21.8,6.7,0.2,10.1
16011,Bingham,45407,22715,22692,17.7,74.5,0.3,5.0,0.7,0.0,28821,50155.0,2345.0,738,13.5,18.8,30.9,15.9,20.3,16.5,16.4,80.4,9.2,2.9,1.7,1.7,4.0,21.3,19121,72.7,19.5,7.4,0.5,7.1
16013,Blaine,21309,10836,10473,20.5,77.3,0.1,0.0,1.2,0.0,14593,60088.0,7095.0,2258,10.4,20.4,31.9,26.2,22.6,13.8,5.5,73.4,8.4,2.4,4.2,2.3,9.4,17.7,11941,73.2,14.0,12.6,0.2,4.1
16015,Boise,6885,3626,3259,3.6,92.4,0.5,1.4,0.1,0.3,5531,44238.0,6671.0,2490,14.5,19.5,36.8,14.6,25.1,12.0,11.5,67.8,12.6,0.7,4.8,1.1,12.9,37.9,2768,62.7,25.8,11.2,0.3,10.5
16017,Bonner,41066,20563,20503,2.7,93.8,0.1,0.5,0.5,0.2,32317,42171.0,2148.0,1198,15.3,19.3,27.4,19.8,24.9,12.5,15.4,77.2,10.2,0.4,2.6,2.4,7.2,24.1,16399,74.6,13.1,12.2,0.0,6.2
16019,Bonneville,107788,53404,54384,12.4,84.1,0.4,0.4,0.8,0.1,71043,50762.0,1206.0,899,13.2,16.9,34.7,17.4,25.1,10.1,12.6,78.3,11.5,2.5,1.7,2.0,4.0,18.8,47191,78.0,15.2,6.6,0.3,5.6
