CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
17001,Illinois,Adams,67081,32676,34405,1.4,92.4,3.8,0.1,0.8,0.1,51386,45965.0,1350.0,24380,647,14.4,20.1,29.6,18.3,26.7,7.9,17.5,83.2,8.8,0.6,2.6,1.5,3.2,16.2,32400,83.4,10.7,5.6,0.2,6.8
17003,Illinois,Alexander,7364,3634,3730,1.6,60.9,34.4,0.5,0.3,0.0,5556,27265.0,3011.0,14729,1110,34.2,58.4,20.7,29.2,24.0,7.9,18.2,81.9,11.0,2.1,2.5,1.7,0.8,25.3,2400,74.5,19.7,5.8,0.0,13.9
17005,Illinois,Bond,17313,8784,8529,3.4,88.0,5.6,0.1,0.8,0.0,13538,47946.0,3835.0,22867,1841,16.5,22.3,26.4,21.2,26.2,9.0,17.3,75.2,7.8,1.8,9.4,0.6,5.2,22.9,7563,82.1,11.6,6.0,0.3,6.4
17007,Illinois,Boone,53851,26882,26969,20.4,74.7,2.1,0.2,1.3,0.0,36353,58248.0,4054.0,26170,992,10.9,14.9,29.6,13.8,24.0,10.6,22.0,84.6,8.8,0.3,1.2,0.6,4.5,29.1,24714,84.2,9.7,6.2,0.0,9.7
17009,Illinois,Brown,6859,4377,2482,4.2,74.3,16.5,0.0,1.2,0.0,5678,50739.0,4955.0,21065,2098,10.9,10.2,26.8,15.8,20.8,16.4,20.2,84.6,5.4,2.0,1.8,0.5,5.7,20.9,2772,73.8,17.4,8.8,0.0,5.4
17011,Illinois,Bureau,34115,16728,17387,8.4,89.0,0.6,0.2,0.8,0.0,25724,50423.0,1480.0,27304,1042,12.5,20.6,27.4,18.8,22.9,10.8,20.1,81.3,11.4,0.7,1.9,1.3,3.5,21.0,16206,80.2,11.5,8.0,0.3,7.6
17013,Illinois,Calhoun,4999,2528,2471,0.3,97.8,0.1,0.1,0.0,0.0,3928,53869.0,5535.0,26407,1563,12.6,17.1,26.9,23.2,15.6,16.4,17.9,77.8,13.3,0.6,1.4,1.7,5.2,41.1,2231,77.0,12.8,9.8,0.4,5.4
17015,Illinois,Carroll,14926,7459,7467,3.3,93.9,1.1,0.1,0.4,0.0,11728,48631.0,3558.0,26493,1334,12.6,19.9,28.5,16.7,18.2,10.8,25.9,82.0,8.6,0.8,2.7,0.6,5.3,23.9,6866,78.1,12.0,9.8,0.1,8.1
17017,Illinois,Cass,13254,6772,6482,18.4,77.0,3.2,0.0,0.2,0.0,9039,47434.0,3013.0,24262,959,12.9,21.8,24.7,16.4,20.0,11.9,27.0,76.6,14.6,0.4,2.7,1.4,4.2,21.3,6183,78.5,14.3,7.2,0.0,8.5
17019,Illinois,Champaign,205766,102654,103112,5.5,69.2,12.4,0.1,10.0,0.0,151419,46495.0,1077.0,26078,620,22.8,22.9,44.8,18.7,21.4,5.4,9.7,68.5,8.5,6.6,8.5,3.1,4.8,17.8,101720,65.8,29.1,5.0,0.1,6.5
