CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
18001,Indiana,Adams,34642,17102,17540,4.4,94.1,0.7,0.1,0.3,0.0,23686,48188.0,2880.0,21274,1016,16.3,27.3,26.5,15.1,19.5,13.1,25.7,75.7,16.8,0.0,2.0,1.6,3.8,22.3,14982,80.6,10.1,8.7,0.6,6.2
18003,Indiana,Allen,363453,177301,186152,7.0,75.2,11.3,0.2,3.2,0.0,256215,49092.0,839.0,25770,450,15.8,23.5,34.4,16.7,23.9,7.4,17.7,84.5,8.4,0.7,1.3,1.1,4.0,20.8,170294,86.4,9.1,4.4,0.2,8.0
18005,Indiana,Bartholomew,79488,39534,39954,6.2,84.9,2.0,0.3,4.9,0.1,55362,55050.0,1705.0,27987,667,12.8,18.5,39.0,15.3,19.7,6.8,19.2,84.8,9.1,0.6,1.6,1.7,2.2,19.1,38666,87.8,7.6,4.5,0.1,5.4
18007,Indiana,Benton,8752,4367,4385,5.2,92.9,0.8,0.0,0.1,0.0,6415,47046.0,2204.0,22526,892,13.7,16.1,26.6,14.3,21.7,15.0,22.5,77.6,11.3,0.7,3.8,0.8,5.9,26.1,4096,73.6,17.1,8.5,0.7,5.3
18009,Indiana,Blackford,12476,6155,6321,1.4,96.1,0.6,0.1,0.2,0.0,9668,38190.0,1641.0,20534,979,14.0,20.1,21.0,15.8,20.8,7.9,34.5,87.1,6.9,0.4,2.5,0.9,2.1,23.6,5199,85.1,10.4,4.3,0.2,9.8
18011,Indiana,Boone,60511,29997,30514,2.5,92.4,1.2,0.2,2.2,0.0,43203,67552.0,2778.0,38038,1632,5.8,6.2,45.1,13.1,21.6,7.7,12.6,86.1,7.0,0.2,0.6,1.4,4.7,24.5,30471,84.0,9.9,6.0,0.1,3.7
18013,Indiana,Brown,15011,7521,7490,1.5,96.1,0.3,0.1,0.3,0.0,11945,54615.0,3712.0,29903,3021,12.6,21.2,33.5,22.4,17.4,11.1,15.6,82.8,11.1,1.0,1.1,0.2,3.8,33.6,7039,81.9,10.9,6.9,0.3,6.2
18015,Indiana,Carroll,20014,9947,10067,4.0,94.3,0.3,0.0,0.1,0.0,14969,52005.0,2831.0,25365,1171,10.8,12.6,24.9,16.0,22.8,12.0,24.3,79.7,11.6,0.2,2.0,1.3,5.2,27.2,9224,78.6,12.8,8.5,0.1,8.2
18017,Indiana,Cass,38476,19243,19233,13.6,81.8,1.4,0.3,1.4,0.0,26750,42290.0,1971.0,22125,1010,15.6,23.7,25.1,18.8,18.2,9.1,28.8,83.3,10.6,0.8,1.2,2.0,2.1,20.7,17342,82.0,13.3,4.5,0.2,8.7
18019,Indiana,Clark,113181,55549,57632,5.0,84.5,7.0,0.1,0.9,0.0,84686,51699.0,1510.0,25470,737,10.8,14.5,29.6,16.6,26.6,8.1,19.2,85.8,8.8,0.6,1.2,1.1,2.5,24.3,54754,85.8,10.4,3.7,0.1,6.8
