CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
19001,Adair,7426,3667,3759,1.5,97.2,0.4,0.0,0.3,0.0,5779,46526.0,2513.0,1343,10.6,13.9,27.1,15.5,21.0,17.6,18.8,79.7,9.7,0.3,3.4,1.2,5.8,22.1,3776,73.6,15.6,10.6,0.1,3.2
19003,Adams,3892,1942,1950,0.8,97.0,0.7,0.0,0.3,0.0,3061,48043.0,5022.0,1484,10.2,9.5,36.3,12.8,18.8,11.2,20.9,76.8,11.4,0.7,2.7,0.9,7.5,20.6,1994,72.9,12.8,13.9,0.4,3.2
19005,Allamakee,14060,7169,6891,5.4,92.0,0.7,0.1,0.3,0.0,10493,45890.0,2455.0,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76.0,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6.0
19007,Appanoose,12669,6302,6367,1.6,96.2,0.3,0.0,0.4,0.0,9828,41394.0,1872.0,1638,13.7,16.6,27.2,12.5,26.3,11.7,22.3,79.0,12.1,0.2,2.0,1.3,5.3,19.2,5799,78.4,11.9,9.1,0.6,6.6
19009,Audubon,5869,2858,3011,0.8,97.5,0.2,0.2,0.3,0.0,4635,46979.0,4662.0,2747,9.7,11.7,30.5,18.2,21.6,14.4,15.3,78.7,8.5,0.5,5.5,0.8,6.0,17.5,3008,72.0,13.4,14.3,0.3,2.6
19011,Benton,25803,12888,12915,1.3,96.8,0.7,0.0,0.2,0.0,19287,60606.0,2773.0,1834,9.6,14.9,32.5,13.8,23.8,11.1,18.8,79.8,9.4,0.1,3.8,1.9,5.1,23.9,13080,79.5,13.0,7.4,0.1,4.7
19013,Black Hawk,132496,64707,67789,4.0,83.0,9.0,0.2,1.7,0.0,101223,48369.0,1415.0,466,15.7,18.8,32.0,18.4,24.2,7.4,18.0,82.7,7.9,0.5,4.6,1.7,2.6,16.0,67141,81.0,14.3,4.6,0.1,6.6
19015,Boone,26401,13244,13157,2.3,95.0,0.9,0.2,0.3,0.0,20342,52985.0,2343.0,865,10.1,12.3,32.8,17.5,22.7,11.3,15.7,81.9,10.1,0.5,2.1,0.7,4.7,21.0,13403,74.3,19.7,5.8,0.2,4.7
19017,Bremer,24539,12103,12436,1.3,96.0,1.1,0.2,0.8,0.2,18966,62163.0,2072.0,1159,8.3,9.2,35.0,15.3,24.6,9.3,15.7,80.4,5.8,0.2,8.6,0.8,4.2,19.0,12843,82.5,10.6,6.8,0.1,3.9
19019,Buchanan,20998,10426,10572,1.4,96.6,0.4,0.3,0.5,0.0,15334,56150.0,2046.0,2128,9.5,13.3,29.6,15.2,20.8,13.0,21.5,79.7,6.8,0.2,5.7,2.6,5.0,21.5,10375,76.0,13.5,9.8,0.7,3.9
