CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
20001,Allen,13081,6441,6640,3.1,91.2,1.7,0.2,0.5,0.1,9994,38698.0,2328.0,18.0,22.5,29.6,17.3,19.8,9.2,24.1,79.8,10.5,0.7,4.4,1.4,3.2,16.3,5863,72.8,17.8,9.1,0.2,7.0
20003,Anderson,7896,3921,3975,0.4,95.0,0.1,2.3,0.0,0.0,5886,40696.0,3600.0,17.5,28.6,27.6,22.2,17.1,17.6,15.5,75.6,14.5,0.1,3.3,2.3,4.4,24.9,3593,68.0,13.1,18.7,0.3,5.9
20005,Atchison,16633,7977,8656,2.8,88.2,4.1,0.4,0.3,0.1,12627,43581.0,3090.0,19.2,26.3,32.8,17.1,21.7,10.1,18.3,73.6,10.9,0.1,7.4,1.0,6.9,20.8,7519,80.1,13.5,6.0,0.4,7.3
20007,Barber,4770,2396,2374,3.4,93.0,0.3,0.3,0.5,0.0,3674,51811.0,4410.0,10.9,15.6,33.8,14.5,19.7,15.7,16.2,82.9,7.7,0.1,2.9,0.9,5.6,13.5,2350,70.3,17.3,12.0,0.5,3.1
20009,Barton,27399,13307,14092,14.0,82.6,1.3,0.1,0.2,0.0,19674,44013.0,2922.0,15.9,22.6,29.9,18.1,24.3,14.4,13.3,81.8,10.9,0.1,3.0,1.0,3.1,17.0,13200,76.0,16.0,7.7,0.2,6.8
20011,Bourbon,14812,7324,7488,2.3,91.0,3.5,0.8,0.9,0.0,11018,38280.0,2234.0,19.2,28.7,31.6,21.3,19.0,10.1,18.0,82.6,8.8,0.2,2.5,0.4,5.4,17.9,6541,75.8,18.3,5.8,0.1,3.3
20013,Brown,9880,4808,5072,3.7,83.9,1.6,7.4,0.6,0.1,7374,43724.0,3194.0,16.4,25.5,31.7,19.0,19.9,8.3,21.1,79.9,9.1,0.2,3.2,0.6,7.0,16.6,4606,71.3,16.7,11.9,0.2,4.5
20015,Butler,66092,33192,32900,4.4,90.0,2.0,0.8,0.9,0.0,48187,58897.0,2862.0,10.4,14.8,38.1,16.0,21.2,12.1,12.6,86.3,7.3,0.0,1.6,1.2,3.6,22.5,31277,77.7,17.4,4.7,0.2,5.6
20017,Chase,2722,1348,1374,3.9,92.5,0.9,1.5,0.0,0.0,2071,38707.0,4490.0,13.8,17.9,32.3,14.7,21.4,16.1,15.5,79.8,9.1,1.4,2.3,1.1,6.3,22.1,1187,73.3,18.6,8.0,0.1,2.9
20019,Chautauqua,3520,1804,1716,1.6,87.5,0.6,5.3,0.0,0.0,2789,37993.0,4214.0,16.8,27.7,29.7,17.2,15.2,20.7,17.2,79.3,9.2,0.1,6.3,0.9,4.2,21.2,1510,69.9,18.6,11.1,0.3,5.1
20021,Cherokee,20952,10337,10615,2.2,88.8,0.5,3.5,0.4,0.0,15702,41388.0,2422.0,17.0,26.2,31.4,19.5,18.5,9.7,20.9,85.2,8.2,0.0,2.6,1.5,2.4,20.8,9378,73.5,17.9,8.6,0.1,5.8
20023,Cheyenne,2682,1352,1330,6.5,90.9,0.0,0.0,1.2,0.0,2065,44500.0,6435.0,8.1,12.5,35.6,14.3,25.3,15.5,9.3,73.4,10.5,0.0,8.2,0.9,7.0,14.1,1321,60.0,23.8,15.1,1.1,1.9
20025,Clark,2145,1055,1090,12.1,81.3,1.0,1.7,0.7,0.4,1574,42589.0,5461.0,14.9,21.0,40.9,17.6,17.4,14.7,9.4,81.1,4.8,0.0,8.4,1.5,4.2,16.1,1040,60.7,23.7,15.6,0.1,1.4
20027,Clay,8421,4145,4276,2.5,94.8,0.6,0.2,0.5,0.0,6304,52066.0,4939.0,11.4,19.4,33.6,14.8,27.6,14.2,9.9,78.8,10.1,0.1,2.6,1.8,6.5,18.6,4169,66.4,21.9,11.3,0.4,1.9
20029,Cloud,9339,4650,4689,3.3,93.6,0.4,0.2,0.8,0.0,7255,39282.0,2669.0,13.5,15.1,27.7,21.2,22.4,10.8,17.8,78.7,9.6,0.0,3.8,2.5,5.4,15.4,4514,75.5,15.3,9.0,0.3,6.8
20031,Coffey,8458,4246,4212,2.4,94.0,0.8,1.0,0.6,0.1,6471,57433.0,3784.0,10.0,14.2,33.0,18.4,20.9,14.3,13.4,83.7,9.9,0.4,1.7,0.5,3.7,20.5,4207,72.0,19.3,8.6,0.0,5.1
20033,Comanche,2010,1020,990,4.3,94.7,0.0,0.0,0.5,0.0,1465,45288.0,4795.0,7.2,9.5,38.8,18.4,18.9,11.6,12.4,77.9,9.7,0.0,5.8,0.8,5.8,13.2,995,62.7,20.4,16.4,0.5,5.4
20035,Cowley,36079,18184,17895,10.0,80.9,2.8,1.8,1.6,0.0,26675,43860.0,2337.0,17.6,23.0,27.4,20.4,21.3,12.5,18.5,79.3,12.1,0.0,2.4,1.9,4.3,18.6,15686,77.8,16.0,6.0,0.2,7.0
20037,Crawford,39304,19733,19571,5.0,87.9,2.1,0.5,1.5,0.0,29768,36534.0,1708.0,22.0,20.0,32.1,19.7,22.9,8.5,16.8,85.2,8.0,0.3,2.5,1.2,2.7,16.2,18643,75.6,18.4,5.6,0.4,5.6
20039,Decatur,2905,1455,1450,2.7,95.5,0.4,0.7,0.0,0.0,2343,40657.0,2538.0,11.2,18.2,37.4,19.3,17.1,15.0,11.1,74.4,13.5,0.0,5.4,0.5,6.2,15.4,1389,64.9,22.3,12.2,0.6,3.8
20041,Dickinson,19516,9716,9800,4.4,91.7,0.5,1.0,0.3,0.0,14718,49096.0,2692.0,10.5,12.5,31.4,16.4,23.0,12.9,16.3,78.9,12.5,0.2,3.7,1.4,3.3,22.1,8898,72.8,18.3,8.6,0.4,6.7
20043,Doniphan,7859,3992,3867,2.6,90.3,3.7,0.9,0.2,0.0,6133,47209.0,3667.0,12.4,20.4,30.8,15.6,21.6,12.0,19.9,81.1,6.2,0.4,5.0,1.6,5.7,18.6,3790,73.1,18.1,7.6,1.2,5.8
20045,Douglas,114967,57490,57477,5.7,80.1,3.8,2.2,4.4,0.0,87951,50939.0,1104.0,19.0,13.8,44.6,17.3,23.3,6.2,8.5,76.8,10.2,2.0,5.1,1.6,4.2,20.4,61881,71.8,23.4,4.7,0.1,6.0
20047,Edwards,2991,1528,1463,19.6,78.0,0.9,0.0,0.3,0.0,2082,47303.0,3173.0,11.7,17.9,32.0,12.5,20.5,17.2,17.9,80.7,7.5,0.3,3.8,3.4,4.2,17.6,1451,69.6,19.8,10.0,0.6,2.0
20049,Elk,2683,1339,1344,3.8,91.5,0.8,1.7,0.4,0.0,2134,36458.0,3723.0,18.3,24.5,38.4,18.6,15.5,14.5,13.0,71.7,11.9,0.0,4.9,2.6,8.9,25.3,1121,59.2,26.6,13.6,0.5,5.3
20051,Ellis,28993,14452,14541,5.5,90.5,1.1,0.2,1.3,0.2,22266,45579.0,2813.0,15.6,12.7,32.1,18.6,27.2,10.8,11.3,85.5,7.7,0.4,3.2,0.6,2.7,12.7,16045,74.8,18.0,7.0,0.2,4.5
20053,Ellsworth,6410,3630,2780,5.8,86.8,3.8,0.3,0.3,0.0,5132,47736.0,4806.0,9.0,7.8,36.0,18.9,18.5,14.4,12.2,76.8,11.5,0.0,5.4,2.1,4.3,15.7,2787,69.6,20.9,9.5,0.0,4.3
20055,Finney,37133,18884,18249,47.9,44.3,2.1,0.4,4.0,0.0,20755,49227.0,2165.0,17.0,25.0,23.5,19.0,20.6,13.8,23.1,77.4,15.5,0.6,2.3,1.4,2.7,14.9,18612,78.3,15.4,6.0,0.3,4.6
20057,Ford,34714,17906,16808,52.8,41.8,2.3,0.4,1.3,0.0,17372,50777.0,1792.0,18.2,27.8,21.5,16.3,17.8,15.2,29.2,79.6,14.5,0.4,1.5,2.2,1.8,14.5,16237,81.6,12.6,5.4,0.4,6.4
20059,Franklin,25753,12675,13078,3.9,91.2,1.2,0.4,0.2,0.0,19082,51081.0,2161.0,13.1,19.6,30.0,16.4,22.3,12.5,18.8,79.9,10.1,0.6,3.0,2.1,4.3,24.4,12701,76.4,17.5,6.0,0.2,6.9
20061,Geary,36787,19166,17621,14.4,58.9,16.2,0.7,3.1,0.7,24335,43992.0,1535.0,12.4,17.7,26.9,23.2,22.6,13.7,13.6,78.7,13.1,0.2,2.0,2.9,3.1,16.9,12884,60.0,35.1,4.5,0.4,9.2
20063,Gove,2735,1385,1350,2.1,95.1,1.0,0.1,0.5,0.0,2078,46364.0,3730.0,8.2,9.7,37.5,15.5,19.8,13.8,13.4,66.5,11.6,0.0,9.6,1.7,10.6,12.4,1367,63.3,18.7,17.8,0.2,1.9
20065,Graham,2593,1258,1335,2.9,89.2,3.1,0.3,1.2,0.0,2019,43826.0,5814.0,11.2,17.3,36.0,17.2,19.7,16.5,10.6,73.6,10.7,0.2,5.1,2.6,7.8,16.9,1282,62.2,22.4,14.9,0.5,2.4
20067,Grant,7816,3957,3859,45.8,53.1,0.0,0.4,0.0,0.0,4164,55432.0,5919.0,10.3,9.8,27.5,15.4,20.2,22.4,14.5,76.5,14.0,0.0,3.2,1.2,5.1,15.9,3618,71.6,17.5,10.0,0.9,7.3
20069,Gray,6065,2985,3080,14.7,84.7,0.0,0.0,0.1,0.0,3958,61000.0,2948.0,10.0,13.8,33.9,16.8,19.2,17.4,12.8,79.3,8.2,0.0,5.6,1.6,5.4,15.6,3183,71.2,13.6,14.3,0.9,2.9
20071,Greeley,1224,611,613,22.7,73.6,0.9,0.6,0.3,0.0,907,47750.0,5443.0,8.1,13.8,36.3,14.4,27.2,10.8,11.3,75.6,9.6,0.0,3.8,2.4,8.6,13.0,592,64.2,19.1,16.6,0.2,2.1
20073,Greenwood,6393,3120,3273,3.8,92.5,0.2,0.3,0.0,0.0,4973,38838.0,2724.0,15.1,23.6,29.3,20.4,17.5,14.9,17.9,79.9,12.5,0.3,1.6,1.1,4.7,23.6,2876,68.7,19.6,11.5,0.2,3.5
20075,Hamilton,2586,1342,1244,33.7,64.7,0.0,0.2,0.0,0.0,1539,45114.0,7686.0,14.3,26.9,29.4,15.1,18.4,27.0,10.1,72.8,12.0,0.0,6.8,0.0,8.3,12.5,1322,64.8,16.6,17.9,0.7,2.3
