CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
22001,Acadia,62163,30023,32140,2.1,77.7,17.4,0.2,0.2,0.2,44861,37649.0,2481.0,20.6,22.8,28.0,17.4,24.3,14.9,15.4,80.2,12.8,0.2,2.4,2.5,2.0,27.8,24619,82.4,10.6,7.0,0.0,10.1
22003,Allen,25653,14784,10869,3.9,70.5,19.9,2.0,0.8,0.0,19159,40948.0,3552.0,16.5,21.9,27.5,25.9,17.1,18.3,11.2,84.4,8.8,0.8,1.2,3.0,1.9,27.5,8269,69.8,26.2,3.8,0.2,8.9
22005,Ascension,114738,56848,57890,5.0,69.8,21.8,0.1,0.9,0.0,80614,70551.0,1834.0,11.8,15.6,36.3,14.9,24.7,11.9,12.1,86.4,8.2,0.1,1.1,0.8,3.3,30.4,55380,81.6,13.4,4.9,0.1,6.4
22007,Assumption,23057,11206,11851,2.4,66.2,29.9,0.6,0.2,0.0,17519,49167.0,2888.0,16.0,24.7,26.5,18.4,19.9,17.6,17.6,84.9,10.1,0.1,0.7,2.9,1.3,30.7,9407,83.3,12.6,3.6,0.6,10.3
22009,Avoyelles,41389,20692,20697,1.7,65.8,29.8,1.2,0.6,0.1,31290,33739.0,3075.0,23.2,31.9,27.6,25.2,20.3,12.8,14.1,80.3,12.6,0.8,2.4,1.7,2.2,30.5,14998,75.2,19.6,5.0,0.2,9.6
22011,Beauregard,36259,18513,17746,3.5,79.6,13.1,0.8,0.6,0.0,26655,45969.0,3637.0,20.2,27.4,25.9,17.0,21.7,16.9,18.5,81.5,10.9,0.4,2.1,3.8,1.3,30.7,14287,75.2,18.9,5.8,0.0,5.7
22013,Bienville,13977,6695,7282,1.6,54.6,41.9,0.1,0.0,0.0,10750,32876.0,2567.0,27.5,39.2,30.5,15.3,18.9,12.6,22.7,83.1,9.0,0.3,1.4,1.9,4.3,30.8,5177,67.8,23.7,7.4,1.1,10.1
22015,Bossier,123403,60921,62482,6.4,68.3,21.2,0.6,1.5,0.1,89310,52892.0,2213.0,14.3,19.9,36.3,18.2,22.4,13.0,10.1,86.7,6.9,0.3,1.5,1.9,2.7,21.4,56570,74.3,20.4,5.2,0.1,5.7
22017,Caddo,254742,121129,133613,2.7,46.6,47.7,0.4,1.2,0.0,189827,41234.0,1042.0,21.5,33.0,32.4,22.2,23.8,8.9,12.7,85.9,7.6,1.8,1.3,1.4,2.1,21.1,108738,80.0,15.5,4.4,0.1,7.0
22019,Calcasieu,195887,95567,100320,2.9,68.7,24.7,0.3,1.3,0.0,144437,45312.0,1319.0,17.1,24.7,30.3,20.6,22.3,12.9,13.9,85.3,9.4,0.4,1.4,1.7,1.8,20.8,86840,80.1,14.7,5.0,0.2,8.3
22021,Caldwell,9990,5270,4720,2.7,78.8,17.4,0.3,0.1,0.0,7627,33294.0,4550.0,21.6,29.8,23.0,21.7,23.9,15.1,16.3,81.9,8.6,0.0,5.3,1.2,3.0,28.4,3955,70.5,24.6,4.6,0.3,10.2
22023,Cameron,6706,3272,3434,4.2,92.2,3.1,0.0,0.3,0.0,5093,64231.0,4778.0,9.7,9.7,26.4,13.5,23.8,19.8,16.7,83.8,10.6,0.1,1.3,2.4,1.9,34.6,3077,70.2,22.3,7.2,0.3,6.3
22025,Catahoula,10247,5483,4764,1.1,65.8,32.1,0.1,0.0,0.0,7930,34904.0,5260.0,20.4,30.7,29.7,15.8,21.9,23.3,9.3,88.2,8.2,0.2,1.6,1.0,0.8,28.4,3749,69.8,20.2,10.0,0.0,8.3
22027,Claiborne,16639,9524,7115,1.4,46.2,50.0,0.3,0.0,0.0,13414,32072.0,2317.0,27.7,47.3,24.7,24.5,17.3,12.1,21.5,84.7,9.8,0.0,3.5,0.5,1.5,24.4,5494,70.8,23.8,5.4,0.0,13.5
22029,Concordia,20449,10375,10074,1.2,57.0,41.1,0.1,0.1,0.1,15434,29654.0,4145.0,30.5,43.8,24.7,19.6,25.8,17.0,12.8,86.6,5.7,0.4,3.3,1.9,2.0,22.1,7078,72.0,21.8,6.1,0.0,11.7
22031,De Soto,26965,12944,14021,2.7,57.2,37.7,0.7,0.3,0.0,20317,41468.0,3013.0,26.4,39.4,25.6,18.6,23.5,14.9,17.4,84.8,11.1,0.3,1.0,0.9,1.8,29.5,10521,81.0,15.1,3.8,0.2,9.3
22033,East Baton Rouge,444690,213266,231424,3.9,45.9,45.3,0.1,3.2,0.0,329509,49285.0,1121.0,19.6,26.9,37.9,19.2,24.5,8.5,9.9,82.5,9.8,1.7,2.2,1.1,2.7,23.2,215513,77.2,18.0,4.7,0.1,7.6
22035,East Carroll,7501,4272,3229,1.3,28.1,69.7,0.0,0.2,0.0,5638,21099.0,2897.0,48.0,66.9,27.9,27.6,15.5,14.5,14.5,86.8,7.3,0.0,1.5,0.7,3.6,13.9,1882,74.1,21.8,4.1,0.0,19.2
