CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
23001,Androscoggin,107393,52597,54796,1.7,91.5,1.3,0.1,0.8,0.0,82454,47537.0,1689.0,15.7,23.5,31.5,18.5,25.7,10.1,14.2,76.9,13.3,0.3,4.1,1.9,3.4,23.7,52961,81.9,12.2,5.7,0.2,7.2
23003,Aroostook,70005,34592,35413,1.1,94.6,0.7,1.5,0.5,0.0,55603,36923.0,893.0,18.5,25.7,30.3,18.1,24.2,12.7,14.7,79.0,11.5,0.1,3.2,1.7,4.4,17.6,30612,73.7,17.2,9.0,0.1,7.5
23005,Cumberland,286119,139036,147083,1.9,91.1,2.6,0.2,2.1,0.0,222289,60051.0,1201.0,11.6,14.9,43.3,16.6,24.4,7.7,8.0,77.2,8.8,1.4,5.0,1.7,6.0,22.5,152196,81.0,11.1,7.9,0.1,5.4
23007,Franklin,30402,14937,15465,1.2,96.1,0.4,0.4,0.5,0.1,24518,42811.0,2003.0,14.8,18.7,30.2,20.3,23.8,12.0,13.7,73.5,12.3,0.5,7.0,1.1,5.6,23.2,14386,74.7,14.9,10.3,0.1,7.7
23009,Hancock,54658,26696,27962,1.3,95.4,0.5,0.4,0.9,0.0,44195,47030.0,1669.0,13.5,18.1,34.8,19.5,20.8,15.5,9.4,69.9,13.0,0.8,6.2,2.2,7.9,22.3,26665,70.5,13.6,15.8,0.1,7.7
23011,Kennebec,121112,58759,62353,1.4,95.1,0.8,0.6,0.8,0.0,95753,46917.0,1596.0,13.8,19.2,35.7,17.6,25.8,10.3,10.5,80.0,9.8,0.2,4.0,1.7,4.2,23.5,57787,71.9,20.1,7.8,0.2,7.7
23013,Knox,39723,19682,20041,1.2,95.9,0.6,0.3,0.7,0.0,31805,50693.0,1972.0,11.2,14.7,33.8,17.8,23.6,15.2,9.7,75.7,10.8,0.2,5.2,1.7,6.4,17.5,19270,73.2,12.4,14.3,0.1,5.7
23015,Lincoln,34156,16673,17483,0.9,96.4,0.1,0.5,1.2,0.0,27722,50462.0,2464.0,12.1,18.5,32.7,19.4,20.8,15.3,11.7,77.6,11.0,0.3,3.2,1.8,6.1,24.9,16480,73.2,13.7,12.9,0.1,4.2
23017,Oxford,57421,28446,28975,1.1,95.8,0.4,0.5,0.6,0.0,45395,40630.0,1663.0,17.5,25.1,27.1,19.2,21.9,15.2,16.6,80.8,9.7,0.2,2.6,0.8,5.8,27.9,25041,76.7,12.8,10.2,0.4,9.2
23019,Penobscot,153437,75714,77723,1.2,94.2,0.8,1.1,1.1,0.0,122381,44271.0,1142.0,17.0,20.3,35.2,20.6,24.6,9.6,10.1,79.8,9.8,0.6,3.9,1.8,4.1,22.3,71852,77.9,15.9,6.2,0.1,7.8
23021,Piscataquis,17156,8552,8604,1.2,95.7,0.3,0.3,0.5,0.0,13935,37495.0,2115.0,20.9,33.5,29.4,20.3,17.2,12.9,20.2,80.4,7.8,0.3,4.3,0.9,6.3,24.4,6632,74.1,14.4,11.3,0.1,10.5
23023,Sagadahoc,35092,16894,18198,1.5,94.8,0.7,0.2,0.7,0.0,27923,53298.0,2998.0,12.1,19.9,36.7,19.4,22.9,10.4,10.6,80.1,10.3,0.2,3.0,1.2,5.2,23.9,17689,76.5,14.4,9.1,0.0,5.7
23025,Somerset,51577,25399,26178,1.0,96.1,0.3,0.4,0.3,0.0,40751,40066.0,1771.0,17.6,24.6,26.9,18.3,23.5,14.7,16.6,80.3,11.3,0.1,2.4,2.0,4.0,25.4,22275,78.6,12.7,8.6,0.1,9.5
23027,Waldo,38976,19155,19821,1.1,96.1,0.4,0.2,0.6,0.0,30716,44082.0,1630.0,16.4,21.2,33.8,20.0,22.0,12.1,12.1,75.2,10.3,0.4,3.8,1.9,8.5,26.3,18381,71.9,14.3,13.5,0.3,7.5
23029,Washington,32191,15874,16317,1.7,90.5,0.5,4.5,0.5,0.0,25552,38083.0,1141.0,19.1,24.7,28.1,21.3,18.8,18.1,13.7,74.4,12.2,0.2,5.2,1.0,7.0,20.1,12954,64.0,19.8,16.1,0.2,9.8
23031,York,199682,97075,102607,1.6,94.9,0.7,0.3,1.1,0.0,157282,57919.0,1817.0,9.8,11.5,34.1,19.0,24.4,9.9,12.6,79.6,9.8,0.7,2.4,1.4,6.1,27.8,103506,78.1,14.0,7.7,0.2,5.9
