CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
24001,Allegany,73549,38300,35249,1.6,87.6,7.9,0.1,0.9,0.1,59618,40551.0,1256.0,695,18.0,24.9,29.5,23.8,25.2,8.3,13.2,82.5,10.0,0.6,4.1,0.9,1.9,20.7,29810,72.6,22.4,4.7,0.2,10.0
24003,Anne Arundel,555280,274800,280480,6.9,70.7,15.5,0.1,3.5,0.1,408734,89860.0,1208.0,565,5.9,6.7,46.0,15.2,23.9,7.8,7.2,80.3,7.9,3.5,2.2,1.4,4.8,29.7,284092,71.6,24.0,4.3,0.2,5.9
24005,Baltimore,822959,389418,433541,4.8,60.3,26.7,0.2,5.6,0.0,603652,67095.0,812.0,327,9.4,12.1,43.3,16.2,24.8,7.2,8.4,79.3,9.0,4.8,1.9,1.3,3.7,29.1,412199,77.0,18.3,4.6,0.1,6.9
24009,Calvert,90114,44495,45619,3.3,79.2,12.6,0.1,1.4,0.0,67186,95828.0,1911.0,909,5.8,6.3,39.9,15.3,24.9,12.2,7.7,81.3,9.2,3.3,1.0,0.9,4.3,40.1,45249,68.4,27.5,4.0,0.1,7.6
24011,Caroline,32661,15835,16826,6.1,77.2,13.6,0.1,0.5,0.0,23827,52465.0,2207.0,976,15.8,24.9,26.0,22.3,22.0,15.2,14.4,81.7,8.1,1.3,2.6,2.1,4.1,32.9,15306,74.8,16.4,8.7,0.2,8.8
24013,Carroll,167444,82754,84690,2.9,90.4,3.2,0.1,1.7,0.0,127147,85385.0,1630.0,961,5.6,6.9,43.0,16.0,22.8,10.4,7.8,84.7,8.0,1.0,1.2,0.6,4.5,35.2,88196,76.3,18.2,5.4,0.0,4.6
24015,Cecil,101960,50644,51316,3.9,86.1,6.6,0.2,1.2,0.0,76054,66396.0,2103.0,759,10.1,14.3,35.8,18.1,21.7,10.8,13.6,82.3,9.1,1.1,2.0,0.8,4.7,28.8,48849,77.5,17.9,4.6,0.0,7.5
24017,Charles,152754,73731,79023,5.0,45.4,41.8,0.7,3.3,0.1,110706,90607.0,1803.0,643,7.9,11.2,41.1,17.6,24.9,8.7,7.6,80.0,8.4,6.5,1.1,0.7,3.3,42.8,76622,64.3,32.6,2.9,0.2,6.3
24019,Dorchester,32534,15542,16992,4.3,64.8,27.7,0.0,1.0,0.0,24822,47093.0,1931.0,1575,16.5,28.5,31.4,20.7,22.2,11.3,14.5,79.9,12.6,0.5,1.8,1.9,3.2,24.8,15354,73.9,19.4,6.5,0.2,10.4
24021,Frederick,241373,119038,122335,8.1,76.0,8.7,0.2,4.2,0.1,171432,83700.0,1810.0,580,6.8,9.3,46.1,15.3,22.9,8.9,6.8,76.9,10.7,2.9,2.1,1.1,6.3,34.9,127105,73.9,20.7,5.2,0.2,5.8
24023,Garrett,29813,14765,15048,0.9,96.7,0.6,0.1,0.4,0.0,23673,45432.0,3020.0,1343,12.4,18.6,31.3,17.9,22.3,15.1,13.4,78.7,12.0,0.5,2.2,0.6,5.9,23.7,13830,75.3,15.2,8.8,0.7,7.0
24025,Harford,248966,121798,127168,4.0,77.6,12.9,0.2,2.8,0.0,186725,80465.0,1153.0,520,8.0,11.7,42.4,14.7,25.0,8.6,9.3,83.2,9.1,1.7,1.4,0.8,3.9,31.7,127274,74.4,21.2,4.2,0.2,6.4
24027,Howard,304115,149157,154958,6.3,56.1,17.8,0.2,16.2,0.0,205466,110238.0,1963.0,698,5.2,6.3,60.0,11.2,19.6,4.4,4.8,81.2,7.5,3.8,1.0,1.0,5.5,30.5,163278,71.9,23.3,4.6,0.1,4.9
24029,Kent,19923,9382,10541,4.3,78.4,15.1,0.2,1.0,0.0,16038,58147.0,3437.0,1654,11.2,16.9,35.9,21.3,22.0,10.8,9.9,71.9,8.7,1.7,7.0,2.1,8.6,25.6,8984,76.1,13.3,10.1,0.5,7.2
24031,Montgomery,1017859,490093,527766,18.3,46.6,17.1,0.2,14.4,0.0,633295,99435.0,952.0,388,6.7,8.5,56.2,15.5,18.2,5.8,4.3,65.4,9.8,15.8,2.1,1.3,5.6,34.5,540333,71.8,21.7,6.4,0.1,6.1
24033,Prince George's,892816,429603,463213,16.2,14.3,62.6,0.2,4.2,0.0,584331,74260.0,766.0,270,9.6,13.1,37.5,20.9,23.6,9.7,8.4,65.3,11.7,17.2,2.2,1.0,2.6,36.5,465639,69.1,27.2,3.6,0.1,8.7
24035,Queen Anne's,48600,24024,24576,3.4,86.8,7.4,0.0,0.8,0.0,37040,85963.0,3994.0,1351,7.5,11.0,40.6,15.5,25.7,9.2,9.1,79.4,10.0,1.6,1.6,0.9,6.4,34.7,25305,72.6,19.8,7.6,0.1,5.3
24037,St. Mary's,109614,54662,54952,4.5,75.6,14.1,0.1,2.7,0.0,80446,86987.0,2126.0,976,7.9,10.5,44.0,17.0,20.7,10.9,7.4,85.3,7.3,2.5,1.9,0.9,2.1,29.3,53945,65.8,30.1,4.1,0.1,4.8
24039,Somerset,25980,14150,11830,3.6,51.7,41.4,0.3,1.1,0.0,20912,35154.0,3464.0,2107,24.7,39.7,26.9,24.3,25.2,11.0,12.7,81.8,7.4,1.2,3.2,1.8,4.7,24.1,8103,65.8,29.2,4.9,0.1,8.2
24041,Talbot,37799,17811,19988,6.0,78.2,11.7,0.1,1.5,0.1,29478,58228.0,4949.0,1977,11.2,16.1,37.6,22.4,22.3,10.1,7.5,79.0,10.6,0.7,2.1,1.4,6.2,26.0,17620,75.4,14.6,10.0,0.0,6.7
24043,Washington,149270,76058,73212,4.0,81.5,9.7,0.2,1.6,0.0,112748,56228.0,1335.0,512,12.9,20.0,32.5,18.0,24.7,10.1,14.7,81.0,9.9,1.1,2.1,1.0,4.8,28.4,67555,76.6,18.1,5.1,0.2,8.5
24045,Wicomico,101182,48199,52983,4.9,65.0,24.0,0.1,3.0,0.0,74390,52278.0,1532.0,905,15.9,20.0,33.7,20.8,24.0,9.2,12.2,83.5,8.9,0.7,2.0,2.2,2.7,21.3,47947,74.1,20.5,5.3,0.1,8.8
24047,Worcester,51519,25018,26501,3.3,80.0,13.9,0.1,1.4,0.1,41303,56773.0,2857.0,1260,11.0,15.5,36.0,21.9,24.7,9.5,7.9,80.4,6.9,1.4,3.0,2.2,6.2,23.4,22979,76.1,17.3,6.5,0.2,9.9
24510,Baltimore city,622454,293366,329088,4.6,28.1,62.3,0.2,2.6,0.0,463218,42241.0,536.0,342,23.7,34.2,40.5,20.8,23.1,5.6,10.0,60.2,9.2,18.6,6.7,2.1,3.1,30.5,270930,76.4,20.1,3.4,0.1,13.1
