CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
25001,Massachusetts,Barnstable,214766,102244,112522,2.6,91.1,2.5,0.4,1.4,0.0,174217,63251.0,1533.0,37678,670,8.7,13.5,37.0,20.4,24.4,11.2,7.0,82.3,6.7,1.5,2.4,1.3,5.9,23.7,102995,74.3,13.6,12.0,0.1,7.0
25003,Massachusetts,Berkshire,129288,62393,66895,3.9,89.7,2.7,0.2,1.5,0.0,102573,49956.0,1524.0,30469,749,13.0,19.7,37.3,21.8,23.3,9.2,8.4,77.6,8.6,1.3,5.5,1.6,5.3,20.4,62596,78.5,13.4,7.9,0.2,8.9
25005,Massachusetts,Bristol,552763,267650,285113,6.8,84.2,3.3,0.0,2.1,0.1,411475,56842.0,935.0,29607,343,12.7,17.4,34.4,18.9,24.8,9.3,12.6,82.1,9.0,2.5,2.3,0.9,3.1,27.6,269391,81.8,13.3,4.9,0.1,9.0
25007,Massachusetts,Dukes,17048,8443,8605,0.8,92.1,3.1,0.8,0.8,0.0,13009,64222.0,8996.0,38560,4531,11.7,19.9,44.2,17.5,17.3,16.8,4.3,74.3,6.3,4.0,4.2,3.0,8.3,14.4,8849,61.3,16.0,22.6,0.2,5.2
25009,Massachusetts,Essex,763849,367791,396058,18.2,73.6,2.9,0.1,3.4,0.0,544295,69068.0,1020.0,36212,491,11.4,16.4,40.8,18.3,23.6,7.1,10.3,75.0,8.0,5.8,3.3,2.3,5.5,29.0,383882,81.7,12.0,6.1,0.2,7.7
25011,Massachusetts,Franklin,71144,34759,36385,3.6,91.6,1.1,0.2,1.5,0.0,56464,55221.0,1954.0,30584,1047,11.7,15.3,41.1,18.5,19.7,8.3,12.4,77.7,8.5,1.6,4.7,1.5,6.0,23.7,37218,72.2,18.2,9.5,0.2,6.7
25013,Massachusetts,Hampden,468041,225611,242430,22.7,65.4,7.8,0.1,2.1,0.0,345763,50461.0,855.0,26560,351,17.5,27.2,33.5,21.1,25.1,7.6,12.7,82.5,8.2,2.2,2.6,1.1,3.4,22.7,212742,79.5,15.1,5.2,0.1,10.0
25015,Massachusetts,Hampshire,160759,75286,85473,5.1,84.9,2.6,0.1,5.3,0.0,128737,61368.0,1419.0,30244,755,14.7,12.9,45.7,17.8,21.7,7.1,7.6,70.9,6.5,3.4,9.2,2.1,7.8,23.0,84303,71.1,21.4,7.4,0.1,7.2
25017,Massachusetts,Middlesex,1556116,758542,797574,7.3,74.7,4.6,0.1,10.5,0.0,1087546,85118.0,757.0,44152,368,8.3,9.2,53.4,14.5,19.8,5.7,6.5,68.9,7.5,11.4,4.9,2.2,5.2,29.3,832753,82.8,10.7,6.5,0.1,6.1
25019,Massachusetts,Nantucket,10556,5589,4967,10.2,76.6,9.3,0.0,1.1,0.0,7423,84057.0,7361.0,45000,3801,11.6,18.0,26.3,18.4,26.0,20.8,8.5,68.2,9.3,1.3,10.1,6.7,4.4,11.4,6157,70.0,12.8,17.2,0.1,3.0
25021,Massachusetts,Norfolk,687721,329431,358290,3.8,78.1,6.0,0.1,9.7,0.0,497711,88262.0,1348.0,45829,522,6.6,6.7,51.6,13.8,22.6,5.9,6.1,70.0,7.2,13.5,3.5,1.3,4.5,32.7,358283,82.5,11.5,5.8,0.1,6.9
25023,Massachusetts,Plymouth,503681,245337,258344,3.5,82.9,8.6,0.1,1.3,0.0,372678,75459.0,1061.0,36163,512,8.2,11.4,38.3,19.3,25.0,8.1,9.3,81.2,7.1,5.1,1.8,0.9,3.9,32.5,252016,80.9,13.4,5.7,0.1,7.9
25025,Massachusetts,Suffolk,758919,366767,392152,21.3,46.5,20.0,0.2,8.6,0.0,518745,55044.0,992.0,34420,553,20.7,28.7,44.4,21.8,21.4,4.8,7.6,40.8,6.9,32.5,13.6,2.8,3.4,30.2,401271,84.4,11.0,4.4,0.1,8.7
25027,Massachusetts,Worcester,810935,399807,411128,10.2,79.0,4.2,0.2,4.4,0.0,589962,65313.0,682.0,32284,309,11.8,15.7,40.9,17.5,23.1,7.5,11.0,81.7,8.7,1.6,2.7,1.0,4.2,28.3,403519,81.2,13.1,5.5,0.2,7.8
