CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
27001,Aitkin,15839,8064,7775,1.1,94.4,0.3,1.8,0.3,0.0,13027,42252.0,893.0,1517,12.4,13.7,27.6,22.5,23.9,13.1,13.0,79.4,9.3,0.3,4.3,1.5,5.2,25.1,6428,75.4,15.2,9.2,0.2,7.3
27003,Anoka,338764,169586,169178,3.9,83.8,4.9,0.6,4.1,0.0,245735,70873.0,867.0,446,7.7,10.4,36.7,15.4,25.1,8.5,14.3,82.1,8.5,3.4,1.1,0.9,4.0,28.1,181190,84.7,11.0,4.2,0.1,6.2
27005,Becker,33138,16601,16537,1.8,86.8,0.5,7.0,0.5,0.0,24673,52038.0,1729.0,623,12.8,17.0,32.7,17.5,20.2,13.7,15.9,77.8,10.8,0.4,2.9,1.5,6.6,22.8,15929,74.3,16.4,9.0,0.3,3.5
27007,Beltrami,45434,22740,22694,1.9,73.4,0.8,20.0,0.9,0.1,33584,44757.0,2090.0,984,18.8,23.6,31.4,22.9,24.4,9.5,11.7,75.8,11.2,2.0,3.2,1.3,6.5,20.2,20579,66.8,26.9,6.2,0.1,10.6
27009,Benton,39221,19500,19721,1.9,92.7,2.3,0.3,1.1,0.0,29110,52178.0,2429.0,656,14.9,18.7,29.5,17.4,21.3,11.5,20.3,81.9,9.1,1.0,1.5,1.6,4.9,23.3,20104,82.9,11.2,5.7,0.2,6.7
27011,Big Stone,5134,2496,2638,1.1,97.1,0.2,0.2,0.1,0.0,4047,47794.0,3309.0,1569,14.4,23.5,34.3,17.0,20.3,15.4,12.9,75.7,9.8,0.5,5.1,0.8,8.2,17.1,2406,67.9,18.3,13.5,0.2,3.3
27013,Blue Earth,65125,32760,32365,2.9,89.7,3.0,0.4,2.0,0.0,51011,50061.0,1511.0,893,19.1,14.6,32.5,20.0,25.0,7.7,14.8,80.8,8.0,1.2,4.5,1.0,4.5,17.0,36492,81.0,13.8,5.1,0.1,4.9
27015,Brown,25391,12620,12771,3.7,94.5,0.4,0.1,0.4,0.1,19712,52598.0,2042.0,1126,7.8,8.1,31.3,17.1,21.9,11.5,18.2,78.0,7.6,0.6,5.2,1.3,7.3,14.3,13583,81.1,9.9,8.8,0.2,3.2
27017,Carlton,35443,18256,17187,1.6,88.6,1.2,5.4,0.6,0.0,27070,53227.0,2135.0,630,13.7,15.7,30.9,23.3,20.1,10.2,15.5,82.9,8.3,0.3,2.9,0.9,4.7,20.8,16478,72.8,20.4,6.4,0.3,5.4
27019,Carver,95715,47387,48328,4.1,90.0,1.1,0.1,2.5,0.0,66281,86323.0,2160.0,1163,4.4,4.4,45.0,14.3,24.6,6.8,9.4,82.4,6.6,1.8,1.3,0.9,6.9,25.6,52573,84.7,9.6,5.5,0.2,3.8
27021,Cass,28519,14512,14007,1.6,84.2,0.3,10.6,0.5,0.0,22352,46531.0,916.0,975,16.6,29.0,29.4,21.0,23.7,13.3,12.7,76.2,10.2,0.8,3.4,1.5,7.9,23.1,12165,71.4,17.9,10.4,0.3,7.4
27023,Chippewa,12154,5984,6170,5.7,90.0,0.8,1.3,0.2,1.0,9128,50858.0,2807.0,836,12.2,20.2,29.8,20.9,18.2,12.8,18.3,79.8,8.9,0.9,3.4,1.1,5.9,17.3,6367,76.5,14.8,8.5,0.3,2.6
27025,Chisago,53834,27832,26002,1.8,94.2,1.1,0.4,0.8,0.0,40552,71001.0,1943.0,760,5.5,3.5,33.5,16.4,23.5,12.3,14.2,82.5,9.2,1.0,1.2,1.6,4.4,32.6,27553,81.4,13.3,5.2,0.2,5.5
27027,Clay,60879,30072,30807,4.1,89.7,1.9,1.1,1.1,0.0,45728,57965.0,2431.0,544,12.7,12.5,34.4,19.3,23.9,9.6,12.9,78.7,8.2,0.9,5.4,1.6,5.2,18.6,33104,80.6,13.6,5.7,0.1,4.3
27029,Clearwater,8752,4429,4323,1.6,85.8,0.3,8.5,0.4,0.1,6546,43421.0,1966.0,979,16.9,25.3,26.9,19.3,17.1,19.6,17.2,76.7,12.5,0.6,3.2,1.1,5.8,25.3,3634,70.3,20.1,9.2,0.4,7.4
27031,Cook,5194,2602,2592,1.7,86.5,0.9,7.4,0.9,0.3,4194,52299.0,3546.0,2767,11.4,22.1,33.9,28.2,18.8,12.4,6.7,69.8,10.4,0.4,10.1,0.8,8.5,16.9,2788,61.9,26.4,11.0,0.6,4.0
27033,Cottonwood,11632,5685,5947,7.0,87.7,0.6,0.5,2.7,0.0,8620,46750.0,3851.0,1079,16.8,23.2,29.6,17.9,20.1,12.3,20.2,72.5,10.5,1.2,6.6,1.8,7.4,17.3,5408,75.1,13.3,11.3,0.3,4.9
27035,Crow Wing,63048,31459,31589,1.3,95.5,0.6,1.1,0.5,0.0,48487,49435.0,1589.0,878,11.3,14.4,31.7,20.0,26.0,10.1,12.2,82.4,8.5,0.4,1.5,1.4,5.8,21.6,29263,81.1,11.3,7.4,0.2,5.7
27037,Dakota,408456,200534,207922,6.4,80.8,5.1,0.2,4.6,0.0,290269,75567.0,820.0,410,7.7,10.6,42.4,15.1,25.4,6.1,11.0,81.8,8.0,3.3,1.1,1.0,4.7,24.1,223989,83.8,11.9,4.2,0.1,5.0
27039,Dodge,20290,10144,10146,4.8,93.0,0.5,0.1,0.4,0.0,14446,68116.0,2915.0,967,6.7,9.3,36.7,15.8,20.0,10.7,16.9,80.8,9.2,1.0,1.6,0.9,6.4,24.0,10890,83.8,10.1,6.0,0.1,3.5
27041,Douglas,36620,18331,18289,1.3,96.6,0.6,0.2,0.2,0.0,28700,54531.0,2085.0,1253,9.6,10.4,33.2,16.9,24.2,9.2,16.5,83.2,7.4,0.4,2.5,1.2,5.4,18.1,18975,79.0,13.1,7.7,0.2,4.5
27043,Faribault,14230,7165,7065,6.1,92.1,0.3,0.2,0.4,0.0,11023,47540.0,2494.0,1094,13.5,22.6,32.1,17.6,19.5,14.1,16.7,78.5,8.5,0.3,4.4,1.0,7.3,18.7,7117,74.6,12.5,12.6,0.3,4.2
27045,Fillmore,20843,10445,10398,1.1,97.3,0.4,0.1,0.4,0.0,15728,51665.0,1872.0,626,11.1,16.5,34.7,18.2,18.7,13.8,14.6,71.7,11.7,2.8,4.9,1.8,7.1,25.8,10595,77.2,11.7,10.6,0.5,4.3
27047,Freeborn,30897,15304,15593,9.3,87.2,1.1,0.2,1.2,0.0,23408,47105.0,1270.0,802,12.1,17.6,27.4,18.6,22.0,11.7,20.3,81.9,9.5,0.9,1.7,2.7,3.3,18.7,15322,83.0,9.6,7.4,0.1,4.9
27049,Goodhue,46377,23098,23279,3.1,92.7,1.1,1.1,0.6,0.0,34948,57062.0,2249.0,1122,11.2,17.1,34.5,17.0,20.3,10.7,17.5,80.6,8.3,1.0,3.8,1.2,5.1,23.5,23662,81.2,10.7,8.0,0.2,5.3
27051,Grant,5961,2985,2976,1.8,96.2,0.0,0.6,0.3,0.0,4650,50174.0,3814.0,1010,9.1,12.4,34.7,15.1,22.7,14.4,13.1,79.0,6.5,0.6,6.6,1.2,6.1,22.5,2943,71.4,14.3,13.9,0.4,3.6
27053,Hennepin,1197776,589781,607995,6.8,70.4,12.0,0.6,6.7,0.0,855006,65834.0,616.0,305,12.5,16.8,47.7,15.6,23.2,4.3,9.2,73.4,8.1,7.3,3.4,2.6,5.2,23.1,650324,84.9,10.1,4.8,0.1,6.0
