CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
28001,Adams,31979,16214,15765,5.9,37.9,55.3,0.0,0.2,0.0,23310,28869.0,1872.0,1199,30.1,51.5,27.4,21.0,25.1,12.1,14.4,87.2,7.5,0.2,0.5,1.3,3.2,19.4,10730,76.5,16.8,6.4,0.2,11.3
28003,Alcorn,37319,18250,19069,3.0,83.2,11.4,0.1,0.3,0.0,27956,36163.0,3135.0,934,21.2,30.6,29.2,18.1,22.3,10.6,19.8,88.2,8.5,0.2,0.8,0.7,1.6,21.6,14784,78.4,14.7,6.8,0.2,9.0
28005,Amite,12840,6355,6485,0.4,57.2,42.2,0.0,0.1,0.0,10059,30704.0,3339.0,1303,22.4,34.5,22.8,20.8,17.9,18.1,20.3,76.6,17.5,1.3,1.4,0.8,2.4,38.2,4562,73.5,15.8,9.5,1.2,12.7
28007,Attala,19175,9024,10151,1.8,55.0,41.8,0.0,0.2,0.0,14213,32886.0,2177.0,2364,26.0,36.7,27.1,17.7,19.4,16.5,19.2,78.7,15.2,0.2,1.4,3.3,1.1,29.9,6643,73.4,20.5,5.8,0.3,12.6
28009,Benton,8470,4124,4346,2.2,60.2,36.3,0.1,0.0,0.0,6417,33141.0,4739.0,3675,21.0,21.8,19.8,14.0,24.9,14.5,26.8,91.6,6.2,0.0,0.5,0.0,1.7,32.2,2994,84.0,10.7,5.3,0.0,17.1
28011,Bolivar,33803,15874,17929,2.1,32.6,64.0,0.2,0.7,0.0,25068,27585.0,1896.0,623,37.1,53.3,32.0,22.2,22.4,8.8,14.7,81.4,12.5,0.2,3.0,0.5,2.3,17.4,11834,65.2,28.6,6.1,0.2,15.3
28013,Calhoun,14789,7124,7665,5.6,65.4,26.9,0.0,0.0,0.5,10857,31098.0,2601.0,858,25.9,38.9,23.8,15.2,19.1,13.2,28.6,83.0,12.0,0.6,1.1,1.4,1.8,24.1,5580,78.4,12.3,9.1,0.2,10.1
28015,Carroll,10338,5196,5142,0.4,64.5,33.6,0.2,0.2,0.0,8226,37289.0,3646.0,2075,20.6,30.8,34.1,12.2,21.9,15.4,16.4,91.4,5.0,0.3,2.1,1.0,0.2,26.8,3705,71.4,20.1,7.7,0.8,11.9
28017,Chickasaw,17391,8367,9024,4.0,51.7,43.4,0.0,0.4,0.0,12663,30926.0,1640.0,1560,26.3,38.7,18.6,14.1,22.2,9.2,35.9,81.9,12.2,0.0,1.5,2.3,2.2,24.8,6554,79.4,14.4,6.2,0.0,12.2
28019,Choctaw,8354,4065,4289,0.6,67.6,31.1,0.0,0.2,0.0,6408,30692.0,2878.0,1197,26.2,36.2,29.0,12.5,21.5,19.4,17.6,80.6,13.2,0.1,1.6,3.2,1.2,31.0,2921,70.9,21.3,7.3,0.5,14.2
28021,Claiborne,9330,4329,5001,1.1,13.6,84.2,0.2,0.9,0.0,7188,23259.0,2401.0,877,42.0,54.3,20.7,29.0,22.5,10.5,17.2,86.5,4.8,0.5,2.4,1.5,4.2,22.3,2411,65.9,28.9,5.2,0.0,17.5
28023,Clarke,16362,7740,8622,0.8,63.6,35.0,0.2,0.1,0.0,12499,35993.0,2156.0,965,21.3,31.7,28.6,13.9,22.3,21.4,13.8,76.1,14.1,0.3,2.8,3.5,3.2,30.0,6363,73.0,20.3,6.7,0.0,11.7
28025,Clay,20279,9435,10844,1.2,39.6,58.2,0.1,0.6,0.0,15209,31669.0,3292.0,1079,26.6,41.2,25.7,18.8,22.2,9.7,23.5,88.9,7.8,0.1,1.4,0.6,1.1,22.0,7524,78.4,14.7,6.8,0.0,16.2
28027,Coahoma,25254,11681,13573,0.3,22.6,75.8,0.1,0.6,0.0,18006,28851.0,2660.0,851,34.1,44.8,30.2,26.3,20.0,8.8,14.6,78.2,15.0,1.0,2.0,1.6,2.2,20.7,8706,69.9,23.5,6.3,0.2,20.3
28029,Copiah,28921,13941,14980,2.8,45.2,50.8,0.0,0.5,0.0,21743,35130.0,2141.0,1081,27.2,41.1,27.2,18.9,22.9,11.3,19.7,82.7,12.8,0.4,1.3,1.4,1.5,29.2,10280,79.7,15.1,5.2,0.0,14.3
28031,Covington,19471,9341,10130,2.1,61.3,35.3,0.1,0.2,0.1,14486,31631.0,2413.0,1039,27.0,37.8,22.4,15.2,24.3,19.2,18.9,84.1,12.5,0.1,1.5,1.4,0.4,27.7,6628,78.4,15.6,5.9,0.1,13.7
28033,DeSoto,168586,81857,86729,5.0,68.0,23.8,0.1,1.3,0.0,119610,58278.0,1553.0,585,9.8,12.6,33.6,14.5,25.9,10.2,15.8,87.9,8.1,0.1,0.4,0.7,2.7,24.6,82634,82.4,12.6,5.0,0.0,7.6
28035,Forrest,76267,36274,39993,3.3,57.6,36.5,0.3,0.9,0.0,56781,36416.0,2129.0,822,27.8,34.7,32.2,18.3,26.5,9.3,13.8,78.6,10.2,0.6,3.0,6.1,1.5,20.7,32647,77.9,18.3,3.8,0.0,13.1
28037,Franklin,7857,3833,4024,0.5,63.2,35.8,0.1,0.1,0.0,5920,38170.0,6093.0,1958,18.9,24.4,26.9,11.2,19.1,21.6,21.2,85.8,10.6,0.0,1.7,1.3,0.6,38.0,3102,70.5,22.2,7.2,0.0,8.9
28039,George,23104,11648,11456,2.3,87.9,7.9,0.3,0.7,0.0,16918,44258.0,5333.0,1965,18.4,24.9,30.5,11.0,21.6,20.8,16.1,82.5,11.7,0.9,1.0,2.4,1.5,35.8,8260,81.8,12.7,5.3,0.2,9.0
28041,Greene,14129,8409,5720,1.0,71.4,25.7,0.2,0.0,0.0,11169,40176.0,6892.0,1575,14.5,10.5,28.5,12.1,21.6,20.5,17.2,77.5,15.5,0.0,1.2,2.5,3.3,41.0,3955,68.8,27.7,3.4,0.0,12.6
