CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
29001,Missouri,Adair,25560,12147,13413,2.4,91.5,2.1,0.3,2.2,0.3,20427,37516.0,3100.0,19671,950,26.9,20.0,34.9,20.1,23.8,8.0,13.2,77.3,9.4,0.2,6.8,2.6,3.7,17.4,11096,71.8,22.3,5.9,0.0,7.9
29003,Missouri,Andrew,17328,8586,8742,2.1,95.2,0.8,0.5,0.2,0.0,13317,55613.0,4822.0,26778,1461,9.0,6.9,31.9,18.3,24.2,10.8,14.9,87.4,6.9,0.1,1.2,0.5,3.9,22.7,8583,77.5,16.3,6.1,0.0,5.0
29005,Missouri,Atchison,5440,2702,2738,1.3,96.8,0.3,0.2,0.9,0.0,4325,43933.0,4030.0,26069,1375,13.0,17.8,34.8,20.3,18.0,11.7,15.2,82.0,9.1,0.2,4.0,0.8,3.9,18.4,2691,72.2,18.0,9.6,0.2,4.3
29007,Missouri,Audrain,25783,11730,14053,2.8,87.4,6.6,0.1,0.1,0.0,19495,41310.0,1457.0,18934,961,18.5,28.5,27.3,21.0,20.5,10.3,20.9,79.2,10.0,0.7,3.4,2.7,4.1,19.3,10600,75.2,17.1,7.5,0.2,8.8
29009,Missouri,Barry,35726,17905,17821,8.5,87.2,0.2,0.4,1.5,0.1,26036,39033.0,3095.0,19313,772,20.1,30.5,25.6,15.4,19.6,13.2,26.2,77.8,14.5,0.2,2.3,1.0,4.2,22.5,14259,78.2,11.6,10.2,0.0,11.4
29011,Missouri,Barton,12166,6001,6165,2.4,93.3,0.3,1.2,1.2,0.0,8968,37467.0,2772.0,20780,1515,24.2,36.1,28.9,12.5,26.6,10.6,21.4,81.6,8.6,0.3,3.9,1.1,4.6,21.5,5075,74.9,12.9,11.1,1.1,6.5
29013,Missouri,Bates,16643,8189,8454,2.1,94.9,0.5,0.6,0.0,0.1,12514,41060.0,3025.0,21715,978,18.5,25.7,28.0,19.9,20.9,15.5,15.6,75.3,12.6,0.8,4.1,0.9,6.3,30.6,7186,72.2,15.5,12.0,0.3,6.6
29015,Missouri,Benton,18854,9397,9457,1.8,95.5,0.4,0.5,0.1,0.0,15476,33042.0,2179.0,19122,962,19.1,28.1,28.8,18.8,22.2,12.1,18.0,77.3,11.6,0.7,2.2,1.6,6.6,25.7,6442,74.0,14.9,10.6,0.4,10.2
29017,Missouri,Bollinger,12356,6184,6172,0.9,96.9,0.2,0.1,0.7,0.0,9598,39707.0,3795.0,19605,1244,21.7,30.3,22.5,16.5,20.1,19.0,22.0,73.9,18.0,0.7,2.7,0.2,4.5,32.2,5064,79.4,10.6,10.0,0.1,4.0
29019,Missouri,Boone,170770,82533,88237,3.2,80.0,8.4,0.1,4.0,0.1,129564,49899.0,1601.0,27150,723,19.7,16.1,46.4,16.4,24.0,5.4,7.7,78.9,9.8,1.0,4.3,2.0,3.9,18.1,90949,71.4,24.0,4.4,0.1,5.0
29021,Missouri,Buchanan,89561,44809,44752,5.9,84.5,5.1,0.2,0.9,0.2,66681,46315.0,1739.0,22218,577,18.1,26.5,26.7,20.9,24.3,8.2,19.9,82.8,11.2,1.1,1.6,1.3,2.0,17.4,42029,84.1,11.4,4.3,0.1,7.5
29023,Missouri,Butler,42951,20753,22198,1.7,89.5,5.6,0.5,0.6,0.0,32643,35738.0,1990.0,19473,895,21.3,31.1,29.5,20.2,24.0,7.9,18.5,83.3,10.0,0.7,1.8,1.9,2.4,16.9,17340,77.0,15.7,7.2,0.1,9.4
29025,Missouri,Caldwell,9083,4548,4535,1.9,95.1,0.8,0.2,0.3,0.0,6815,43691.0,3875.0,23082,1347,13.4,16.4,30.3,18.2,20.6,17.6,13.3,80.7,10.4,0.0,2.4,0.6,5.9,33.0,3889,70.8,19.0,9.7,0.5,5.2
29027,Missouri,Callaway,44566,22656,21910,1.9,90.4,3.7,0.3,0.8,0.0,34480,47744.0,2530.0,22520,961,14.4,19.7,31.0,18.9,24.5,11.7,14.0,82.4,10.1,0.1,1.4,1.9,4.0,22.4,19844,70.8,24.0,4.6,0.6,5.1
29029,Missouri,Camden,43927,21638,22289,2.5,94.7,0.5,0.6,0.7,0.0,35100,44816.0,1862.0,23996,1107,17.3,29.6,29.0,22.2,25.4,10.7,12.6,79.8,13.2,0.3,0.6,1.4,4.6,22.5,17403,77.6,13.2,9.1,0.2,9.1
29031,Missouri,Cape Girardeau,77606,37569,40037,2.2,86.9,7.6,0.3,1.3,0.0,59661,46050.0,1684.0,24479,902,18.3,23.8,33.3,19.0,26.6,8.5,12.6,83.6,9.3,0.4,3.0,1.6,2.1,18.5,37661,81.2,13.9,4.7,0.2,6.3
29033,Missouri,Carroll,9096,4410,4686,1.3,94.8,1.2,0.0,0.1,0.0,6928,42415.0,5120.0,23403,1629,14.3,18.8,28.1,18.8,22.3,13.7,17.0,78.4,9.2,0.7,3.1,1.2,7.3,25.7,4010,69.9,16.0,13.3,0.8,8.9
29035,Missouri,Carter,6284,2995,3289,1.9,94.7,0.1,1.1,0.0,0.0,4755,33034.0,4853.0,20318,2319,21.3,27.7,31.0,22.5,18.4,10.1,18.0,73.7,12.1,0.0,4.2,3.6,6.3,20.5,2402,75.4,14.1,10.5,0.0,9.7
29037,Missouri,Cass,100781,49384,51397,4.2,88.8,3.6,0.4,0.7,0.0,73973,61584.0,1374.0,28398,629,9.9,14.3,35.2,14.8,24.8,12.7,12.6,83.3,10.3,0.2,0.6,0.9,4.8,27.5,48122,82.1,12.0,5.7,0.2,6.7
29039,Missouri,Cedar,13892,6918,6974,1.4,95.2,0.1,0.1,0.1,0.2,10659,31532.0,2972.0,18255,1560,24.9,30.0,29.5,19.4,21.4,15.2,14.4,84.2,8.8,0.0,2.1,1.9,3.0,26.7,5029,73.5,16.2,9.6,0.7,10.5
29041,Missouri,Chariton,7650,3773,3877,0.8,95.7,2.2,0.1,0.1,0.0,5917,40642.0,1638.0,20953,1305,16.4,20.7,26.9,16.5,24.4,12.6,19.5,78.5,11.6,0.2,1.6,1.6,6.3,22.7,3323,72.3,14.5,13.0,0.2,3.8
29043,Missouri,Christian,80904,39288,41616,2.8,93.7,0.6,0.4,0.6,0.0,58807,53270.0,1458.0,24730,657,11.1,15.1,35.4,17.9,26.4,8.9,11.4,82.3,10.8,0.1,0.7,1.5,4.6,26.3,37578,81.4,12.2,6.3,0.1,6.4
29045,Missouri,Clark,6919,3495,3424,0.3,97.4,0.3,0.4,0.1,0.0,5291,43883.0,3241.0,23463,1685,13.7,20.4,25.2,13.4,18.8,13.5,29.0,83.7,5.4,0.1,2.9,2.0,5.9,24.9,3210,74.0,15.7,9.9,0.4,4.5
29047,Missouri,Clay,230361,112738,117623,6.4,82.8,5.3,0.4,2.1,0.2,168125,62099.0,1206.0,29793,531,8.8,10.7,36.8,17.1,25.2,7.3,13.6,84.5,8.9,0.7,1.1,0.7,4.2,23.2,118111,83.2,12.3,4.4,0.1,6.1
29049,Missouri,Clinton,20498,10296,10202,1.9,93.9,1.8,0.5,0.6,0.0,15407,54773.0,4862.0,25500,1145,9.3,11.7,25.7,19.8,25.2,12.8,16.6,81.0,13.5,0.6,1.2,0.8,2.8,30.1,9653,79.2,15.3,4.9,0.6,5.8
29051,Missouri,Cole,76533,38701,37832,2.7,81.8,11.5,0.4,1.1,0.1,57841,53088.0,2136.0,26014,808,12.9,17.7,39.7,15.8,25.7,7.7,11.1,84.0,10.5,0.3,1.3,1.4,2.6,17.2,35978,67.5,27.8,4.2,0.4,4.9
29053,Missouri,Cooper,17593,9328,8265,1.5,88.7,6.1,0.2,0.3,0.0,13619,44549.0,2804.0,23252,1650,14.7,22.1,27.5,19.4,26.4,11.9,14.8,82.6,10.6,0.1,2.6,0.6,3.5,22.5,7916,76.6,15.7,7.6,0.0,5.7
29055,Missouri,Crawford,24660,12170,12490,1.7,95.9,0.2,0.6,0.1,0.0,18643,36743.0,3185.0,19017,1119,21.0,26.3,25.6,19.4,19.5,14.7,20.7,79.7,14.0,0.1,1.3,1.0,3.8,27.5,9393,79.6,11.8,8.4,0.2,12.7
29057,Missouri,Dade,7618,3881,3737,1.8,94.3,0.5,0.5,0.1,0.1,5973,37035.0,2953.0,20828,1334,19.9,28.2,33.3,15.3,21.7,13.0,16.6,76.0,12.8,0.2,3.6,0.7,6.7,26.0,3307,70.8,14.3,13.8,1.1,7.9
29059,Missouri,Dallas,16564,8284,8280,1.8,94.6,0.1,0.2,0.1,0.0,12637,38062.0,3318.0,17494,1277,21.9,34.4,26.8,16.1,25.9,11.0,20.2,70.9,18.2,0.1,2.0,3.3,5.5,32.6,5943,77.7,11.0,10.8,0.5,13.2
29061,Missouri,Daviess,8277,4178,4099,1.3,96.5,0.9,0.3,0.1,0.0,6099,41642.0,3009.0,19208,853,16.7,22.6,27.6,18.0,22.3,15.2,16.9,73.5,13.6,0.1,2.6,4.1,6.1,27.0,3420,64.7,19.6,15.4,0.3,5.7
29063,Missouri,DeKalb,12782,8080,4702,3.8,82.5,9.7,0.6,0.2,0.0,10552,41406.0,3277.0,17125,1094,15.0,26.5,30.5,17.2,21.8,10.4,20.2,80.0,12.6,0.7,1.6,1.3,3.7,25.8,4285,76.1,14.8,9.0,0.1,6.8
29065,Missouri,Dent,15612,7651,7961,1.4,95.2,0.4,0.6,0.6,0.0,11942,36831.0,2566.0,19747,1756,23.8,33.6,25.7,21.6,21.1,13.9,17.7,80.6,12.3,0.0,1.3,3.1,2.8,25.3,5882,75.2,14.6,10.0,0.2,9.2
29067,Missouri,Douglas,13516,6743,6773,1.1,97.8,0.1,0.3,0.0,0.0,10580,30508.0,1826.0,17343,1431,22.2,36.9,20.4,15.3,25.1,17.0,22.3,76.7,14.7,0.2,4.7,0.4,3.3,32.1,4897,80.2,11.7,7.8,0.3,9.0
29069,Missouri,Dunklin,31562,15220,16342,6.1,81.7,9.8,0.3,0.4,0.0,22771,31077.0,1712.0,18009,998,27.7,39.3,26.7,21.3,21.2,12.0,18.8,84.3,10.4,0.2,1.1,1.6,2.4,20.2,11646,76.5,16.7,6.6,0.2,8.1
