CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
31001,Nebraska,Adams,31442,15829,15613,8.6,87.7,0.8,0.1,1.2,0.1,23176,50635.0,3236.0,27690,1876,11.8,15.9,33.7,20.1,20.1,9.9,16.2,83.2,8.6,0.4,2.5,0.6,4.8,15.3,15783,78.6,13.3,7.9,0.2,5.5
31003,Nebraska,Antelope,6486,3229,3257,2.9,95.8,0.1,0.4,0.3,0.0,4905,45609.0,2939.0,26763,1967,12.7,15.9,37.3,14.6,19.7,16.9,11.5,75.3,7.8,0.0,4.4,1.6,10.8,16.6,3288,69.7,14.6,15.4,0.4,1.6
31005,Nebraska,Arthur,448,223,225,0.0,98.9,0.0,0.0,0.0,0.0,311,39375.0,5889.0,22035,5722,8.0,0.7,54.9,10.9,4.1,19.7,10.4,52.2,15.6,0.0,12.4,0.0,19.9,19.5,193,54.4,17.1,27.5,1.0,4.0
31007,Nebraska,Banner,820,399,421,3.8,93.5,1.2,0.0,0.1,0.0,681,48897.0,4107.0,31735,7621,11.7,17.3,44.6,9.7,22.9,14.7,8.1,59.2,11.6,0.0,10.0,0.0,19.2,25.2,455,60.4,19.1,20.4,0.0,5.4
31009,Nebraska,Blaine,551,293,258,0.0,98.7,0.0,0.0,0.4,0.4,408,48875.0,4903.0,21854,2519,19.2,25.9,40.1,13.9,8.0,27.2,10.8,50.2,13.3,0.0,7.5,1.4,27.6,23.9,287,63.8,17.1,19.2,0.0,0.7
31011,Nebraska,Boone,5373,2670,2703,1.7,97.8,0.1,0.0,0.1,0.1,4095,50306.0,3055.0,27799,1872,10.1,11.7,35.6,17.5,18.5,16.1,12.3,77.0,7.5,0.0,4.7,1.0,9.8,17.0,2777,72.7,11.8,15.6,0.0,1.2
31013,Nebraska,Box Butte,11310,5736,5574,11.6,82.8,0.1,3.7,0.3,0.1,8292,51691.0,3904.0,25897,1576,17.0,28.8,29.9,14.3,18.4,15.6,21.8,85.7,4.8,0.1,3.7,1.5,4.2,11.5,5606,75.0,14.1,10.8,0.1,3.9
31015,Nebraska,Boyd,2039,1032,1007,0.5,96.8,0.8,0.7,0.0,0.0,1555,40224.0,2377.0,24085,2832,11.0,8.4,41.2,14.1,14.8,16.5,13.4,65.7,8.3,0.0,8.5,1.1,16.3,16.6,964,59.1,14.9,24.8,1.1,1.1
31017,Nebraska,Brown,3078,1467,1611,0.5,97.0,0.0,0.3,0.2,0.0,2417,36078.0,8503.0,26390,2957,16.5,22.3,41.3,22.0,15.3,13.1,8.3,77.4,4.2,0.0,7.7,0.8,9.9,11.6,1585,64.4,18.2,17.4,0.1,0.7
31019,Nebraska,Buffalo,47958,23881,24077,8.3,87.9,1.1,0.2,1.2,0.0,35452,53624.0,2454.0,26846,1136,13.1,13.2,31.7,18.4,26.1,8.8,15.0,79.4,10.7,0.1,4.0,1.5,4.3,14.1,27263,79.2,13.7,6.6,0.4,3.5
