CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
32001,Churchill,24252,12368,11884,13.1,74.6,2.1,4.4,2.7,0.3,17651,47415.0,2549.0,1180,15.9,20.8,29.7,20.9,20.5,14.7,14.2,81.8,11.0,0.1,2.2,1.5,3.4,19.3,9274,68.2,24.2,7.5,0.1,11.9
32003,Clark,2035572,1019927,1015645,30.0,45.8,10.4,0.4,9.0,0.7,1321113,51575.0,401.0,209,15.7,22.7,26.5,30.2,26.3,7.9,9.1,78.6,10.4,4.0,1.8,2.2,3.1,24.4,923588,84.5,10.7,4.8,0.1,10.8
32005,Douglas,47259,23755,23504,11.9,81.7,0.5,1.9,1.3,0.1,36671,58535.0,2413.0,1396,10.6,16.4,32.1,22.9,24.2,11.2,9.5,80.1,10.8,0.3,1.7,2.3,5.0,24.0,20371,71.3,18.8,9.6,0.3,8.5
32007,Elko,51562,26951,24611,24.0,67.6,1.1,5.1,0.9,0.2,34099,71799.0,3135.0,1108,11.0,15.5,25.5,20.9,21.2,21.6,10.8,62.2,14.3,12.1,6.5,1.5,3.3,30.2,25865,83.6,13.0,3.2,0.2,5.5
32009,Esmeralda,1141,520,621,16.0,79.1,0.0,3.7,0.0,0.0,855,39271.0,9040.0,2996,17.1,15.1,25.9,22.4,7.1,30.9,13.7,68.1,8.5,0.0,14.5,3.9,4.8,21.9,437,70.9,18.3,10.8,0.0,11.9
32011,Eureka,1669,797,872,2.6,95.1,0.1,1.5,0.0,0.7,1288,60250.0,16889.0,3738,9.7,1.6,37.5,11.4,15.9,23.8,11.4,61.1,8.1,3.9,25.0,0.0,2.0,17.0,853,57.9,33.8,8.3,0.0,4.7
32013,Humboldt,17067,8971,8096,25.5,66.4,0.5,4.5,0.3,0.0,11315,65212.0,5239.0,1508,10.5,12.1,20.3,17.5,22.6,22.3,17.3,63.4,14.8,13.9,3.3,0.8,3.8,31.0,8295,79.1,14.1,6.7,0.1,7.8
32015,Lander,5946,3231,2715,27.1,65.2,0.1,3.7,0.8,0.2,3929,78190.0,9799.0,2766,11.5,20.6,21.4,12.1,12.8,40.3,13.4,56.7,19.5,13.1,6.0,1.6,3.1,25.3,2644,82.3,13.2,4.5,0.0,12.0
32017,Lincoln,5194,2854,2340,7.1,84.2,2.9,3.9,0.1,0.0,3877,44866.0,7245.0,7154,13.1,20.1,35.9,31.1,15.9,14.6,2.4,73.1,12.0,0.0,8.3,0.0,6.6,20.1,1714,50.1,43.1,6.6,0.3,11.8
32019,Lyon,51657,26001,25656,15.6,76.7,0.8,2.3,1.3,0.1,37544,47255.0,1924.0,959,16.5,22.0,24.6,19.2,25.6,15.0,15.7,80.3,13.4,0.2,1.0,1.9,3.2,31.6,19958,76.8,17.4,5.7,0.1,13.6
32021,Mineral,4566,2433,2133,12.4,62.3,1.3,16.7,4.1,0.0,3626,38923.0,10131.0,2473,20.2,37.5,24.0,22.2,24.0,13.8,16.1,73.2,6.2,1.1,10.4,2.8,6.3,12.8,1856,57.9,38.4,3.6,0.2,15.4
32023,Nye,42625,21179,21446,14.2,77.8,2.5,1.8,1.4,0.2,33122,41712.0,1666.0,1091,18.2,34.7,23.9,25.3,25.8,15.4,9.6,75.7,14.0,1.1,3.1,2.3,3.7,24.8,14143,74.6,20.1,5.2,0.2,13.4
32027,Pershing,6722,4455,2267,23.1,66.8,4.7,3.4,0.2,0.6,5088,45230.0,4919.0,1473,17.5,27.6,32.4,17.1,16.9,27.9,5.7,69.5,12.8,0.0,15.1,0.0,2.5,19.6,2101,69.3,26.7,4.0,0.0,9.5
32029,Storey,3929,1882,2047,3.7,90.7,0.4,1.7,1.5,0.2,3396,64832.0,9604.0,3828,7.5,9.3,30.6,15.3,31.2,10.0,12.9,87.1,3.8,0.5,2.1,0.0,6.6,27.9,1777,72.9,16.4,10.7,0.0,10.3
32031,Washoe,435019,218795,216224,23.3,64.5,2.2,1.3,5.2,0.6,302995,52870.0,1077.0,459,15.2,20.2,33.2,21.4,26.5,7.8,11.1,77.6,11.4,2.1,2.7,2.2,3.9,21.5,207304,79.3,14.8,5.8,0.1,9.1
32033,White Pine,9974,5657,4317,14.6,74.1,4.0,5.1,0.7,0.3,7560,57122.0,7119.0,2436,11.5,18.1,35.1,23.8,13.0,19.5,8.6,69.9,16.8,0.8,9.8,1.7,0.9,17.1,3529,60.4,33.5,5.6,0.4,10.6
32510,Carson City,54482,27959,26523,22.7,68.8,0.9,1.9,2.7,0.6,39670,47668.0,2495.0,1064,16.8,25.5,30.2,22.0,25.5,8.1,14.2,80.3,11.8,0.3,3.1,2.1,2.4,17.4,23603,70.3,24.5,4.9,0.2,11.3
