CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
35001,New Mexico,Bernalillo,673943,330578,343365,48.7,40.4,2.5,3.9,2.2,0.1,476567,47725.0,789.0,26765,356,19.4,27.2,40.3,19.9,23.5,8.6,7.8,79.9,9.4,1.8,2.0,2.6,4.1,21.6,307756,74.0,20.1,5.6,0.2,8.4
35003,New Mexico,Catron,3583,1904,1679,17.6,79.9,0.7,0.5,0.3,0.0,2899,42973.0,5065.0,20685,2724,17.2,18.1,34.3,14.8,22.7,25.5,2.7,70.3,5.9,0.0,8.1,1.1,14.7,16.0,1049,50.3,39.7,8.3,1.7,4.6
35005,New Mexico,Chaves,65811,32746,33065,54.2,41.6,1.6,0.7,0.7,0.0,43311,40630.0,2301.0,20559,811,21.9,32.7,29.5,22.3,21.3,14.6,12.4,80.9,10.8,0.4,2.2,1.9,3.8,19.5,26448,73.6,19.1,7.2,0.1,7.6
35006,New Mexico,Cibola,27382,13817,13565,37.5,20.9,0.9,38.5,0.6,0.1,19778,34565.0,2832.0,16072,861,29.3,45.5,28.4,27.8,21.8,12.9,9.1,71.9,17.5,0.4,1.9,2.0,6.3,21.3,9625,65.0,27.1,7.7,0.2,15.3
35007,New Mexico,Colfax,12997,6510,6487,48.6,47.9,0.3,0.8,1.1,0.0,10192,32380.0,3520.0,20534,1401,19.9,23.1,33.3,23.2,23.5,12.7,7.3,76.8,14.1,0.6,2.8,0.9,4.8,15.0,4981,68.7,24.2,6.7,0.4,9.5
35009,New Mexico,Curry,50497,26088,24409,39.9,50.1,5.7,0.6,1.5,0.1,34107,41084.0,2099.0,21929,1693,21.0,32.6,27.8,18.6,21.4,16.5,15.7,83.3,9.9,0.3,2.1,2.9,1.5,14.3,20599,73.3,22.1,4.7,0.0,9.1
35011,New Mexico,De Baca,2020,907,1113,45.1,50.2,0.0,0.0,0.0,0.0,1509,32500.0,7616.0,24370,9885,22.8,14.4,27.5,27.9,15.3,22.0,7.3,75.7,12.1,0.0,2.8,2.1,7.4,12.7,619,66.2,25.5,8.2,0.0,5.2
35013,New Mexico,Doña Ana,213963,105321,108642,66.5,29.1,1.6,0.7,1.0,0.0,137612,38853.0,1605.0,20129,523,28.2,40.7,31.7,22.8,25.4,11.6,8.5,81.0,10.4,0.4,2.7,1.5,3.9,20.6,88919,67.9,24.8,7.1,0.1,11.5
35015,New Mexico,Eddy,55641,28251,27390,45.9,50.1,1.3,1.2,0.5,0.1,39356,56618.0,3151.0,28308,2206,11.3,12.5,26.7,16.3,21.6,19.1,16.3,83.6,10.5,0.4,1.7,1.0,2.7,17.2,25620,79.2,15.6,5.3,0.0,5.8
35017,New Mexico,Grant,29119,14383,14736,49.2,47.6,0.5,0.7,0.1,0.0,22384,38311.0,2093.0,23011,1917,20.8,31.1,33.7,21.2,22.4,15.7,7.0,80.2,10.0,0.4,3.1,0.5,5.8,18.0,10585,68.9,23.5,7.0,0.6,9.7
35019,New Mexico,Guadalupe,4526,2620,1906,77.3,17.8,1.6,2.3,0.0,0.0,3559,30772.0,3449.0,16820,2055,14.1,20.4,33.8,21.8,30.1,6.9,7.3,82.9,9.3,0.0,3.1,2.1,2.6,16.8,1301,56.7,38.4,4.3,0.5,1.2
35021,New Mexico,Harding,565,292,273,38.6,61.1,0.0,0.0,0.2,0.0,457,33393.0,5087.0,22946,6231,10.4,5.2,38.5,21.0,23.4,11.2,5.9,64.0,3.9,0.0,8.9,1.0,22.2,20.3,205,46.3,42.9,10.7,0.0,6.0
35023,New Mexico,Hidalgo,4643,2313,2330,56.7,42.1,0.3,0.4,0.0,0.0,3333,34444.0,4574.0,18871,1700,23.3,38.3,24.5,26.9,20.8,18.4,9.3,78.6,10.8,0.1,3.8,1.0,5.9,20.0,1867,69.0,26.1,4.2,0.7,12.2
35025,New Mexico,Lea,68149,35007,33142,54.5,39.4,3.2,0.7,0.2,0.0,40577,57533.0,3185.0,23804,889,15.0,21.8,24.2,14.7,22.2,20.8,18.0,82.7,11.1,0.6,2.0,1.3,2.4,18.5,29340,80.8,13.6,5.5,0.1,5.9
35027,New Mexico,Lincoln,19931,9898,10033,31.2,64.0,0.6,2.5,0.2,0.0,15477,40708.0,2502.0,25756,2211,16.5,20.2,32.5,26.0,23.0,11.4,7.2,72.6,14.9,0.0,3.8,1.5,7.2,21.4,8030,66.2,22.5,10.3,0.9,7.3
35028,New Mexico,Los Alamos,17939,9179,8760,16.2,73.9,0.5,1.0,6.7,0.1,12955,101934.0,5499.0,51148,2047,6.1,7.7,68.3,10.4,14.8,2.4,4.1,76.9,8.0,4.0,2.5,4.2,4.5,15.7,8916,61.9,31.3,6.6,0.2,3.5
35029,New Mexico,Luna,24789,12353,12436,64.1,33.0,1.0,0.9,0.4,0.1,15158,27476.0,1672.0,15078,964,29.6,39.0,23.8,24.9,22.2,17.7,11.5,76.9,14.8,1.4,1.4,0.7,4.9,19.2,8383,73.6,19.8,6.5,0.0,13.8
