CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
33001,Belknap,60399,29573,30826,1.6,95.1,0.5,0.2,1.1,0.0,47810,62159.0,2383.0,926,10.5,18.2,37.9,16.1,23.7,11.1,11.2,84.2,8.5,0.0,1.4,1.7,4.2,26.6,30396,74.1,16.5,9.2,0.2,5.3
33003,Carroll,47513,23712,23801,1.4,96.2,0.4,0.1,0.6,0.0,38727,53306.0,2643.0,1662,9.5,11.2,32.2,23.4,22.5,11.9,10.0,81.1,7.5,0.4,2.3,1.6,7.1,26.2,22992,71.9,14.0,14.1,0.1,5.8
33005,Cheshire,76430,37155,39275,1.6,94.7,0.7,0.2,1.2,0.0,61024,57782.0,1690.0,996,11.8,16.9,36.7,16.1,23.8,9.7,13.6,78.7,8.1,0.4,3.2,1.5,8.1,22.5,39695,78.3,14.6,7.1,0.1,6.1
33007,Coos,31870,16226,15644,1.5,94.4,1.7,0.6,0.4,0.0,25761,42312.0,1911.0,943,14.1,21.7,31.1,22.4,21.8,11.5,13.2,79.4,10.0,0.1,3.5,1.0,5.8,20.7,14644,72.7,18.0,9.0,0.4,6.9
33009,Grafton,89341,44024,45317,2.1,91.5,0.7,0.5,3.2,0.1,71143,55762.0,2055.0,1120,11.6,15.5,42.7,18.8,19.6,8.6,10.3,73.9,8.7,1.5,8.5,2.5,4.9,21.5,45198,75.8,15.4,8.6,0.2,5.0
33011,Hillsborough,403972,200201,203771,5.9,86.5,2.1,0.1,3.6,0.0,298726,71244.0,998.0,519,8.8,11.7,40.7,14.8,25.1,8.3,11.1,81.6,8.5,0.9,2.0,0.9,6.2,27.5,215215,82.8,11.3,5.8,0.1,5.9
33013,Merrimack,147262,72470,74792,1.8,93.6,1.1,0.1,1.6,0.0,114442,65983.0,1833.0,757,9.1,12.3,39.9,16.5,24.0,9.1,10.5,81.1,7.7,0.3,2.7,1.3,6.9,26.1,76330,75.6,16.7,7.6,0.1,5.2
33015,Rockingham,299006,147837,151169,2.5,93.5,0.7,0.1,1.8,0.0,230759,81198.0,1225.0,727,5.5,7.3,42.4,13.5,25.1,9.1,9.9,84.1,6.2,0.9,1.7,1.0,6.2,30.0,166354,80.9,12.3,6.7,0.1,5.6
33017,Strafford,125273,61104,64169,2.1,91.9,0.9,0.1,2.8,0.0,97498,60711.0,1311.0,821,11.1,12.9,37.3,17.6,24.1,8.5,12.4,78.4,8.4,2.1,5.4,1.4,4.3,26.8,66369,79.0,15.6,5.3,0.0,6.5
33019,Sullivan,43135,21182,21953,1.4,95.7,0.4,0.5,0.9,0.0,34240,56032.0,3190.0,928,9.7,12.7,35.2,14.1,24.3,9.2,17.3,77.5,12.2,0.4,3.0,1.8,5.2,25.4,21617,79.2,12.9,7.8,0.1,5.8
