CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
34001,Atlantic,275376,133217,142159,18.1,57.0,14.3,0.2,8.2,0.0,194938,54461.0,1324.0,483,15.2,23.2,29.9,29.8,24.0,8.0,8.2,76.1,8.3,7.4,3.4,2.8,2.0,23.8,128151,79.6,15.5,4.7,0.2,12.5
34003,Bergen,926330,448049,478281,17.9,59.4,5.3,0.1,15.5,0.0,623917,85806.0,994.0,567,7.4,9.0,46.9,13.8,25.5,6.2,7.7,69.5,7.4,14.1,2.9,1.5,4.6,31.9,459612,82.6,11.6,5.7,0.2,6.5
34005,Burlington,450556,221673,228883,7.3,69.0,15.6,0.1,4.6,0.0,336610,78621.0,1237.0,449,6.4,8.5,42.7,15.3,25.8,6.9,9.3,83.1,7.3,3.5,1.5,1.0,3.6,28.9,221766,77.4,18.2,4.2,0.1,8.5
34007,Camden,511998,247370,264628,15.4,58.5,18.1,0.1,5.6,0.0,368801,62185.0,1097.0,416,13.2,19.9,38.8,17.4,25.8,7.0,11.0,77.4,8.8,7.5,1.9,1.1,3.3,27.8,241708,82.0,13.8,4.0,0.1,10.2
34009,Cape May,95805,46617,49188,7.0,85.9,4.6,0.1,1.1,0.0,76043,57637.0,1972.0,840,10.4,15.9,35.1,22.1,24.4,11.0,7.4,78.3,7.1,1.9,5.4,3.2,4.2,22.4,42881,72.9,20.8,6.0,0.3,10.0
34011,Cumberland,157035,80938,76097,28.6,48.5,18.6,0.5,1.3,0.0,109557,49984.0,1313.0,533,17.9,26.1,26.3,23.6,22.2,11.1,16.9,82.6,10.0,1.8,2.0,2.0,1.6,23.5,63220,75.0,21.1,3.6,0.3,11.1
34013,Essex,791609,380222,411387,21.7,31.9,38.7,0.1,4.9,0.0,506169,53976.0,899.0,370,17.3,24.4,37.3,20.0,23.9,7.3,11.4,61.6,8.7,20.6,4.6,1.4,3.1,33.6,358229,79.9,15.1,4.9,0.1,13.0
34015,Gloucester,290298,141053,149245,5.4,79.6,9.8,0.1,2.9,0.0,217039,76727.0,1478.0,400,8.1,10.1,41.0,14.7,25.8,8.0,10.5,85.9,6.7,1.9,1.5,1.2,2.9,29.0,141635,79.9,16.2,3.7,0.1,9.2
34017,Hudson,662619,329204,333415,42.8,29.4,11.1,0.1,14.5,0.0,389269,59741.0,1178.0,401,17.5,26.5,39.4,18.4,22.9,6.2,13.1,38.4,7.9,41.0,8.3,1.5,3.0,34.9,339606,84.7,10.9,4.4,0.1,9.3
34019,Hunterdon,126250,62901,63349,5.9,86.9,2.4,0.1,3.6,0.2,94644,105444.0,2651.0,1410,4.4,5.0,50.8,13.4,23.2,6.6,5.9,82.3,5.5,2.1,1.8,0.7,7.6,32.9,65918,79.6,13.6,6.6,0.1,5.9
34021,Mercer,370212,181158,189054,16.2,52.3,19.6,0.1,10.1,0.0,249153,72804.0,1555.0,611,11.5,16.4,43.9,17.9,23.3,5.7,9.2,72.2,9.6,8.1,3.1,2.0,5.1,27.6,177609,78.1,17.4,4.4,0.1,9.4
34023,Middlesex,830300,408374,421926,19.6,46.1,9.2,0.1,23.2,0.0,531475,79593.0,1012.0,328,8.8,11.5,44.2,14.0,24.3,6.2,11.2,73.1,8.4,9.5,2.9,2.3,3.8,32.9,402766,83.1,13.1,3.8,0.1,7.5
34025,Monmouth,629185,306200,322985,10.3,75.9,6.7,0.0,5.3,0.0,453926,85242.0,1177.0,555,7.5,9.9,43.8,15.6,25.5,7.7,7.4,75.7,7.5,8.0,2.1,1.8,5.0,33.5,307183,80.6,13.8,5.5,0.2,7.9
34027,Morris,498192,244074,254118,12.4,72.9,3.0,0.1,9.7,0.0,349407,100214.0,1277.0,594,4.5,4.7,49.6,13.0,24.7,5.8,6.9,78.7,7.7,5.0,2.1,1.0,5.5,30.3,258862,82.8,11.8,5.3,0.1,6.3
34029,Ocean,583450,280258,303192,8.8,85.1,2.9,0.0,1.9,0.0,426551,61994.0,705.0,344,11.3,20.0,34.5,18.5,27.4,10.7,8.9,82.5,7.5,2.1,1.6,1.6,4.7,30.9,246680,78.0,16.3,5.4,0.2,8.8
34031,Passaic,507574,247026,260548,39.1,43.3,11.0,0.1,5.2,0.0,324670,59739.0,1370.0,403,16.7,25.3,32.0,17.6,24.8,7.5,18.1,71.1,11.4,9.3,3.2,2.1,2.9,26.8,229762,84.1,11.5,4.2,0.1,8.6
34033,Salem,65120,31653,33467,7.7,75.7,13.8,0.1,0.9,0.0,48689,61831.0,2884.0,1325,13.5,23.3,32.4,18.1,20.7,12.0,16.7,84.2,8.7,1.2,1.8,1.4,2.7,25.1,29226,79.7,15.6,4.6,0.1,10.6
34035,Somerset,330604,161252,169352,14.0,59.4,8.8,0.1,16.0,0.0,221261,100667.0,1308.0,852,5.0,6.0,51.0,12.4,23.5,5.5,7.5,78.7,7.8,4.7,1.7,1.3,5.7,31.8,170172,84.4,11.0,4.4,0.2,6.0
34037,Sussex,145930,72391,73539,7.1,87.7,1.9,0.0,1.8,0.0,110503,86565.0,2401.0,838,5.7,6.9,38.8,16.1,26.3,9.7,9.2,84.2,6.6,1.7,1.1,1.0,5.4,38.1,75669,78.8,14.3,6.7,0.1,8.2
34039,Union,548744,267263,281481,29.4,42.4,20.3,0.1,4.8,0.0,341636,69594.0,1178.0,495,10.9,15.4,36.0,17.5,24.6,7.6,14.4,69.0,7.7,10.5,3.2,5.9,3.7,30.7,267803,82.6,13.4,3.9,0.1,9.8
34041,Warren,107226,52134,55092,8.0,83.8,4.0,0.1,2.7,0.0,79635,70471.0,2038.0,767,8.0,11.9,35.2,17.3,26.1,10.3,11.2,80.2,9.4,1.2,3.0,1.3,4.9,34.8,53302,79.5,14.4,6.0,0.1,9.0
