CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
36001,Albany,307463,148776,158687,5.5,74.2,11.8,0.1,5.7,0.1,238187,59887.0,1280.0,621,13.5,17.1,43.2,17.6,26.2,5.6,7.4,77.9,7.4,5.7,4.5,1.5,2.9,20.4,155200,70.9,25.0,4.0,0.1,6.4
36003,Allegany,48070,24313,23757,1.5,94.8,1.3,0.3,1.2,0.0,37527,42776.0,1315.0,626,16.9,25.1,32.1,21.0,19.5,11.7,15.8,74.3,9.1,0.6,11.5,1.5,3.0,21.4,20410,73.9,18.8,7.1,0.2,9.2
36005,Bronx,1428357,672447,755910,54.6,10.3,29.6,0.2,3.6,0.0,820317,34299.0,495.0,186,30.7,42.5,24.3,33.3,24.2,7.1,11.0,22.5,4.7,59.7,8.0,1.8,3.3,43.0,563903,79.9,14.8,5.2,0.1,14.0
36007,Broome,198093,97363,100730,3.8,84.9,4.8,0.2,4.1,0.0,154136,46261.0,1079.0,451,17.9,24.3,36.2,19.4,24.9,8.3,11.2,79.4,8.3,3.3,4.5,1.1,3.5,19.6,88758,75.0,19.5,5.4,0.1,7.8
36009,Cattaraugus,78962,39089,39873,1.9,91.2,1.5,2.8,0.8,0.0,60226,42601.0,1264.0,436,18.3,27.7,27.7,20.7,24.6,11.4,15.7,80.7,8.6,0.5,5.6,1.6,3.0,21.8,34265,73.9,19.8,6.1,0.3,8.2
36011,Cayuga,79173,40576,38597,2.7,90.7,4.1,0.3,0.4,0.0,61985,52082.0,1304.0,486,12.0,17.7,32.7,19.9,22.4,10.3,14.7,81.5,8.5,0.9,3.8,1.1,4.1,22.3,37023,76.1,17.5,6.1,0.3,7.3
36013,Chautauqua,132646,65776,66870,6.8,88.2,2.3,0.5,0.7,0.1,103468,42993.0,986.0,450,18.9,29.9,28.9,19.9,22.5,9.8,18.9,80.9,9.6,0.3,4.5,1.2,3.5,17.9,58012,74.4,17.9,7.5,0.2,7.8
36015,Chemung,88267,43776,44491,2.9,86.6,5.7,0.4,1.5,0.0,67920,50320.0,1785.0,827,15.8,22.2,34.4,20.4,23.1,8.2,13.9,84.1,7.3,2.0,3.3,0.9,2.3,19.5,38219,78.3,16.7,4.8,0.2,5.4
36017,Chenango,49549,24678,24871,2.1,95.0,0.8,0.3,0.5,0.0,38543,45668.0,1824.0,569,15.9,23.6,31.2,18.6,22.0,10.0,18.1,75.9,12.5,0.7,5.0,0.8,5.2,23.7,21652,70.2,21.4,8.0,0.5,7.1
36019,Clinton,81685,42107,39578,2.7,90.3,4.0,0.3,1.3,0.0,64691,49930.0,1894.0,699,16.5,22.1,31.2,22.8,22.9,8.9,14.3,76.6,12.5,0.6,4.7,2.7,2.8,20.6,35522,70.6,23.9,5.4,0.1,6.9
36021,Columbia,62195,31244,30951,4.3,87.5,4.1,0.1,1.7,0.0,48772,59105.0,2511.0,1364,11.7,16.8,37.4,20.0,21.5,11.0,10.1,77.2,9.0,2.3,4.1,0.7,6.7,26.0,29962,71.0,19.8,8.9,0.3,6.7
36023,Cortland,49043,23921,25122,2.5,92.9,1.5,0.1,0.9,0.0,38907,49514.0,1892.0,794,14.7,15.3,33.3,20.3,23.7,9.0,13.7,74.8,11.9,0.8,6.8,0.9,4.8,20.9,24080,72.7,20.6,6.5,0.2,6.1
36025,Delaware,46901,23515,23386,3.5,92.6,1.8,0.2,0.6,0.0,37601,43720.0,2374.0,881,15.3,26.4,30.8,20.9,21.5,11.7,15.1,74.1,10.5,1.5,6.6,1.0,6.3,23.2,19850,65.7,22.8,11.0,0.5,9.5
36027,Dutchess,296928,147663,149265,11.3,72.9,9.4,0.1,3.8,0.0,221700,71904.0,1193.0,497,9.3,11.8,40.1,19.8,22.9,8.8,8.4,75.1,8.2,5.0,5.1,1.1,5.5,31.3,143829,77.2,16.8,5.7,0.2,8.7
