CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
37001,Alamance,155258,74019,81239,11.9,65.9,18.2,0.2,1.5,0.1,111289,41814.0,1165.0,489,19.2,29.1,31.7,18.0,24.2,10.0,16.1,83.1,10.6,0.3,1.4,1.3,3.4,23.7,71156,81.2,12.7,5.8,0.3,7.9
37003,Alexander,37158,19042,18116,4.4,87.5,5.6,0.1,1.0,0.1,28624,39365.0,2873.0,960,17.2,26.3,25.5,13.2,21.5,10.8,28.9,86.9,9.7,0.0,0.2,0.9,2.3,25.0,16182,83.0,12.1,4.8,0.1,9.0
37005,Alleghany,10911,5416,5495,9.3,87.3,2.2,0.1,0.2,0.0,8381,36968.0,3199.0,1496,18.4,26.2,29.8,19.5,20.9,14.1,15.7,82.1,10.2,0.1,2.1,0.9,4.6,26.0,4365,68.8,18.4,12.3,0.4,10.5
37007,Anson,26135,13693,12442,3.4,45.4,48.8,0.3,1.2,0.0,20083,33228.0,2590.0,1019,24.2,35.2,21.5,19.0,18.4,11.4,29.7,83.6,12.8,0.5,1.1,0.8,1.2,27.4,9875,75.7,19.7,4.3,0.4,17.6
37009,Ashe,27114,13389,13725,5.1,92.7,0.7,0.4,0.3,0.0,21194,36267.0,1102.0,1397,20.7,30.4,26.3,19.8,20.9,15.6,17.4,80.3,13.6,0.2,1.1,1.1,3.7,27.3,11790,72.5,14.9,12.4,0.2,8.5
37011,Avery,17695,9673,8022,4.7,87.3,4.1,0.5,0.5,0.0,14294,37777.0,2921.0,2076,15.4,16.3,26.5,24.2,24.0,13.5,11.9,79.7,11.8,0.5,2.4,0.6,5.0,22.9,6873,75.3,14.9,9.5,0.3,6.9
37013,Beaufort,47561,22645,24916,7.4,66.0,25.7,0.0,0.0,0.0,36336,40391.0,1538.0,1005,18.4,25.9,29.3,18.1,23.0,14.9,14.7,86.4,7.6,0.2,1.7,0.8,3.2,24.0,18786,76.7,16.0,7.2,0.1,11.5
37015,Bertie,20518,10429,10089,1.7,34.8,61.9,0.6,0.5,0.0,16386,30027.0,1903.0,946,22.3,37.0,23.9,14.4,20.2,14.7,26.8,80.8,12.8,0.7,1.7,1.5,2.5,24.5,7158,77.0,17.9,4.8,0.3,13.5
37017,Bladen,34720,16491,18229,7.6,54.3,34.7,2.1,0.0,0.0,25723,30096.0,2158.0,1131,27.4,41.8,24.9,18.5,17.8,16.4,22.4,83.7,11.5,0.4,2.2,0.5,1.8,25.1,13040,72.0,23.4,4.6,0.0,12.1
37019,Brunswick,115926,56359,59567,4.8,81.2,10.6,0.3,0.6,0.4,92923,46859.0,1715.0,1126,16.3,29.1,28.8,21.6,25.9,13.4,10.3,79.6,13.3,0.4,0.7,1.2,4.8,23.7,45213,78.0,13.6,8.1,0.2,11.4
37021,Buncombe,247336,118950,128386,6.4,83.8,6.2,0.4,1.1,0.0,190918,45167.0,1056.0,652,15.9,22.4,38.8,18.9,23.5,8.8,10.1,80.1,8.5,0.7,2.6,1.0,7.1,20.3,117252,79.0,12.4,8.4,0.3,7.0
37023,Burke,89548,44499,45049,5.8,82.3,5.9,0.4,3.6,0.0,68606,39360.0,1483.0,598,19.9,30.6,28.5,20.5,19.6,9.5,21.9,86.5,8.9,0.2,1.6,0.4,2.4,21.7,36632,75.2,18.8,5.7,0.3,11.6
37025,Cabarrus,188375,91929,96446,9.8,69.6,16.1,0.2,2.5,0.0,129648,54720.0,1592.0,591,12.5,16.8,37.4,16.3,24.1,9.7,12.4,83.1,10.6,0.5,0.7,0.9,4.2,27.0,87960,81.5,13.7,4.7,0.1,9.2
37027,Caldwell,81758,40178,41580,4.9,88.1,4.9,0.4,0.6,0.1,62495,35763.0,1123.0,784,19.6,27.3,23.9,17.5,23.8,11.2,23.6,85.9,8.4,0.1,0.7,1.3,3.6,23.6,33837,80.3,13.6,5.9,0.1,12.2
37029,Camden,10161,5114,5047,2.6,80.4,13.8,0.6,2.2,0.0,7556,58780.0,6671.0,2131,7.9,14.2,38.2,16.8,23.5,10.8,10.7,86.9,9.5,0.2,0.1,1.3,2.0,35.7,4429,57.4,37.2,5.4,0.0,9.3
37031,Carteret,68228,33481,34747,4.1,86.4,6.0,0.4,1.2,0.0,54150,48457.0,1644.0,938,15.0,24.5,35.5,20.3,21.6,12.8,9.8,80.3,10.9,0.5,1.4,2.6,4.4,23.3,29496,66.8,22.2,10.8,0.1,10.2
37033,Caswell,23174,11711,11463,3.4,61.3,32.7,0.1,0.5,0.1,18361,37869.0,2560.0,1382,20.9,34.6,25.9,21.0,22.4,11.8,18.9,78.4,16.3,0.1,1.8,1.1,2.2,31.6,9276,77.7,16.1,5.8,0.4,10.9
37035,Catawba,154610,75784,78826,8.8,77.0,8.4,0.3,3.8,0.0,112497,44376.0,1522.0,648,15.5,23.2,31.4,15.8,23.1,7.0,22.8,85.6,8.8,0.1,0.9,1.0,3.6,22.3,69954,83.8,10.9,5.2,0.1,8.2
