CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
38001,Adams,2341,1184,1157,1.1,92.4,1.1,2.7,1.2,0.0,1883,52118.0,6779.0,3883,9.6,16.5,44.3,11.5,16.0,19.0,9.1,72.7,8.2,0.8,6.8,1.8,9.7,19.5,1279,65.4,14.5,19.8,0.4,1.2
38003,Barnes,11097,5524,5573,1.6,93.7,0.9,0.9,2.0,0.0,8629,53141.0,3395.0,2668,8.0,8.0,35.7,18.8,18.3,13.7,13.5,71.8,12.4,0.4,10.1,1.0,4.3,17.4,5889,66.3,21.1,12.2,0.4,2.4
38005,Benson,6794,3497,3297,2.2,42.1,0.0,54.5,0.1,0.1,4470,41296.0,1869.0,1540,33.5,47.8,38.1,20.2,15.0,11.9,14.8,75.1,8.2,0.5,5.1,1.1,10.0,17.6,2461,59.2,27.5,13.0,0.3,6.1
38007,Billings,969,582,387,4.3,91.3,0.8,0.5,3.0,0.0,766,70469.0,18110.0,6507,10.3,7.9,35.1,17.9,14.7,16.1,16.1,55.5,10.4,0.0,16.6,1.6,15.9,25.6,564,69.5,17.6,12.4,0.5,1.4
38009,Bottineau,6634,3492,3142,1.8,92.8,0.9,2.5,0.2,0.0,5236,56349.0,3615.0,2634,8.5,9.9,35.3,17.0,19.5,17.3,10.9,76.9,9.6,0.0,4.6,1.0,7.8,21.2,3369,67.7,16.7,15.0,0.6,2.6
38011,Bowman,3221,1560,1661,4.4,93.5,0.1,1.2,0.0,0.0,2437,66845.0,7320.0,2481,7.4,5.1,31.8,17.1,19.2,23.1,8.8,81.1,8.2,0.0,4.4,1.4,4.8,15.5,1721,71.6,16.6,11.4,0.3,1.8
38013,Burke,2208,1209,999,5.3,93.0,0.0,1.2,0.2,0.0,1603,60096.0,12783.0,2926,13.6,16.9,32.7,16.7,17.0,20.8,12.8,71.6,8.6,0.4,10.0,1.2,8.2,23.5,1084,70.8,14.5,14.0,0.6,2.3
38015,Burleigh,88223,43809,44414,1.7,91.1,0.9,3.8,0.6,0.0,67366,65254.0,1780.0,995,8.2,10.2,38.5,15.6,24.0,12.7,9.2,82.2,10.3,0.2,2.2,1.0,4.1,18.2,49375,76.5,17.9,5.4,0.2,2.3
38017,Cass,162500,81905,80595,2.3,88.8,3.1,1.1,2.6,0.0,121425,53289.0,1923.0,710,12.1,11.3,37.9,16.3,24.5,9.2,12.1,82.7,8.4,0.8,3.2,1.6,3.3,16.5,94675,82.9,12.6,4.5,0.1,3.2
38019,Cavalier,3890,1959,1931,0.0,96.2,0.1,1.2,0.3,0.0,3096,66806.0,7449.0,3564,4.8,2.2,43.5,8.4,20.4,14.6,13.0,78.3,7.7,0.1,4.4,1.1,8.5,13.0,1968,64.6,16.0,19.0,0.5,0.8
38021,Dickey,5195,2610,2585,2.9,94.0,1.5,0.8,0.3,0.0,3965,53750.0,3496.0,1700,8.2,8.3,35.4,19.0,18.6,14.6,12.5,75.8,7.4,0.3,9.4,0.7,6.4,12.5,2755,74.8,11.7,10.9,2.6,1.5
38023,Divide,2314,1170,1144,0.2,95.5,0.5,1.6,0.9,0.0,1909,56042.0,7926.0,5641,7.9,7.6,41.4,16.8,16.7,17.0,8.1,66.3,12.7,0.0,4.1,0.0,16.9,15.7,1252,54.9,15.3,29.8,0.0,0.7
38025,Dunn,4195,2221,1974,2.8,83.1,0.1,9.9,1.3,0.1,3191,69732.0,9653.0,5088,12.6,15.3,31.3,18.5,16.0,18.0,16.1,66.2,12.8,0.7,4.8,1.9,13.5,24.6,2078,65.0,16.8,16.3,1.9,4.3
38027,Eddy,2370,1112,1258,3.3,90.5,0.0,4.2,0.0,0.2,1809,48583.0,4066.0,5414,13.7,17.4,38.7,20.0,14.8,16.5,10.1,70.7,12.3,0.0,5.4,2.3,9.2,18.8,1208,60.8,21.4,17.5,0.2,1.9
38029,Emmons,3463,1738,1725,0.1,96.8,0.0,0.3,0.5,0.0,2713,44051.0,1892.0,3069,11.3,6.3,39.2,16.2,20.3,17.4,6.9,66.5,2.3,0.0,11.0,2.1,18.1,16.5,1583,58.2,17.8,22.8,1.2,3.6
38031,Foster,3366,1674,1692,1.2,96.5,0.1,0.8,0.7,0.0,2635,55769.0,6819.0,1652,9.6,12.3,31.6,15.8,21.6,13.5,17.4,82.0,6.4,0.0,5.6,1.0,5.0,13.7,1786,69.6,12.9,16.3,1.1,1.3
38033,Golden Valley,1822,870,952,2.0,95.6,0.0,0.4,0.0,0.0,1342,40179.0,18784.0,3004,10.0,12.0,36.4,20.2,20.0,17.9,5.4,71.4,8.3,0.0,9.4,2.1,8.8,12.7,964,64.1,17.8,14.2,3.8,1.0
38035,Grand Forks,68979,35439,33540,3.7,86.3,2.5,2.6,2.3,0.0,53320,48676.0,2188.0,1143,17.5,17.1,35.2,19.4,24.9,11.0,9.5,81.5,8.2,1.0,3.8,1.4,4.1,13.9,37754,73.7,22.0,4.0,0.2,3.6
38037,Grant,2362,1170,1192,0.8,97.0,0.3,1.1,0.0,0.0,1929,44559.0,5082.0,2835,14.9,15.6,47.5,14.9,14.2,11.2,12.3,58.4,7.9,0.0,6.9,1.9,25.0,22.0,1205,52.4,13.3,32.8,1.5,3.4
38039,Griggs,2329,1172,1157,0.4,96.6,1.2,0.9,0.2,0.0,1879,48355.0,7311.0,2956,8.0,9.2,32.5,14.0,27.3,14.0,12.1,76.7,6.6,0.0,5.5,0.9,10.3,15.6,1203,70.6,11.1,17.4,0.9,2.0
38041,Hettinger,2621,1252,1369,1.9,94.2,0.7,2.3,0.0,0.3,2060,52169.0,3233.0,2027,8.8,12.7,37.2,14.0,21.1,17.1,10.6,74.2,5.9,1.6,5.6,0.4,12.2,20.0,1211,61.8,16.1,20.9,1.2,1.1
38043,Kidder,2430,1279,1151,5.0,94.7,0.0,0.0,0.0,0.0,1947,54559.0,4474.0,2923,7.6,8.5,41.3,11.4,21.5,16.6,9.2,56.4,16.1,0.6,8.0,2.6,16.3,24.9,1337,58.6,16.2,25.1,0.1,0.9
38045,LaMoure,4113,2149,1964,0.8,97.9,0.1,0.2,0.0,0.0,3257,54821.0,3174.0,2691,9.5,9.1,37.0,14.0,19.7,15.3,14.0,70.1,6.1,0.0,10.4,1.1,12.3,17.9,2073,63.6,14.1,20.4,1.9,1.9
38047,Logan,1945,943,1002,1.4,96.6,0.3,0.3,0.3,0.0,1535,51458.0,5161.0,5026,8.1,2.3,38.2,18.9,15.7,18.7,8.5,60.0,11.4,0.0,12.8,0.7,15.1,15.5,952,58.4,11.8,27.8,2.0,2.2
38049,McHenry,5817,3046,2771,2.4,95.3,0.2,0.6,0.2,0.0,4464,57386.0,5570.0,4373,12.9,21.8,32.0,13.2,20.5,20.6,13.7,72.9,9.2,0.0,7.8,0.6,9.6,27.2,2840,66.8,13.6,19.4,0.2,3.1
38051,McIntosh,2759,1341,1418,0.9,95.8,0.3,0.5,0.5,0.0,2239,42277.0,6730.0,2666,11.7,10.4,36.2,20.8,18.6,14.2,10.3,64.9,6.4,0.2,17.5,0.6,10.4,11.9,1347,62.7,16.6,19.5,1.1,1.2
38053,McKenzie,9615,5077,4538,2.8,76.7,0.8,17.2,0.4,0.0,6823,72794.0,10937.0,2523,13.7,20.4,32.5,11.4,21.8,19.7,14.6,78.3,9.1,0.9,4.9,1.3,5.5,18.8,4766,75.8,13.1,10.9,0.2,3.0
38055,McLean,9451,4783,4668,2.2,89.6,0.0,7.1,0.1,0.0,7416,55686.0,1590.0,1372,11.6,17.1,33.8,18.1,19.1,17.2,11.8,72.6,11.2,0.5,5.7,0.5,9.5,23.1,4541,65.8,17.9,15.4,0.9,1.6
38057,Mercer,8633,4469,4164,2.2,93.9,0.0,2.9,0.2,0.0,6736,72704.0,4258.0,1406,8.2,7.9,28.5,16.1,20.5,19.9,15.0,75.4,12.3,0.3,4.8,2.5,4.6,18.1,4391,80.3,13.1,6.6,0.0,3.2
38059,Morton,28985,14737,14248,2.3,91.4,0.6,3.6,0.1,0.0,22385,62418.0,3157.0,1500,8.0,8.9,34.7,17.2,23.3,12.0,12.8,83.0,9.6,0.0,1.7,0.5,5.1,20.1,16411,75.5,15.7,8.6,0.2,3.2
38061,Mountrail,9253,5086,4167,5.8,64.5,0.1,26.5,0.7,0.0,6803,68188.0,5505.0,3696,13.5,18.5,33.4,20.5,19.0,13.3,13.7,78.3,9.3,0.4,4.3,1.4,6.3,16.7,4607,58.2,27.2,12.1,2.4,4.7
38063,Nelson,3048,1572,1476,1.9,94.6,1.4,1.3,0.0,0.0,2500,51085.0,2760.0,3287,8.4,6.7,34.2,18.3,18.2,16.5,12.9,71.4,10.2,0.0,7.1,1.1,10.2,20.0,1554,63.4,18.0,18.5,0.1,0.7
38065,Oliver,1819,944,875,2.9,91.7,0.3,4.3,0.2,0.0,1414,60278.0,11592.0,3769,7.7,8.4,38.5,13.3,18.1,20.4,9.7,60.1,12.0,0.0,3.4,3.4,21.1,24.9,857,60.0,16.3,22.6,1.1,3.6
38067,Pembina,7206,3694,3512,3.2,92.8,0.2,2.4,0.1,0.0,5610,53504.0,4371.0,1921,6.4,7.3,30.1,16.0,22.5,18.1,13.3,79.0,9.9,0.1,5.3,0.8,4.9,17.0,3694,71.9,16.5,11.5,0.2,3.5
38069,Pierce,4395,2220,2175,1.1,95.7,0.5,1.9,0.0,0.0,3528,42563.0,5653.0,1613,16.5,25.3,32.2,18.9,20.1,18.4,10.3,78.2,5.9,2.6,8.2,0.2,4.9,14.0,2194,72.4,8.9,18.4,0.3,0.9
38071,Ramsey,11566,5892,5674,2.2,85.4,0.1,9.6,0.6,0.0,8878,50841.0,4948.0,2309,10.1,14.0,34.9,17.3,26.3,11.7,9.9,81.6,6.2,0.5,4.0,1.8,5.9,12.5,5910,73.0,18.2,8.5,0.3,1.2
38073,Ransom,5453,2788,2665,1.6,95.7,0.6,0.6,0.3,0.0,4167,56500.0,3836.0,2420,9.3,8.2,33.2,17.7,13.4,12.0,23.6,72.3,13.1,0.0,4.8,0.1,9.7,17.1,2847,72.6,14.6,12.2,0.6,2.0
38075,Renville,2562,1294,1268,2.5,95.9,0.2,0.5,0.5,0.0,1914,65125.0,7153.0,2405,7.4,9.0,36.0,12.4,23.2,16.4,11.9,76.0,8.0,0.1,4.1,0.1,11.7,21.4,1301,63.9,18.4,17.3,0.5,1.6
38077,Richland,16317,8414,7903,2.5,92.6,0.5,2.8,0.3,0.0,12703,55390.0,3981.0,1053,10.8,13.4,31.7,17.5,18.0,15.2,17.5,78.3,9.4,0.0,5.2,1.2,5.9,17.6,8800,74.9,15.3,9.7,0.1,3.0
38079,Rolette,14498,7120,7378,0.5,19.9,0.5,77.2,0.3,0.0,9601,33277.0,3563.0,1170,35.5,48.9,37.5,20.9,20.8,12.6,8.2,83.9,5.7,0.1,2.0,0.8,7.6,18.6,4907,44.3,46.6,8.7,0.3,4.8
38081,Sargent,3874,2038,1836,2.6,94.6,1.1,0.6,0.6,0.0,3016,57125.0,2479.0,1699,5.8,5.5,31.0,10.0,16.6,14.1,28.3,69.1,11.6,0.0,7.7,2.6,9.0,14.2,2078,73.9,13.3,11.6,1.1,1.2
38083,Sheridan,1337,668,669,0.3,98.2,0.0,0.4,0.0,0.0,1107,48102.0,3348.0,3680,15.6,24.5,39.4,15.4,14.5,18.4,12.2,64.2,6.9,0.0,7.8,0.0,21.1,22.8,629,59.3,13.0,27.2,0.5,2.0
38085,Sioux,4380,2215,2165,3.6,13.9,0.0,79.4,0.2,0.1,2735,38068.0,4250.0,1594,35.7,44.3,40.8,26.7,19.3,5.6,7.6,66.3,14.8,0.6,5.5,0.8,12.0,17.1,1291,32.9,56.8,10.2,0.1,20.3
38087,Slope,673,376,297,0.3,97.3,0.6,0.0,0.0,0.0,540,55000.0,9245.0,5686,10.1,8.3,46.3,7.5,14.9,19.7,11.6,60.4,8.7,0.9,10.5,0.9,18.6,24.0,335,56.1,15.5,27.5,0.9,0.0
38089,Stark,28628,14859,13769,4.4,90.3,1.1,0.9,1.3,0.1,21218,72099.0,2915.0,1775,6.7,4.9,27.7,16.1,23.2,17.5,15.5,82.2,9.6,0.2,2.5,1.0,4.5,17.4,16062,77.5,13.6,8.9,0.1,2.8
38091,Steele,1979,1034,945,1.6,98.4,0.0,0.0,0.0,0.0,1586,55833.0,5179.0,3961,7.3,9.2,33.0,13.6,18.6,18.2,16.6,70.8,8.5,0.0,10.9,0.5,9.3,18.1,1035,72.8,8.5,18.1,0.7,4.0
38093,Stutsman,21076,10697,10379,2.0,93.6,0.5,1.5,0.5,0.1,16565,52359.0,2422.0,1822,10.9,16.2,31.6,22.0,20.0,11.7,14.8,82.8,7.9,1.1,3.5,1.0,3.7,13.6,11144,75.4,15.8,8.2,0.6,2.5
38095,Towner,2294,1129,1165,1.6,88.8,0.0,2.0,0.1,0.0,1711,56625.0,8213.0,3252,14.0,25.6,45.0,16.5,20.6,10.9,7.0,65.8,11.3,0.1,13.5,1.5,7.8,14.2,1059,56.5,15.8,26.9,0.8,2.9
38097,Traill,8077,4052,4025,3.0,93.6,0.6,1.1,0.3,0.2,6205,54960.0,3096.0,2202,10.5,12.9,33.3,15.6,21.4,15.1,14.6,78.3,8.9,0.1,6.2,1.4,5.1,20.7,4085,72.3,19.2,8.4,0.2,2.7
38099,Walsh,11005,5635,5370,10.6,85.7,0.2,1.5,0.5,0.0,8370,49411.0,2226.0,2140,10.4,12.0,30.9,16.4,18.2,19.7,14.8,76.4,12.0,0.2,5.1,0.9,5.4,17.2,5457,73.5,15.0,11.1,0.4,3.3
38101,Ward,67736,35076,32660,4.7,85.9,3.1,1.3,1.3,0.2,50545,61393.0,1688.0,1011,7.5,9.5,30.5,18.9,23.2,13.7,13.7,83.2,10.2,0.2,2.6,0.7,3.1,18.2,35580,76.8,16.7,6.4,0.1,2.6
38103,Wells,4204,2121,2083,0.7,97.8,0.0,0.2,0.0,0.0,3412,48098.0,4988.0,2073,5.5,0.0,33.3,14.6,21.8,16.0,14.3,70.4,8.6,0.0,6.7,1.2,13.1,14.3,2055,67.8,15.6,16.1,0.5,1.3
38105,Williams,29619,16066,13553,4.5,86.8,1.8,4.1,0.3,0.1,21893,88013.0,5058.0,2882,10.1,12.6,29.9,13.4,20.0,20.5,16.3,80.9,9.6,0.0,4.7,1.0,3.9,18.2,16193,78.3,11.2,10.3,0.2,1.7
