CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
39001,Adams,28229,13957,14272,0.9,96.7,0.4,0.2,0.1,0.0,21205,35560.0,2552.0,910,24.6,31.4,27.9,19.3,17.4,14.0,21.5,80.0,10.7,0.6,2.7,1.6,4.4,34.6,10135,81.4,12.3,6.0,0.3,13.4
39003,Allen,105196,52977,52219,2.7,81.6,12.0,0.3,0.7,0.0,79928,44103.0,1461.0,564,17.5,25.3,26.9,20.4,22.7,8.0,22.0,86.6,8.9,0.5,1.4,0.9,1.7,19.3,47604,85.2,10.5,4.1,0.2,9.2
39005,Ashland,53189,26020,27169,1.1,96.2,0.8,0.1,0.5,0.0,40389,48003.0,1682.0,1268,14.9,25.0,30.4,17.1,21.7,10.5,20.4,84.9,6.9,0.3,3.9,1.0,2.9,23.5,24172,84.2,10.9,4.4,0.5,7.8
39007,Ashtabula,99777,50062,49715,3.8,90.2,3.4,0.1,0.5,0.0,76430,40544.0,1438.0,491,20.1,29.6,25.3,18.5,22.2,10.1,23.9,83.4,9.3,0.8,1.9,1.5,3.1,25.2,40422,84.5,10.4,5.0,0.1,8.9
39009,Athens,64974,32482,32492,1.8,90.1,2.3,0.2,3.3,0.0,52853,33872.0,1277.0,772,33.0,33.6,36.7,24.2,22.5,8.3,8.3,69.7,7.9,0.7,14.8,2.3,4.5,20.4,26794,63.9,31.3,4.5,0.3,10.9
39011,Auglaize,45873,22745,23128,1.4,96.5,0.5,0.2,0.5,0.0,34442,54274.0,2595.0,776,8.9,11.7,29.4,15.6,19.5,9.8,25.7,87.4,6.2,0.2,1.8,1.8,2.6,19.6,22719,84.3,10.6,4.9,0.1,5.0
39013,Belmont,69560,35479,34081,0.8,93.2,3.8,0.2,0.4,0.0,55959,43833.0,1491.0,711,14.6,21.5,26.4,19.9,23.7,14.6,15.3,86.3,7.7,0.4,2.6,1.1,1.9,22.5,29728,82.2,13.9,3.8,0.1,8.5
39015,Brown,44247,21878,22369,0.8,96.7,1.0,0.0,0.2,0.0,33605,45568.0,2573.0,920,14.9,20.6,25.7,21.0,21.0,11.5,20.7,82.7,10.3,0.1,1.1,0.4,5.2,34.9,18693,78.2,13.3,8.2,0.3,9.9
39017,Butler,372538,182470,190068,4.3,83.0,7.6,0.1,2.7,0.1,271979,57540.0,1221.0,442,13.9,18.8,36.7,17.0,24.9,7.0,14.3,84.8,7.8,0.7,2.2,1.0,3.5,24.1,176782,84.6,11.0,4.3,0.1,7.2
39019,Carroll,28361,14173,14188,1.1,96.7,0.8,0.1,0.2,0.0,22081,47075.0,2436.0,1157,15.4,25.5,24.7,16.6,21.9,13.5,23.4,82.5,9.1,0.3,2.7,0.6,4.7,30.1,12657,81.3,9.6,8.8,0.3,7.1
39021,Champaign,39393,19653,19740,1.4,93.7,1.9,0.1,0.4,0.0,29922,50974.0,2386.0,798,12.4,20.6,26.5,15.9,21.5,9.5,26.6,86.4,7.5,0.3,2.1,1.2,2.5,27.2,18230,81.0,13.1,5.9,0.0,9.1
39023,Clark,136827,66217,70610,3.0,84.7,8.5,0.1,0.7,0.1,104011,43625.0,1128.0,471,18.3,28.7,29.2,18.2,24.4,8.5,19.7,82.4,9.9,0.9,2.7,0.9,3.3,22.2,59111,81.5,12.8,5.4,0.2,10.0
39025,Clermont,200285,98883,101402,1.7,94.3,1.4,0.2,1.0,0.0,149479,60805.0,1180.0,608,10.7,14.6,35.5,15.7,25.9,9.2,13.7,85.9,6.9,0.6,1.2,0.7,4.8,27.7,97207,85.6,9.2,5.1,0.1,5.5
39027,Clinton,41892,20714,21178,1.6,93.5,2.5,0.1,0.3,0.0,31566,46787.0,1741.0,1127,15.9,21.7,28.0,15.6,27.1,9.5,19.8,84.9,7.0,0.3,2.9,1.4,3.5,26.5,18460,82.0,12.0,5.7,0.3,9.2
39029,Columbiana,105987,53166,52821,1.4,94.4,2.2,0.1,0.3,0.0,83072,44497.0,1487.0,691,15.4,23.8,25.4,19.3,22.0,10.3,23.1,85.2,8.6,0.5,2.0,0.9,2.8,25.1,46577,82.9,10.6,6.4,0.1,9.0
39031,Coshocton,36724,18291,18433,0.9,96.2,1.1,0.1,0.4,0.0,28014,41701.0,1707.0,754,16.1,24.2,21.8,18.6,18.4,14.9,26.3,80.9,8.6,0.4,2.7,2.2,5.2,22.9,15576,81.5,10.7,7.2,0.7,7.8
39033,Crawford,42725,20808,21917,1.4,96.0,0.7,0.0,0.4,0.0,33046,40795.0,1178.0,1113,16.4,25.7,26.3,18.6,20.0,10.2,24.9,83.6,10.1,0.3,2.6,1.2,2.1,21.6,18142,82.8,11.6,5.5,0.0,8.1
39035,Cuyahoga,1263189,600864,662325,5.3,60.4,29.3,0.2,2.8,0.0,955794,44190.0,438.0,252,18.7,27.8,39.0,18.4,24.7,5.6,12.3,80.2,7.4,4.9,2.6,1.2,3.5,24.2,576603,83.1,12.6,4.2,0.1,10.6
39037,Darke,52356,25694,26662,1.4,96.5,0.6,0.2,0.3,0.0,39372,44632.0,1992.0,696,13.3,19.7,24.9,14.9,19.9,13.2,27.0,83.6,7.8,1.0,2.2,1.0,4.4,22.8,23751,82.6,9.6,7.4,0.5,7.6
39039,Defiance,38669,19215,19454,9.5,87.0,1.7,0.3,0.3,0.0,29276,50663.0,1705.0,805,13.4,20.4,26.4,15.6,24.1,9.8,24.1,87.3,6.7,0.3,2.2,1.1,2.3,20.0,18092,83.5,11.1,5.3,0.1,8.4
39041,Delaware,185433,91762,93671,2.3,87.1,3.6,0.1,4.8,0.0,129656,91955.0,1912.0,982,4.5,4.7,51.9,11.6,24.3,5.2,7.0,85.9,5.1,0.3,1.0,0.8,6.8,25.9,94424,80.0,14.2,5.7,0.1,3.2
39043,Erie,76141,37232,38909,3.9,84.1,8.3,0.2,0.5,0.1,59445,48011.0,1442.0,940,12.4,19.0,29.5,22.4,22.0,8.1,18.1,83.4,9.7,0.7,2.8,1.1,2.3,20.9,35636,81.4,13.0,5.5,0.1,7.7
39045,Fairfield,149112,74128,74984,2.0,88.0,6.4,0.1,1.4,0.0,110571,60567.0,1568.0,657,10.3,13.9,36.2,17.9,24.7,8.3,13.0,85.4,7.6,0.3,1.5,1.1,4.1,27.3,69708,79.0,16.0,4.8,0.2,6.9
39047,Fayette,28769,14190,14579,1.8,93.3,1.9,0.1,0.6,0.0,21620,40503.0,2039.0,997,18.4,28.0,24.6,18.1,25.5,9.9,21.8,85.0,8.9,0.5,2.0,1.0,2.7,23.2,12385,79.7,13.4,6.6,0.3,8.6
39049,Franklin,1215761,592278,623483,5.0,65.8,21.1,0.1,4.3,0.0,866414,52341.0,432.0,260,17.5,24.8,41.6,17.0,25.3,5.2,10.8,81.4,8.2,2.6,2.5,1.5,3.9,21.6,616368,80.8,14.8,4.3,0.1,7.0
39051,Fulton,42485,20969,21516,8.2,89.8,0.5,0.1,0.3,0.0,31665,55120.0,1999.0,1066,10.8,14.7,28.5,15.4,21.7,11.7,22.8,87.6,6.5,0.1,1.5,1.4,2.9,23.4,20872,82.5,11.0,6.4,0.1,6.7
39053,Gallia,30565,14900,15665,1.2,93.7,2.5,0.2,0.6,0.0,23273,37319.0,2432.0,1378,20.9,28.1,28.4,17.3,23.9,11.0,19.4,85.0,7.8,0.1,3.1,1.1,3.0,26.8,11344,81.3,13.1,5.5,0.2,7.5
