CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
40001,Adair,22236,11098,11138,6.1,41.8,0.3,38.5,0.6,0.1,15926,33404.0,1912.0,715,26.9,38.0,24.9,18.7,18.4,14.9,23.1,83.8,10.6,0.1,2.4,0.6,2.4,23.0,8336,70.5,21.9,7.3,0.4,7.9
40003,Alfalfa,5755,3454,2301,5.0,77.0,1.9,1.2,0.0,0.0,4561,50156.0,2864.0,3714,12.9,20.4,32.2,15.4,16.9,18.2,17.3,77.8,11.9,0.2,3.7,2.0,4.5,17.4,2176,64.0,20.1,15.6,0.4,4.9
40005,Atoka,13906,7307,6599,3.4,72.2,3.9,12.2,0.5,0.1,10629,36661.0,2617.0,1276,22.5,29.6,28.5,19.1,21.4,13.8,17.2,81.1,9.6,0.1,2.9,1.2,5.2,26.1,4695,68.3,22.9,8.3,0.4,8.7
40007,Beaver,5530,2733,2797,21.7,76.0,0.6,0.5,0.1,0.0,3827,52090.0,3703.0,1999,9.0,11.7,33.0,13.0,19.1,19.9,14.9,84.6,7.4,0.6,2.7,0.8,3.9,19.8,2555,73.3,17.2,9.3,0.2,3.0
40009,Beckham,23300,12515,10785,13.5,76.7,3.4,1.0,0.8,0.1,16866,48601.0,3997.0,3163,13.0,12.3,24.3,17.3,25.2,17.7,15.5,85.6,10.0,0.1,1.1,0.7,2.4,18.4,9611,78.0,12.4,9.2,0.4,2.9
40011,Blaine,9810,5239,4571,9.1,74.9,5.6,4.9,0.3,0.0,7283,41972.0,3697.0,1346,16.1,22.8,34.6,17.1,26.1,9.4,12.8,86.3,5.5,0.1,1.6,1.1,5.4,16.6,3270,65.6,22.6,10.8,1.1,3.0
40013,Bryan,44003,21412,22591,5.4,72.6,1.9,14.4,0.5,0.0,33178,38847.0,1541.0,642,18.3,23.1,30.1,19.4,23.6,9.6,17.2,80.9,11.4,0.5,2.1,2.2,2.9,20.9,18472,72.3,21.5,6.1,0.1,8.1
40015,Caddo,29495,15339,14156,11.2,58.2,2.7,21.8,0.3,0.0,21388,40674.0,1790.0,980,21.2,27.4,28.1,16.9,21.5,18.5,15.0,83.3,11.1,0.6,2.2,1.0,1.8,21.6,11208,67.2,25.1,7.7,0.1,9.5
40017,Canadian,126193,62570,63623,7.8,78.0,2.3,3.9,3.1,0.0,90045,64505.0,1511.0,606,7.3,9.1,36.0,15.1,26.7,10.4,11.8,86.1,8.8,0.2,0.6,1.3,3.0,23.1,63025,77.7,16.3,5.9,0.1,4.5
40019,Carter,48442,23465,24977,6.4,71.4,6.9,8.0,0.9,0.1,35359,44531.0,2099.0,759,15.3,20.8,27.7,18.4,24.4,12.0,17.5,83.1,10.9,0.6,1.5,0.8,3.0,19.4,20820,82.0,12.2,5.6,0.2,6.1
40021,Cherokee,48097,23764,24333,6.6,49.5,1.2,32.1,0.3,0.3,36074,38694.0,2794.0,855,22.6,29.7,32.4,20.2,25.1,12.2,10.1,81.4,11.8,0.8,2.5,0.6,2.8,23.6,19314,64.4,28.8,6.5,0.2,7.9
40023,Choctaw,15120,7324,7796,3.6,62.3,11.4,12.0,0.5,0.1,11387,30617.0,1609.0,983,28.8,39.9,27.8,23.2,19.3,13.5,16.3,82.0,10.2,1.1,1.9,2.0,2.8,22.5,5308,71.6,20.4,7.8,0.1,8.9
40025,Cimarron,2341,1164,1177,20.9,75.7,0.2,0.9,0.2,0.0,1641,46680.0,5886.0,2872,17.9,31.4,38.5,11.8,17.9,17.9,13.9,82.2,5.6,0.0,3.2,2.9,6.1,17.1,1131,63.1,23.5,13.0,0.4,2.2
40027,Cleveland,268614,134102,134512,7.8,73.8,4.5,3.7,4.1,0.1,200070,56452.0,1109.0,556,12.7,13.9,39.5,17.0,25.4,9.4,8.7,83.5,9.3,0.5,1.7,1.9,3.1,23.1,133949,73.3,21.7,4.9,0.1,4.9
40029,Coal,5812,2852,2960,3.6,71.0,0.3,11.5,0.2,0.0,4349,38243.0,5554.0,1993,20.7,30.5,31.5,14.4,22.0,19.5,12.6,83.1,8.8,0.4,2.1,0.4,5.3,24.4,2296,64.6,25.2,9.5,0.7,9.1
40031,Comanche,125531,65098,60433,12.4,57.5,16.3,4.7,2.1,0.5,91817,46241.0,1276.0,544,17.6,24.3,32.3,21.1,23.2,10.7,12.7,73.4,12.6,0.7,3.5,2.1,7.7,17.1,49641,66.1,27.8,5.9,0.2,8.6
40033,Cotton,6112,3042,3070,7.0,77.2,2.0,8.0,0.6,0.0,4660,46361.0,6287.0,1462,17.3,23.1,31.8,17.7,22.6,11.9,16.0,83.4,9.2,0.1,1.8,0.9,4.6,23.3,2607,68.4,20.8,10.8,0.0,9.2
40035,Craig,14744,7545,7199,3.1,64.7,3.1,18.5,0.6,0.1,11373,38876.0,2457.0,807,19.0,26.2,27.3,22.2,21.2,11.6,17.8,84.5,7.6,0.3,1.7,2.4,3.6,21.3,5781,67.7,21.6,10.2,0.5,6.4
40037,Creek,70761,35084,35677,3.7,77.4,2.3,10.2,0.5,0.0,53000,45016.0,1991.0,631,15.5,22.1,28.1,16.7,23.2,12.1,20.0,84.4,9.7,0.2,1.0,0.5,4.2,24.7,29749,81.7,12.4,5.7,0.2,5.7
40039,Custer,28978,14515,14463,16.2,70.7,3.1,2.5,1.4,0.1,20414,46125.0,2850.0,1393,16.7,16.8,27.4,19.8,22.4,16.5,13.9,82.8,10.6,0.2,2.6,0.4,3.4,18.3,14072,71.2,19.8,8.1,0.8,3.7
40041,Delaware,41409,20465,20944,3.4,65.0,0.3,20.4,1.1,0.2,32049,37942.0,1547.0,889,20.4,33.6,27.7,20.2,22.6,12.8,16.8,78.0,13.7,0.1,2.8,1.7,3.7,25.8,15991,72.6,18.4,8.6,0.3,9.2
40043,Dewey,4863,2468,2395,6.2,84.2,0.2,1.6,0.9,0.0,3555,50904.0,2718.0,2133,16.6,22.7,31.7,13.9,16.6,23.3,14.4,78.6,10.0,0.1,4.0,1.0,6.2,24.0,2061,65.9,17.6,15.0,1.5,2.7
40045,Ellis,4121,2051,2070,7.1,88.4,0.0,0.7,0.5,0.0,3087,50855.0,4088.0,2051,14.5,18.7,35.9,8.9,21.9,19.0,14.3,84.9,6.3,0.4,2.9,0.6,4.9,21.3,1824,66.5,20.8,11.5,1.2,5.0
40047,Garfield,62192,30902,31290,10.7,77.4,3.1,2.2,1.0,2.1,44036,48238.0,2296.0,1034,13.0,18.8,26.5,17.7,23.3,14.6,17.9,84.5,9.9,0.2,1.6,1.1,2.8,16.3,28056,77.6,15.4,6.7,0.2,5.6
40049,Garvin,27455,13516,13939,7.4,77.1,2.3,6.0,0.2,0.0,20164,40524.0,1306.0,1021,18.6,22.6,28.3,14.9,23.7,14.0,19.0,89.8,5.0,0.2,0.6,1.3,3.1,22.2,10668,77.2,14.6,7.8,0.4,4.4
40051,Grady,53612,26570,27042,5.3,82.2,2.1,4.6,0.3,0.1,39913,52279.0,1873.0,685,12.7,17.5,29.2,17.3,23.3,14.0,16.2,85.2,9.1,0.2,1.5,1.2,2.7,26.1,24086,76.2,17.2,6.4,0.1,4.3
40053,Grant,4517,2228,2289,4.1,89.9,0.4,0.5,0.2,0.0,3448,50250.0,2899.0,2613,9.8,13.1,36.8,11.2,19.6,20.1,12.3,77.2,14.7,0.0,3.7,1.1,3.3,19.9,2098,64.7,17.5,17.7,0.1,3.6
40055,Greer,6117,3570,2547,10.7,76.3,7.1,3.3,0.0,0.0,4929,40125.0,4244.0,2294,14.6,16.8,31.8,22.7,20.5,14.0,11.0,82.5,8.6,0.0,2.4,1.8,4.8,26.1,2344,61.9,27.0,10.8,0.4,4.4
40057,Harmon,2866,1408,1458,26.5,60.8,6.6,0.7,1.6,0.0,2077,31250.0,4376.0,2767,17.5,24.2,34.9,15.4,23.6,16.1,10.1,86.5,6.4,0.0,1.4,0.6,5.0,15.6,1139,62.9,23.6,12.9,0.6,8.7
40059,Harper,3766,1884,1882,19.9,77.5,0.1,0.1,0.1,0.0,2426,48359.0,3286.0,2251,14.0,25.1,32.9,15.3,19.3,20.6,11.9,83.4,8.8,0.1,3.4,1.3,3.0,16.3,1779,64.8,24.5,10.2,0.6,1.6
40061,Haskell,12850,6361,6489,3.9,72.1,0.8,16.4,0.4,0.0,9549,35252.0,2314.0,763,19.8,25.6,27.0,17.9,19.1,22.0,14.0,78.6,12.5,0.0,3.5,0.6,4.8,25.7,4585,78.3,12.1,9.4,0.2,8.7
40063,Hughes,13785,7450,6335,4.6,65.2,5.8,17.9,0.0,0.0,10799,35563.0,2072.0,1081,18.6,27.5,28.1,20.4,18.6,19.5,13.4,79.2,7.5,0.7,2.1,1.0,9.4,25.0,4546,67.8,24.2,7.4,0.6,7.1
40065,Jackson,26056,12887,13169,22.4,64.2,7.4,1.1,1.4,0.2,18366,41560.0,2135.0,1265,17.0,21.2,25.8,21.8,21.5,15.5,15.4,81.5,12.7,0.2,2.3,1.2,2.1,15.0,10388,65.1,29.2,5.7,0.1,7.6
40067,Jefferson,6333,3207,3126,9.3,79.0,0.7,6.2,0.1,0.0,4774,33449.0,2356.0,1043,21.3,30.3,24.3,20.8,18.4,17.1,19.3,80.2,12.6,0.3,2.9,0.5,3.6,25.7,2497,71.8,16.9,11.1,0.1,6.5
40069,Johnston,11022,5406,5616,4.5,70.7,1.8,6.4,0.6,0.0,8349,38776.0,3469.0,1254,19.3,27.2,33.3,15.2,17.6,13.6,20.4,78.9,13.7,0.4,2.5,0.6,3.9,23.8,4078,69.6,23.2,6.9,0.2,6.7
40071,Kay,45587,22556,23031,7.2,76.0,1.9,7.1,0.6,0.0,33521,42134.0,1434.0,567,18.3,25.9,28.5,18.8,23.6,12.6,16.5,82.8,10.5,0.3,3.0,1.6,1.8,17.1,19588,78.1,15.8,5.9,0.2,7.8
40073,Kingfisher,15302,7651,7651,14.5,78.2,0.5,3.9,0.0,0.0,10458,60034.0,3603.0,1305,7.2,9.5,31.3,13.0,22.7,20.4,12.6,84.7,6.9,0.0,1.2,0.9,6.4,20.6,7289,77.4,13.0,9.3,0.3,3.6
40075,Kiowa,9302,4599,4703,10.4,75.5,3.8,5.0,0.3,0.1,6993,39909.0,2008.0,2775,20.8,30.4,30.2,19.2,19.3,13.6,17.6,80.1,10.7,1.1,0.7,1.2,6.2,19.8,4037,67.8,19.9,11.7,0.5,5.5
40077,Latimer,10774,5462,5312,3.2,67.8,1.4,14.9,0.6,0.0,8247,39205.0,2991.0,1288,17.7,23.0,32.1,16.2,19.2,17.3,15.2,81.0,10.7,0.3,3.7,1.9,2.5,23.4,4068,66.8,25.2,7.7,0.3,7.8
