CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
42001,Pennsylvania,Adams,101767,50307,51460,6.5,89.8,1.5,0.1,0.7,0.0,77837,60356.0,1250.0,27870,537,8.9,14.1,29.1,17.1,22.6,10.9,20.4,82.6,8.1,0.4,4.0,1.1,3.7,27.2,50517,82.9,11.1,5.9,0.2,5.7
42003,Pennsylvania,Allegheny,1231145,592511,638634,1.8,79.6,12.9,0.1,3.3,0.0,962282,53040.0,530.0,32848,300,13.0,18.1,43.7,17.0,24.6,6.1,8.5,72.1,9.0,9.1,4.2,1.5,4.2,26.4,612259,86.2,9.3,4.5,0.1,7.1
42005,Pennsylvania,Armstrong,67979,33786,34193,0.7,97.4,0.9,0.0,0.2,0.0,54403,44942.0,1297.0,24391,490,13.0,20.0,27.4,18.3,22.1,13.8,18.5,81.3,10.2,0.7,3.2,1.1,3.4,28.8,29897,84.9,10.0,4.9,0.1,8.5
42007,Pennsylvania,Beaver,169785,82231,87554,1.4,90.0,6.0,0.0,0.6,0.0,135125,50581.0,1184.0,27233,536,11.9,19.0,32.4,18.4,25.2,8.7,15.2,83.3,8.6,1.4,2.8,0.7,3.3,25.0,80816,85.6,9.8,4.5,0.0,6.8
42009,Pennsylvania,Bedford,49086,24504,24582,1.1,97.1,0.5,0.2,0.2,0.0,38712,45930.0,1345.0,23195,578,13.8,19.8,25.8,17.1,22.1,13.4,21.5,81.2,10.4,0.2,2.5,1.6,4.1,27.8,22499,81.0,10.8,7.9,0.4,7.3
42011,Pennsylvania,Berks,413965,203262,210703,18.2,74.7,4.1,0.1,1.4,0.0,305417,55936.0,756.0,27146,341,14.2,22.2,31.3,16.3,24.2,9.2,18.9,80.2,9.8,1.7,3.3,1.5,3.6,24.4,197703,85.8,9.1,5.0,0.1,9.0
42013,Pennsylvania,Blair,126448,61668,64780,1.1,95.1,1.6,0.0,0.7,0.0,99777,43981.0,1455.0,23865,549,15.0,22.3,30.6,19.4,25.3,8.8,15.9,83.0,9.1,0.5,3.6,1.4,2.4,19.2,57253,82.7,12.8,4.3,0.2,6.4
42015,Pennsylvania,Bradford,62228,30666,31562,1.4,96.2,0.5,0.1,0.6,0.0,48119,48987.0,1974.0,25577,860,13.6,20.3,28.3,16.1,21.0,12.4,22.2,80.4,9.1,0.3,5.6,1.1,3.5,22.9,26689,82.7,9.9,7.1,0.2,5.6
42017,Pennsylvania,Bucks,626583,307126,319457,4.7,85.5,3.7,0.1,4.3,0.0,473294,77568.0,1072.0,38795,517,6.0,7.2,42.1,13.8,26.1,8.1,9.9,81.8,7.7,3.2,1.8,0.8,4.7,29.0,321488,85.4,9.1,5.3,0.2,7.0
42019,Pennsylvania,Butler,185689,91628,94061,1.3,95.3,1.1,0.1,1.1,0.0,145084,60934.0,1069.0,32301,511,9.1,10.7,36.6,16.0,25.2,8.8,13.4,84.6,7.2,0.7,2.5,0.7,4.2,26.2,91888,84.9,9.8,5.2,0.1,5.9
42021,Pennsylvania,Cambria,139381,68740,70641,1.5,93.0,3.3,0.1,0.5,0.0,111556,42107.0,941.0,23410,542,15.2,24.5,32.1,19.9,23.4,9.8,14.8,82.9,8.9,1.2,2.8,1.6,2.7,23.7,58018,81.5,14.1,4.2,0.1,8.5
42023,Pennsylvania,Cameron,4869,2426,2443,0.7,97.3,0.6,0.2,0.1,0.0,3989,39897.0,2691.0,25240,2128,13.0,22.9,23.6,15.2,18.6,11.3,31.3,78.5,11.6,0.0,6.5,1.0,2.4,15.9,2254,80.8,13.2,5.6,0.4,4.5
42025,Pennsylvania,Carbon,64634,31860,32774,3.9,92.8,1.3,0.1,0.5,0.0,51284,49973.0,1462.0,25398,1109,10.9,19.6,27.2,18.9,22.6,12.2,19.0,82.9,7.5,0.4,3.0,2.6,3.6,31.7,28973,83.8,11.3,4.8,0.1,8.6
42027,Pennsylvania,Centre,157823,82583,75240,2.7,86.6,3.5,0.2,5.5,0.0,125531,52186.0,1466.0,26492,628,19.3,12.8,44.6,18.4,20.5,7.0,9.5,68.3,9.8,4.5,9.9,3.0,4.6,20.3,75314,78.9,16.1,4.9,0.1,5.1
