CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
72001,Adjuntas,18962,9266,9696,99.8,0.2,0.0,0.0,0.0,0.0,14445,10499.0,1326.0,695,61.7,72.2,34.3,18.1,21.7,12.9,13.1,87.9,5.6,0.0,5.5,0.0,1.0,29.7,4093,63.0,28.7,8.0,0.3,36.5
72003,Aguada,40603,19912,20691,93.6,3.4,0.1,0.0,0.1,0.0,31516,16029.0,1247.0,395,54.2,63.4,28.5,24.4,24.4,11.8,11.0,73.0,17.9,0.4,3.6,0.7,4.3,25.4,11540,67.4,21.9,10.6,0.0,25.1
72005,Aguadilla,57973,28267,29706,96.1,1.7,0.2,0.0,0.3,0.0,44658,17267.0,932.0,543,49.1,62.4,32.6,21.4,26.8,10.3,8.9,83.7,9.4,0.7,3.6,0.9,1.6,21.3,14616,63.8,27.4,8.7,0.1,23.2
72007,Aguas Buenas,27693,13520,14173,99.2,0.8,0.0,0.0,0.0,0.0,21200,14824.0,1256.0,1431,53.6,66.7,26.2,16.5,27.3,16.0,14.0,81.4,8.9,3.0,3.6,0.8,2.3,34.0,6459,68.5,20.5,11.0,0.0,24.6
72009,Aibonito,24829,12000,12829,99.8,0.2,0.0,0.0,0.0,0.0,19237,17307.0,1385.0,555,47.2,58.2,33.6,20.8,22.4,8.9,14.2,83.9,10.3,0.3,2.5,2.2,0.8,26.2,5902,71.5,23.6,4.6,0.3,6.0
72011,Añasco,28579,13888,14691,98.8,0.9,0.0,0.0,0.0,0.0,22300,17386.0,1240.0,518,49.1,61.8,21.7,21.1,27.1,9.4,20.6,81.7,10.7,0.0,3.2,1.0,3.3,21.0,8286,70.0,20.6,9.4,0.0,15.0
72013,Arecibo,92511,44478,48033,99.5,0.4,0.0,0.0,0.0,0.0,72186,16485.0,796.0,377,49.6,59.4,29.4,19.9,28.9,8.5,13.3,85.7,9.4,0.5,2.3,0.5,1.7,27.9,23545,67.5,25.0,7.4,0.2,17.7
72015,Arroyo,19018,8892,10126,99.8,0.2,0.0,0.0,0.0,0.0,14256,15298.0,1594.0,842,52.7,57.0,25.5,28.6,20.9,11.2,13.9,85.1,11.0,2.1,0.8,0.0,1.0,21.3,4000,62.7,30.5,6.9,0.0,22.9
72017,Barceloneta,24775,11854,12921,99.4,0.3,0.1,0.0,0.1,0.0,18904,15212.0,1492.0,676,55.9,66.2,27.0,18.0,30.7,9.1,15.2,77.4,13.8,0.9,3.3,4.6,0.0,27.6,5392,71.1,25.2,3.7,0.0,17.1
72019,Barranquitas,29805,14695,15110,99.9,0.0,0.0,0.0,0.0,0.0,22110,14331.0,1296.0,648,61.2,74.0,32.6,19.9,23.0,15.8,8.7,88.3,5.4,0.7,3.7,0.0,1.8,29.3,6235,62.0,30.0,8.0,0.0,6.8
72021,Bayamón,197287,93812,103475,99.2,0.5,0.1,0.0,0.1,0.0,151941,24430.0,726.0,321,35.6,49.5,33.4,17.5,33.6,7.6,8.0,75.2,12.9,4.8,2.0,3.3,1.9,35.6,68598,70.9,20.8,8.2,0.2,16.1
72023,Cabo Rojo,50380,24010,26370,99.7,0.3,0.0,0.0,0.0,0.0,39340,16499.0,1125.0,677,50.7,59.3,32.9,19.6,29.7,7.6,10.1,90.7,2.0,0.4,1.5,0.1,5.2,25.1,12421,65.9,26.1,8.0,0.0,11.8
72025,Caguas,138262,64768,73494,99.3,0.7,0.0,0.0,0.0,0.0,105947,23769.0,980.0,400,38.0,50.9,36.0,18.6,28.8,7.2,9.4,80.2,11.9,1.2,2.8,2.1,1.9,32.8,48083,71.1,20.1,8.7,0.1,15.9
72027,Camuy,33949,16353,17596,99.4,0.6,0.0,0.0,0.0,0.0,26235,17532.0,1282.0,620,48.6,63.8,31.8,16.1,28.5,11.9,11.8,90.1,5.3,0.1,3.0,0.6,0.9,29.3,8899,66.5,23.9,9.3,0.2,21.4
72029,Canóvanas,47432,22973,24459,99.9,0.1,0.1,0.0,0.0,0.0,34691,20023.0,1322.0,609,43.8,55.4,26.7,21.7,29.6,10.3,11.7,85.9,7.3,2.7,1.8,0.9,1.5,36.5,14797,70.8,21.2,7.9,0.0,22.6
72031,Carolina,168114,77517,90597,98.8,0.8,0.1,0.0,0.2,0.0,127196,27969.0,809.0,446,30.5,45.3,33.6,19.5,31.3,7.3,8.2,79.3,12.2,3.7,2.2,0.9,1.8,32.7,63979,69.0,22.0,8.9,0.1,14.5
