CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
46003,South Dakota,Aurora,2729,1408,1321,6.1,90.0,0.4,2.4,0.2,0.0,1938,48750.0,3117.0,25965,2066,8.6,8.9,36.3,20.7,13.3,15.7,14.0,70.8,11.1,0.0,6.7,2.2,9.3,17.7,1352,68.1,14.9,16.6,0.3,1.9
46005,South Dakota,Beadle,18168,9072,9096,8.9,81.2,0.2,1.2,7.8,0.0,12180,46267.0,2209.0,24662,1245,20.8,34.1,27.0,15.3,24.1,9.1,24.5,79.0,12.1,1.7,2.8,1.6,2.9,12.9,9189,77.8,13.9,8.0,0.3,2.9
46007,South Dakota,Bennett,3438,1659,1779,4.1,30.3,1.0,51.5,0.0,0.0,2254,42171.0,4116.0,16549,2768,40.5,53.9,42.2,16.4,20.6,13.0,7.8,63.7,14.8,1.6,5.1,3.1,11.8,17.0,1168,44.9,36.6,17.6,0.9,14.7
46009,South Dakota,Bon Homme,7013,4053,2960,4.0,88.0,1.0,4.2,0.5,0.0,5603,45254.0,3268.0,22165,2089,10.4,11.0,39.5,19.4,16.7,8.4,15.9,69.5,10.1,0.0,5.7,1.1,13.6,19.9,2806,61.0,21.1,17.4,0.6,0.9
46011,South Dakota,Brookings,33046,16834,16212,2.3,91.2,1.3,0.6,2.9,0.0,25485,50082.0,2006.0,25727,1634,16.3,9.3,34.9,17.4,21.5,10.9,15.3,75.3,9.6,0.4,6.6,3.1,5.0,14.1,19007,75.5,18.6,5.6,0.4,3.1
46013,South Dakota,Brown,38060,18591,19469,2.3,89.9,1.5,3.3,1.9,0.0,28359,53100.0,2170.0,28841,1227,9.8,8.9,33.0,16.0,24.5,10.6,15.9,82.5,8.9,0.3,2.8,1.7,3.8,13.0,20762,80.1,12.6,7.0,0.3,2.5
46015,South Dakota,Brule,5330,2621,2709,0.4,85.8,0.0,10.2,0.0,0.0,3946,49531.0,5291.0,22591,2009,15.4,21.1,38.9,17.5,23.7,12.4,7.5,74.0,9.0,1.9,4.6,2.2,8.3,13.9,2583,66.4,16.3,15.4,1.9,2.6
46017,South Dakota,Buffalo,2038,1027,1011,1.0,18.5,0.2,74.9,0.0,1.7,1291,31163.0,1883.0,11372,1406,35.0,41.1,35.2,30.2,15.0,11.9,7.7,72.2,9.5,0.0,8.5,0.8,9.0,14.2,653,48.4,49.5,1.8,0.3,16.3
46019,South Dakota,Butte,10292,5086,5206,3.5,91.8,0.1,1.4,0.1,0.0,7683,41920.0,7479.0,23267,2265,10.6,7.3,29.2,16.6,20.8,16.8,16.5,76.2,11.5,0.3,2.6,0.5,8.8,22.8,5015,70.0,15.4,13.7,0.9,3.0
46021,South Dakota,Campbell,1548,731,817,0.2,94.9,0.0,3.5,0.8,0.0,1161,45170.0,7787.0,30998,6887,9.1,9.8,43.3,20.0,17.1,8.3,11.3,72.7,6.6,0.0,7.3,1.2,12.2,17.1,755,59.9,15.8,24.4,0.0,1.4
