CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
45001,Abbeville,24997,12308,12689,1.2,68.9,27.9,0.1,0.0,0.0,19399,34799.0,2097.0,771,22.5,33.4,25.4,18.6,19.6,11.1,25.3,83.3,10.9,0.2,1.6,1.0,3.0,27.8,9294,80.2,13.5,6.2,0.0,10.7
45003,Aiken,163908,79318,84590,5.3,67.2,24.6,0.2,0.7,0.0,123847,45759.0,1313.0,585,18.1,30.3,34.7,16.2,23.4,10.9,14.8,84.2,10.5,0.1,0.9,1.3,2.9,24.7,69420,76.9,17.6,5.2,0.3,9.9
45005,Allendale,9838,5225,4613,2.8,23.2,73.8,0.0,0.0,0.0,7758,25327.0,3046.0,1408,29.0,48.1,17.2,26.0,22.6,9.0,25.3,81.4,11.3,0.0,3.4,0.5,3.4,27.5,2866,73.3,21.9,4.8,0.0,22.6
45007,Anderson,191215,92287,98928,3.3,77.8,16.2,0.2,0.8,0.0,144134,42143.0,1065.0,499,16.4,23.6,30.3,16.5,25.3,9.5,18.4,86.5,8.1,0.3,1.2,1.5,2.4,23.0,81226,81.2,13.1,5.5,0.2,9.2
45009,Bamberg,15432,7359,8073,1.3,35.5,62.3,0.1,0.4,0.0,12125,31314.0,3035.0,1903,28.2,42.4,29.1,23.3,16.6,9.5,21.5,80.7,11.1,1.3,4.0,1.1,1.8,22.0,5527,70.9,23.1,6.0,0.0,10.9
45011,Barnwell,22098,10290,11808,2.3,51.4,44.8,0.3,0.7,0.0,16327,34336.0,3102.0,1270,26.9,41.9,26.7,18.3,21.6,13.0,20.4,86.0,9.5,0.1,2.2,1.0,1.3,27.5,8026,72.7,22.3,4.9,0.1,14.7
45013,Beaufort,171420,84523,86897,11.5,66.9,18.4,0.2,1.2,0.0,127031,57048.0,1508.0,892,12.8,21.2,33.6,24.3,24.9,9.8,7.6,75.5,11.5,0.5,2.7,2.8,6.9,21.9,70487,79.0,14.6,6.2,0.2,7.2
45015,Berkeley,193613,96518,97095,6.1,64.0,24.3,0.5,2.4,0.1,140702,52506.0,1116.0,540,13.9,19.9,32.9,16.6,24.3,12.0,14.3,83.3,8.7,0.8,3.0,1.2,3.0,26.1,84494,76.5,19.1,4.3,0.1,9.9
45017,Calhoun,14958,7237,7721,3.2,53.3,42.3,0.2,0.0,0.0,11665,43531.0,3232.0,2514,19.6,27.3,28.3,15.6,22.0,12.9,21.3,84.9,7.3,0.4,1.5,2.6,3.3,28.3,6455,73.2,20.5,6.3,0.0,8.6
45019,Charleston,372904,180654,192250,5.1,63.2,28.5,0.2,1.4,0.0,287243,53437.0,1055.0,651,17.2,25.7,39.4,19.6,24.0,7.7,9.3,78.2,8.5,2.0,3.2,2.5,5.7,22.9,183111,76.1,17.7,6.0,0.2,7.7
