CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
47001,Anderson,75430,36585,38845,2.5,90.0,3.8,0.3,1.3,0.0,58268,42880.0,1488.0,1179,17.9,30.1,34.1,17.6,25.5,9.7,13.1,87.1,8.0,0.0,1.0,0.9,3.0,22.4,31814,75.9,18.4,5.7,0.1,7.7
47003,Bedford,45986,22691,23295,11.6,78.1,6.6,0.1,0.7,0.0,31232,41984.0,2178.0,1080,17.1,24.1,24.0,14.1,23.0,13.6,25.3,80.9,13.6,0.2,1.1,0.9,3.4,25.2,19939,75.9,13.4,10.4,0.3,7.7
47005,Benton,16261,8010,8251,2.1,93.3,3.5,0.2,0.5,0.0,12867,33240.0,2655.0,1055,22.8,31.1,23.1,20.6,20.9,11.7,23.7,83.6,12.0,0.1,0.6,1.5,2.3,24.5,5844,73.6,18.4,7.8,0.2,14.3
47007,Bledsoe,13686,7677,6009,2.2,90.4,4.2,0.2,0.2,0.0,10869,37013.0,3265.0,1678,21.7,23.0,24.4,19.1,20.5,15.3,20.7,79.7,12.5,0.3,2.2,0.4,4.9,32.2,4739,69.1,20.4,10.3,0.2,9.6
47009,Blount,125188,60612,64576,3.0,91.6,2.9,0.3,0.8,0.0,96436,48286.0,1380.0,786,14.1,19.8,32.4,16.7,26.1,10.7,14.1,85.3,8.9,0.2,0.9,1.0,3.7,24.3,56262,79.6,13.2,7.0,0.1,7.8
47011,Bradley,102062,49664,52398,5.4,87.1,4.6,0.1,1.0,0.0,75942,42114.0,1448.0,1218,19.6,29.0,29.1,17.6,24.6,9.2,19.4,83.6,8.5,0.2,2.5,1.3,4.0,22.0,43685,82.4,10.4,7.1,0.2,11.2
47013,Campbell,40176,19455,20721,1.3,96.7,0.5,0.3,0.3,0.0,31790,32028.0,1618.0,738,23.2,31.4,23.8,18.7,24.3,13.9,19.4,86.6,10.8,0.1,0.5,0.8,1.2,26.5,13897,78.0,15.8,6.1,0.0,9.9
47015,Cannon,13787,6783,7004,1.8,94.7,1.6,0.3,0.3,0.0,10673,41533.0,3772.0,2842,18.4,26.5,26.6,14.2,23.5,12.4,23.4,82.2,12.4,0.2,1.0,0.8,3.4,33.5,5724,75.0,14.0,10.8,0.2,12.9
47017,Carroll,28353,13818,14535,2.3,85.2,10.3,0.4,0.2,0.0,22024,35508.0,2811.0,1123,20.8,25.7,27.1,17.0,23.3,11.0,21.6,85.5,8.1,0.2,1.6,2.3,2.3,24.7,10700,76.3,16.2,7.3,0.1,11.5
47019,Carter,56941,27856,29085,1.6,95.3,1.3,0.3,0.3,0.0,45572,33213.0,1611.0,859,23.6,34.4,27.6,21.7,22.8,11.7,16.2,84.6,8.1,0.5,1.1,1.6,4.1,23.5,23210,74.7,17.2,8.0,0.0,8.1
47021,Cheatham,39422,19553,19869,2.6,93.7,1.6,0.1,0.4,0.2,29653,51857.0,2645.0,917,13.8,18.7,29.5,16.1,24.6,13.0,16.7,84.9,9.9,0.2,0.4,0.6,3.9,31.6,18572,76.0,14.5,9.2,0.3,7.8
47023,Chester,17324,8297,9027,2.4,85.9,10.5,0.3,0.3,0.0,13289,40167.0,5973.0,1531,21.7,27.3,31.1,13.4,27.7,12.0,15.8,84.7,7.9,0.2,2.8,1.2,3.1,27.0,7235,76.8,16.8,6.5,0.0,13.5
47025,Claiborne,31748,15556,16192,1.0,95.6,1.1,0.0,0.4,0.1,25255,34899.0,1875.0,825,21.9,28.9,27.5,16.7,20.4,13.5,21.9,84.9,9.0,0.1,0.8,1.1,4.0,24.3,11935,77.8,13.5,8.4,0.3,8.2
47027,Clay,7780,3820,3960,1.8,95.2,1.6,0.7,0.3,0.0,6175,28804.0,3963.0,1684,23.5,26.4,26.7,20.2,19.0,15.4,18.7,85.3,8.9,0.1,0.6,0.8,4.3,27.0,2765,65.3,23.1,11.6,0.0,7.2
47029,Cocke,35321,17241,18080,2.0,93.7,1.5,0.2,0.0,0.0,27863,31187.0,2688.0,1321,26.1,39.9,21.4,24.0,20.9,10.9,22.7,86.4,10.4,0.0,1.0,0.8,1.4,28.2,14071,77.4,15.3,7.2,0.1,11.1
47031,Coffee,53448,26000,27448,3.9,89.4,1.9,0.1,1.0,0.0,39570,41590.0,1925.0,903,18.6,24.8,30.1,15.5,23.2,9.6,21.6,87.5,7.6,0.0,1.4,0.7,2.7,22.2,21841,77.9,14.0,7.8,0.3,8.8
47033,Crockett,14600,6906,7694,9.5,75.7,13.1,0.2,0.1,0.0,10528,35464.0,2377.0,1282,19.9,25.8,28.4,14.4,22.0,13.1,22.1,88.4,6.1,0.0,1.3,0.5,3.7,23.4,5766,77.7,14.3,7.9,0.1,7.4
47035,Cumberland,57455,28022,29433,2.7,94.9,0.6,0.3,0.4,0.0,46291,38576.0,1714.0,769,16.5,24.1,27.2,19.0,24.2,11.7,17.9,84.8,10.1,0.1,1.2,0.7,3.1,22.0,20279,76.4,14.4,8.7,0.4,9.0
47037,Davidson,658506,317582,340924,9.9,56.8,27.4,0.3,3.2,0.1,469669,48368.0,869.0,372,18.2,29.7,39.8,16.7,25.8,7.0,10.7,79.8,10.1,2.3,2.0,1.2,4.6,23.8,341548,82.1,11.1,6.8,0.1,7.2
47039,Decatur,11686,5687,5999,3.0,91.9,2.8,0.0,0.3,0.0,9124,37263.0,3476.0,2429,21.6,32.1,28.4,20.9,18.5,13.0,19.2,87.5,6.3,0.1,1.6,1.0,3.5,26.7,4569,63.7,25.1,11.1,0.2,10.1
47041,DeKalb,19038,9515,9523,7.2,89.7,1.2,0.0,0.6,0.2,14119,38319.0,3000.0,3223,20.9,30.1,27.8,12.3,21.2,9.0,29.7,81.6,13.4,0.0,1.3,1.3,2.3,27.2,7409,79.7,13.4,6.8,0.2,7.6
47043,Dickson,50472,24762,25710,3.2,90.1,3.9,0.2,0.5,0.0,37652,44680.0,2703.0,1096,16.3,23.9,28.3,17.5,24.5,12.6,17.0,81.3,12.0,0.7,2.8,1.0,2.2,31.3,21847,78.6,14.6,6.7,0.0,7.5
47045,Dyer,38054,18422,19632,3.0,80.3,13.3,0.2,0.6,0.0,28345,42468.0,3230.0,1620,17.8,25.1,31.0,15.7,19.9,8.6,24.8,89.8,6.6,0.0,1.1,1.1,1.3,20.0,16095,77.1,16.4,6.3,0.2,6.6
47047,Fayette,38814,19133,19681,2.5,68.2,27.6,0.0,0.6,0.0,30277,54890.0,2367.0,1410,13.9,21.8,32.4,14.5,25.0,12.4,15.7,86.8,8.1,0.0,0.6,0.9,3.6,32.9,17031,79.8,13.0,7.1,0.1,8.5
47049,Fentress,17931,8783,9148,1.3,97.0,0.2,0.2,0.3,0.0,13872,30259.0,2701.0,1319,26.0,35.9,23.3,23.5,18.7,14.9,19.6,86.1,9.9,0.0,0.9,1.0,2.1,23.3,5998,70.0,17.2,12.7,0.2,10.4
47051,Franklin,41138,20046,21092,2.8,89.2,3.1,0.5,0.8,0.0,32005,42773.0,2204.0,1205,17.1,21.4,29.9,16.4,20.9,11.5,21.2,82.0,11.2,0.0,2.6,1.1,3.0,22.6,17027,75.4,17.0,7.4,0.2,9.5
47053,Gibson,49572,23577,25995,2.4,77.5,18.5,0.2,0.3,0.0,37164,38457.0,2012.0,916,18.7,27.7,27.1,19.0,24.7,9.6,19.7,90.0,5.7,0.1,1.1,0.7,2.4,23.8,20201,79.5,12.4,7.9,0.1,9.5
47055,Giles,28949,14161,14788,1.9,84.8,10.0,0.0,0.7,0.1,22332,41093.0,2568.0,989,16.4,20.4,26.7,14.8,22.4,9.1,26.9,86.6,8.4,0.3,2.0,0.6,2.2,25.9,11881,75.8,15.5,8.8,0.0,9.9
47057,Grainger,22736,11318,11418,2.6,95.4,0.8,0.1,0.2,0.0,17626,35391.0,1853.0,1059,20.6,26.5,24.0,13.9,22.2,15.9,24.0,82.8,12.2,0.3,0.3,0.9,3.5,32.7,8940,76.5,13.0,10.2,0.3,9.5
47059,Greene,68576,33463,35113,2.7,93.4,2.1,0.1,0.5,0.0,54029,35196.0,957.0,810,20.5,32.1,27.8,17.4,21.1,9.8,23.8,85.9,9.0,0.2,1.3,1.4,2.2,22.7,28160,76.4,15.9,7.5,0.2,8.7
47061,Grundy,13524,6687,6837,0.5,81.7,0.2,0.4,0.2,0.0,10487,27373.0,2183.0,1284,28.7,38.3,22.9,22.8,17.1,12.3,25.0,83.0,10.1,0.0,1.1,0.2,5.6,29.0,4529,77.9,12.2,9.8,0.2,10.2
47063,Hamblen,62999,30693,32306,11.0,82.4,3.7,0.1,0.7,0.0,44924,37617.0,2162.0,791,21.3,30.7,25.0,15.7,22.7,10.9,25.8,83.6,10.6,0.3,0.6,3.0,2.0,22.1,25095,81.7,11.3,6.8,0.1,10.1
47065,Hamilton,348121,167812,180309,4.9,71.6,19.7,0.1,1.9,0.0,264986,48248.0,1137.0,443,16.0,23.6,37.3,17.2,25.3,7.0,13.1,83.3,8.2,1.0,2.1,1.3,4.2,21.6,162818,79.6,14.3,5.9,0.2,8.0
47067,Hancock,6642,3279,3363,0.1,97.4,0.5,0.6,0.1,0.0,5235,26898.0,2485.0,1209,27.7,34.6,26.6,19.4,14.7,17.3,22.1,82.2,7.9,2.2,1.9,1.6,4.2,32.7,2240,64.4,22.1,13.5,0.0,12.1
47069,Hardeman,26253,14297,11956,1.5,55.1,41.8,0.3,0.4,0.0,20836,31801.0,1907.0,909,24.8,34.1,26.0,20.3,19.8,9.2,24.7,85.4,8.3,0.1,0.6,0.3,5.3,28.2,8256,70.7,22.0,7.2,0.0,18.7
47071,Hardin,25900,12619,13281,2.0,92.2,3.2,0.4,0.3,0.1,20281,35290.0,2100.0,1719,23.3,31.7,23.6,20.4,24.1,11.4,20.6,87.0,5.7,0.2,0.7,1.6,4.8,23.5,9438,72.9,15.5,11.6,0.0,13.9
47073,Hawkins,56595,27682,28913,1.3,95.4,1.4,0.2,0.4,0.0,44223,36927.0,1670.0,842,19.1,29.0,25.8,17.5,21.9,12.6,22.2,88.4,7.4,0.5,0.4,1.1,2.2,25.0,21893,79.8,12.6,7.6,0.0,10.0
47075,Haywood,18248,8544,9704,4.2,45.2,49.0,0.1,0.0,0.0,13745,34182.0,2846.0,1525,22.8,32.3,25.0,17.5,19.4,9.5,28.6,88.3,7.6,0.0,0.5,1.2,2.4,24.2,7194,75.7,17.6,6.2,0.6,10.5
47077,Henderson,28013,13465,14548,2.2,87.8,7.6,0.0,0.0,0.0,21223,38745.0,3131.0,991,21.5,33.4,26.1,14.9,21.6,12.4,25.0,85.4,10.0,0.2,1.1,0.4,3.0,24.4,11115,76.9,13.8,9.3,0.0,9.4
47079,Henry,32269,15657,16612,2.1,87.6,8.6,0.3,0.2,0.0,25242,38234.0,1575.0,1179,18.5,27.4,27.0,15.4,25.3,10.9,21.4,86.9,5.9,0.1,1.1,2.1,3.9,22.0,12592,72.2,16.8,10.3,0.6,9.7
47081,Hickman,24283,12745,11538,2.1,90.8,4.8,0.0,0.0,0.0,18737,36334.0,1363.0,1023,20.9,29.6,24.1,21.1,21.5,14.5,18.8,81.2,11.5,0.4,1.6,1.9,3.5,37.1,9388,77.7,14.0,8.3,0.0,8.6
47083,Houston,8290,4098,4192,2.1,92.6,2.7,0.5,0.2,0.0,6318,39401.0,2406.0,1118,23.1,37.0,20.7,17.8,19.6,18.1,23.9,82.0,11.5,0.3,3.6,1.2,1.3,33.4,2997,66.8,19.2,13.9,0.1,8.1
47085,Humphreys,18240,9048,9192,2.0,93.4,3.2,0.4,0.2,0.0,14189,41949.0,1987.0,1367,15.9,22.3,29.5,14.4,19.3,14.6,22.2,83.6,11.3,0.0,0.5,0.8,3.8,26.6,7067,73.1,18.6,7.9,0.4,8.9
