CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
48001,Anderson,57915,35469,22446,16.8,60.2,21.1,0.4,0.6,0.0,44111,41327.0,1842.0,18.5,27.0,23.4,24.0,23.7,15.0,13.9,84.4,10.6,0.2,1.4,0.7,2.6,21.6,19859,69.8,23.6,6.4,0.1,4.3
48003,Andrews,16775,8557,8218,53.2,43.1,1.3,0.2,0.4,0.0,10207,70423.0,6038.0,12.3,17.0,22.2,13.8,21.9,25.0,17.2,78.0,18.2,0.0,0.1,1.2,2.5,19.3,7923,83.1,9.6,6.8,0.5,3.9
48005,Angelina,87748,42886,44862,20.9,61.9,14.9,0.1,1.0,0.0,59834,44223.0,1611.0,19.4,30.0,26.8,20.8,22.4,13.3,16.7,82.7,12.6,0.1,1.4,1.5,1.6,17.7,36182,76.2,17.8,5.9,0.0,9.1
48007,Aransas,24292,12031,12261,26.1,68.3,1.5,0.1,1.7,0.0,18891,41690.0,3678.0,19.0,36.4,28.6,19.9,22.7,18.5,10.3,79.6,11.5,0.0,2.9,0.9,5.0,22.0,9464,75.4,12.4,12.2,0.1,6.8
48009,Archer,8779,4374,4405,8.1,88.8,0.6,1.3,0.5,0.0,6612,60275.0,5182.0,9.9,12.1,33.7,13.9,21.8,15.7,14.9,86.4,7.4,0.0,0.8,0.7,4.7,21.5,4239,76.6,13.8,9.5,0.2,3.0
48011,Armstrong,1943,977,966,11.8,84.5,0.6,1.6,0.0,0.2,1534,59737.0,4968.0,6.9,4.3,39.2,12.1,20.1,20.9,7.8,74.4,14.7,0.0,1.8,1.6,7.5,25.3,954,65.6,24.4,9.5,0.4,1.1
48013,Atascosa,47050,23397,23653,62.8,35.0,0.8,0.1,0.3,0.0,32272,52192.0,3005.0,16.4,24.9,23.3,20.9,21.8,19.3,14.8,78.5,14.6,0.1,1.4,0.3,5.2,29.4,19975,78.1,14.3,7.5,0.1,6.5
48015,Austin,28886,14386,14500,25.4,63.9,8.7,0.0,0.0,0.0,20047,53687.0,3810.0,11.5,19.2,30.8,17.1,21.0,13.5,17.7,80.6,11.7,0.1,0.9,1.5,5.3,28.2,13483,80.4,11.8,7.7,0.1,6.2
48017,Bailey,7126,3692,3434,60.1,37.5,1.9,0.1,0.4,0.1,3936,37397.0,8652.0,19.0,25.8,23.2,22.4,20.6,20.7,13.2,77.3,6.5,0.0,3.3,7.7,5.3,19.6,3191,75.3,19.1,5.6,0.0,4.3
48019,Bandera,20796,10387,10409,17.5,79.5,1.4,0.2,0.2,0.0,16648,49863.0,7193.0,13.0,21.1,35.8,18.5,21.2,16.4,8.1,81.7,9.9,0.3,2.2,0.3,5.5,35.0,9010,69.2,19.0,11.6,0.3,4.8
48021,Bastrop,76948,39211,37737,34.5,55.3,7.7,0.4,0.8,0.0,51011,54821.0,2362.0,14.3,20.6,31.5,15.0,25.3,16.2,12.0,79.3,14.0,0.3,1.6,1.0,3.8,33.2,32343,71.3,20.1,8.3,0.3,9.8
