CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
49001,Utah,Beaver,6461,3318,3143,10.7,88.9,0.2,0.2,0.0,0.0,4165,50282.0,6403.0,21405,1632,12.5,16.5,28.7,19.8,22.3,12.6,16.6,81.8,13.4,0.7,1.9,0.8,1.4,14.5,2881,76.0,20.1,3.4,0.5,3.8
49003,Utah,Box Elder,50991,25709,25282,8.9,87.6,0.3,0.8,0.8,0.0,33466,55038.0,2339.0,21748,696,9.5,11.2,30.4,13.7,21.8,10.9,23.2,77.7,15.4,0.7,1.6,1.2,3.4,23.2,21534,79.6,15.9,4.3,0.2,6.3
49005,Utah,Cache,117449,58573,58876,10.3,84.1,0.7,0.5,2.2,0.3,75915,50497.0,1200.0,20223,464,15.6,14.9,37.4,15.1,23.6,7.6,16.2,74.5,11.6,2.1,4.2,3.0,4.6,17.1,54566,76.4,18.6,4.9,0.2,5.5
49007,Utah,Carbon,20927,10335,10592,13.0,83.4,0.7,0.5,0.6,0.1,15018,46900.0,3014.0,21287,901,15.3,18.2,26.1,19.1,25.6,14.5,14.8,80.7,13.0,0.6,2.4,0.8,2.6,15.5,9197,74.5,20.9,4.2,0.4,7.4
49009,Utah,Daggett,776,422,354,2.3,95.7,0.0,1.0,0.0,0.0,582,56750.0,9413.0,22149,4614,7.2,3.4,21.6,23.4,21.6,19.4,14.0,86.5,3.7,1.4,0.5,2.3,5.6,19.3,222,47.7,44.1,8.1,0.0,4.3
49011,Utah,Davis,323374,162703,160671,9.0,84.9,1.1,0.3,1.9,0.6,207629,71112.0,1014.0,26411,468,7.7,9.0,40.9,14.0,26.4,7.2,11.4,79.4,9.4,2.8,1.6,1.7,5.2,22.5,147875,76.5,19.2,4.1,0.1,4.2
49013,Utah,Duchesne,19817,10051,9766,7.6,85.8,0.2,4.3,0.5,0.4,12752,61133.0,2017.0,23576,794,10.4,13.2,29.7,13.8,18.4,21.3,16.7,84.0,8.4,0.5,3.2,0.8,3.1,22.0,7875,75.1,20.4,4.3,0.2,5.2
49015,Utah,Emery,10728,5414,5314,6.2,93.2,0.2,0.1,0.1,0.0,7250,49787.0,2154.0,19717,961,11.2,15.3,26.4,19.8,16.7,21.6,15.5,79.9,10.0,1.2,2.1,1.0,5.8,18.0,4188,71.5,22.5,5.7,0.2,5.7
49017,Utah,Garfield,5069,2637,2432,5.6,90.2,0.6,0.5,0.8,0.6,3627,42614.0,3713.0,19971,1882,18.0,21.4,27.6,26.4,24.1,15.8,6.2,71.5,13.5,0.0,8.5,2.1,4.5,14.1,2000,70.8,20.1,8.9,0.3,8.6
49019,Utah,Grand,9388,4833,4555,10.1,83.1,0.3,3.6,1.4,0.6,6966,41312.0,4456.0,22635,2155,18.7,20.4,26.1,30.1,25.1,11.8,6.9,65.7,15.5,0.0,6.0,5.8,7.0,13.3,4741,76.2,14.7,9.0,0.0,7.1
49021,Utah,Iron,47139,23588,23551,8.1,86.6,0.6,2.3,0.6,0.5,32229,43855.0,2718.0,18995,989,21.0,22.9,33.5,19.1,22.9,11.9,12.7,75.9,13.8,0.5,5.4,1.7,2.8,18.0,19636,74.6,20.9,4.5,0.0,10.5
49023,Utah,Juab,10400,5404,4996,4.4,92.7,0.1,0.9,0.3,0.3,6599,54761.0,3523.0,18447,999,14.3,19.7,26.5,16.5,24.9,15.4,16.7,74.4,15.3,0.4,4.0,1.1,4.9,23.6,4422,76.4,19.2,4.4,0.0,3.8
49025,Utah,Kane,7202,3502,3700,4.3,92.0,0.2,0.2,0.1,0.0,5527,50194.0,7510.0,24729,2169,7.9,10.0,27.7,21.8,28.7,10.2,11.5,80.3,6.1,0.0,4.8,2.0,6.8,13.1,3201,70.6,23.4,4.1,1.9,7.0
49027,Utah,Millard,12582,6414,6168,12.6,84.4,0.4,0.8,0.7,0.1,7876,51593.0,3866.0,20602,794,12.9,19.5,25.8,20.3,16.5,20.0,17.4,75.1,16.2,0.2,3.0,1.4,4.1,16.7,5499,73.2,17.4,9.2,0.2,4.3
49029,Utah,Morgan,10276,5238,5038,2.7,95.2,0.4,0.0,0.7,0.1,6525,74314.0,8666.0,27312,2006,5.4,5.3,38.6,14.2,21.4,14.2,11.6,83.3,10.1,0.1,1.3,0.8,4.4,28.2,4234,80.1,14.2,5.7,0.0,6.0
49031,Utah,Piute,1865,1023,842,5.4,93.2,0.2,0.0,0.0,0.1,1410,35980.0,2542.0,17493,1757,20.6,35.1,35.4,23.4,20.8,12.9,7.5,75.3,10.4,0.0,3.4,4.5,6.5,22.3,653,61.3,31.9,6.0,0.9,6.8
49033,Utah,Rich,2292,1093,1199,6.5,91.3,0.1,0.0,0.0,0.0,1520,50781.0,5055.0,19168,1935,14.6,20.1,32.7,17.4,17.5,22.8,9.6,71.4,11.4,0.3,8.1,3.3,5.5,21.9,731,74.4,18.6,7.0,0.0,6.2
49035,Utah,Salt Lake,1078958,541831,537127,17.6,72.8,1.5,0.6,3.6,1.5,695153,62117.0,560.0,27314,254,12.4,16.2,37.4,14.9,27.5,8.2,12.0,75.3,12.0,3.7,2.1,1.9,4.9,22.3,536170,82.1,13.3,4.5,0.1,5.8
49037,Utah,San Juan,15152,7538,7614,5.1,45.8,0.2,46.8,0.7,0.2,10025,41484.0,2723.0,15654,763,28.1,34.2,32.7,21.6,20.0,15.7,10.1,75.1,10.8,0.7,5.7,0.7,7.1,19.8,5026,60.1,33.7,5.8,0.3,8.4
49039,Utah,Sanpete,28261,14845,13416,9.5,86.4,0.8,0.7,0.8,0.5,19551,50323.0,2784.0,16965,740,16.1,14.6,33.5,18.3,19.7,15.5,13.1,70.9,16.0,0.6,5.6,1.2,5.8,21.0,10060,74.8,18.7,6.5,0.1,8.3
49041,Utah,Sevier,20871,10615,10256,4.8,92.3,0.4,1.4,0.2,0.3,14175,46291.0,2800.0,19261,842,14.5,15.6,26.2,18.2,24.4,15.3,16.0,79.4,11.7,0.8,1.6,2.1,4.4,16.5,8449,71.9,21.0,5.6,1.5,5.9
49043,Utah,Summit,38521,19616,18905,11.6,84.9,0.5,0.2,2.0,0.0,25978,91773.0,5336.0,47733,2694,7.8,9.6,44.3,19.3,21.3,7.3,7.8,75.7,6.6,2.0,1.8,1.7,12.1,24.1,20741,80.6,12.7,6.6,0.1,3.2
49045,Utah,Tooele,60893,30737,30156,11.8,83.7,0.6,1.1,0.9,0.5,38157,63552.0,2092.0,22643,738,7.2,6.8,33.3,15.3,24.9,11.1,15.4,71.7,18.0,3.0,1.8,1.7,3.9,29.3,26337,74.8,21.2,3.9,0.1,7.1
49047,Utah,Uintah,35721,18262,17459,8.0,82.2,0.5,7.0,0.4,0.2,23147,66815.0,3343.0,24720,1698,9.3,9.4,28.1,11.7,25.3,18.6,16.3,80.6,11.2,0.8,1.8,2.1,3.5,19.3,15359,78.6,16.3,4.7,0.4,5.1
49049,Utah,Utah,551957,277687,274270,11.1,83.4,0.6,0.4,1.5,0.8,335824,62180.0,752.0,21335,239,13.2,12.0,40.3,15.6,26.2,7.6,10.3,72.9,12.8,1.8,4.0,2.5,6.1,21.4,241085,83.1,12.3,4.4,0.2,5.5
49051,Utah,Wasatch,26661,13421,13240,13.2,84.2,0.1,0.1,1.4,0.1,16103,66486.0,4869.0,26397,1329,10.0,12.3,34.6,20.3,24.8,11.2,9.0,80.5,9.1,0.5,1.5,2.2,6.3,25.6,12451,79.0,15.3,5.4,0.2,4.7
49053,Utah,Washington,148244,73265,74979,9.9,85.2,0.6,1.0,0.6,0.8,101145,50774.0,1694.0,22459,652,15.0,20.9,31.2,20.3,28.4,8.8,11.2,78.2,11.7,0.5,2.2,2.1,5.2,18.4,57785,80.9,13.7,5.3,0.2,7.7
49055,Utah,Wayne,2722,1407,1315,4.8,92.5,0.7,0.6,0.7,0.6,1897,40645.0,3353.0,20121,2313,15.4,12.9,31.1,18.5,25.3,14.2,10.9,70.7,15.0,1.1,6.2,0.0,7.1,16.1,1254,68.0,21.1,10.9,0.0,2.1
49057,Utah,Weber,238682,119748,118934,17.5,77.2,1.1,0.6,1.1,0.2,157797,56581.0,938.0,23545,353,13.0,16.8,31.6,15.8,25.3,10.2,17.1,79.0,12.0,1.8,1.4,1.6,4.1,21.7,109474,76.4,19.5,3.9,0.1,6.3
