CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
50001,Addison,36943,18355,18588,2.1,93.3,0.8,0.3,1.9,0.1,29318,59688.0,2199.0,9.2,12.9,40.8,17.6,17.4,12.2,12.1,70.6,10.7,0.7,8.6,1.1,8.2,24.0,19530,76.1,11.5,12.2,0.2,5.8
50003,Bennington,36589,17948,18641,1.7,95.0,0.5,0.2,0.5,0.0,29144,49573.0,2146.0,13.5,23.6,34.1,20.1,22.5,9.6,13.7,75.9,9.4,0.3,5.8,1.8,6.7,19.1,18014,77.4,10.1,12.4,0.1,5.7
50005,Caledonia,31012,15400,15612,1.4,95.2,0.6,0.5,0.7,0.0,24315,45323.0,1559.0,12.5,18.0,35.2,18.6,21.0,13.0,12.2,76.8,9.7,0.3,4.9,1.1,7.2,24.5,14773,72.9,15.5,10.8,0.8,7.2
50007,Chittenden,159711,77980,81731,2.1,90.0,2.3,0.2,3.2,0.0,124443,65350.0,1634.0,11.4,11.9,47.2,16.9,21.6,6.5,7.8,73.2,8.4,2.4,7.4,2.6,5.9,20.6,89268,79.4,14.4,6.0,0.1,5.0
50009,Essex,6207,3111,3096,1.2,95.9,0.6,0.5,0.4,0.0,4971,36599.0,1779.0,15.0,17.3,29.8,20.8,17.3,14.2,17.9,78.3,10.8,0.3,2.7,0.6,7.3,26.3,2683,70.6,17.8,11.1,0.5,9.4
50011,Franklin,48418,24000,24418,1.3,94.5,0.4,0.5,0.3,0.0,36678,58199.0,2034.0,8.7,11.8,36.2,15.0,21.6,12.9,14.3,78.8,11.6,0.5,3.7,0.9,4.4,25.8,25416,73.5,18.7,7.8,0.1,4.9
50013,Grand Isle,6952,3419,3533,1.7,93.6,0.0,0.9,0.4,0.0,5564,62608.0,2549.0,8.6,11.4,38.4,14.2,26.3,11.0,10.2,74.8,14.1,0.6,2.2,0.7,7.5,33.8,3697,78.2,11.7,9.8,0.3,7.4
50015,Lamoille,25027,12439,12588,1.5,95.0,0.7,0.6,0.5,0.0,19138,50939.0,2513.0,11.8,17.6,37.0,21.4,20.1,12.7,8.9,78.9,8.4,0.4,4.8,1.8,5.8,25.5,13147,77.0,12.2,10.5,0.3,4.3
50017,Orange,28929,14349,14580,1.2,95.8,0.5,0.6,0.5,0.0,23049,53869.0,2010.0,12.4,19.3,39.0,16.0,21.2,13.3,10.5,76.4,10.3,0.6,4.2,1.3,7.2,26.6,15314,71.7,15.8,12.3,0.2,4.5
50019,Orleans,27146,13611,13535,1.3,95.7,0.5,0.5,0.5,0.0,21274,42831.0,1753.0,15.5,20.6,32.6,17.6,20.9,15.2,13.7,79.3,8.9,0.1,2.5,1.9,7.2,23.2,12168,70.4,17.0,12.0,0.6,5.6
50021,Rutland,60530,29688,30842,1.3,95.9,0.6,0.2,0.7,0.0,48830,49372.0,1961.0,12.5,17.4,34.7,18.9,22.8,10.4,13.3,79.4,7.9,0.9,5.1,1.1,5.6,20.6,30125,76.7,14.4,8.7,0.3,6.6
50023,Washington,59132,29182,29950,1.9,94.4,0.9,0.3,0.8,0.0,46741,58788.0,2277.0,10.1,12.4,43.4,15.2,23.8,9.0,8.6,73.8,10.4,1.4,6.2,1.3,6.7,22.5,31774,72.2,18.4,9.1,0.3,4.8
50025,Windham,43858,21603,22255,2.1,93.7,0.9,0.2,1.0,0.1,34976,51045.0,1843.0,12.8,17.4,39.9,18.1,19.6,11.5,10.9,72.1,8.6,1.0,5.9,1.2,11.2,21.5,22336,74.3,12.4,13.2,0.1,6.8
50027,Windsor,56150,27488,28662,1.4,95.1,0.7,0.2,0.9,0.1,44683,52965.0,2430.0,11.0,14.0,39.5,17.5,20.6,10.7,11.7,76.2,10.5,0.9,4.4,1.0,7.0,22.3,28487,76.7,13.2,10.0,0.2,5.1
