CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
51001,Accomack,33115,16117,16998,8.8,60.9,28.6,0.4,0.1,0.0,24572,39412.0,2723.0,19.6,30.7,33.1,16.8,20.5,14.2,15.4,79.9,11.2,0.5,4.0,1.7,2.7,20.9,14296,73.2,18.6,7.7,0.5,6.8
51003,Albemarle,103108,49365,53743,5.7,77.4,9.3,0.2,4.4,0.0,76013,68449.0,3020.0,10.2,9.6,54.1,15.3,18.0,6.5,6.0,78.0,7.6,2.0,3.7,1.4,7.2,21.9,48206,67.1,24.7,8.0,0.1,3.8
51005,Alleghany,16066,7888,8178,1.4,92.0,5.3,0.0,0.2,0.0,12728,45007.0,2876.0,17.0,24.7,29.0,18.5,17.4,14.2,21.0,85.9,9.3,1.0,0.9,1.3,1.6,24.3,6539,77.3,16.3,6.3,0.1,5.1
51007,Amelia,12777,6492,6285,1.0,72.3,24.3,0.4,0.1,0.0,10041,56850.0,7882.0,11.6,17.4,26.2,17.1,30.1,14.6,11.9,83.9,9.5,0.9,1.1,1.9,2.8,33.8,5686,77.2,14.9,7.9,0.0,5.0
51009,Amherst,32148,15475,16673,2.1,75.6,18.4,0.3,0.7,0.0,25274,47558.0,3068.0,13.0,17.4,28.5,20.5,25.3,10.4,15.3,82.4,9.9,1.3,2.0,1.7,2.7,24.2,14663,78.8,15.1,5.9,0.2,6.6
51011,Appomattox,15208,7377,7831,1.2,76.7,20.3,0.2,0.1,0.0,11825,48823.0,2438.0,17.7,26.6,30.9,17.4,22.8,12.1,16.8,80.8,9.5,0.5,0.9,3.1,5.1,30.9,6532,76.3,20.3,3.2,0.2,6.6
51013,Arlington,223945,112006,111939,15.5,63.0,8.3,0.3,9.9,0.1,159816,105763.0,2428.0,9.0,11.4,68.0,10.9,14.9,3.5,2.7,54.2,6.0,26.4,4.9,2.7,5.8,28.1,141305,70.2,25.4,4.3,0.1,3.7
51015,Augusta,74053,37440,36613,2.4,91.8,4.0,0.2,0.6,0.1,58336,54558.0,1909.0,9.5,13.6,31.1,17.2,22.4,10.0,19.3,86.6,6.5,0.4,1.3,0.9,4.3,24.4,34285,76.4,17.6,5.8,0.2,4.7
51017,Bath,4583,2233,2350,3.5,91.2,3.4,0.0,0.0,0.0,3557,43646.0,7122.0,7.7,3.4,28.5,25.2,23.3,10.6,12.5,84.5,6.7,1.1,4.3,0.1,3.3,27.1,2310,80.0,14.7,5.4,0.0,6.0
51019,Bedford,76463,37567,38896,1.9,88.4,7.1,0.1,1.2,0.0,59639,56316.0,1620.0,9.7,12.8,34.6,14.9,24.5,11.0,14.9,83.3,9.9,0.4,0.8,1.6,4.0,27.5,35756,80.5,13.8,5.5,0.2,5.8
