CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
53001,Adams,19081,9698,9383,61.5,36.2,0.2,0.1,0.6,0.1,8881,46564.0,3684.0,21.4,27.6,23.9,12.3,16.3,31.1,16.4,74.9,14.3,0.5,2.3,1.8,6.2,17.7,7698,81.5,14.4,3.8,0.3,9.6
53003,Asotin,22040,10564,11476,3.6,91.6,0.4,1.1,0.9,0.3,17285,44394.0,3105.0,15.2,20.2,30.3,20.2,25.7,10.6,13.2,78.9,10.3,0.9,2.7,2.0,5.2,15.9,9439,76.9,16.6,6.5,0.0,9.6
53005,Benton,184930,92396,92534,20.0,72.6,1.4,0.6,2.6,0.1,125134,60251.0,1370.0,14.2,21.9,37.7,16.4,22.0,12.2,11.8,80.6,11.1,1.1,2.1,1.2,3.8,21.7,82427,78.6,16.9,4.3,0.1,6.9
53007,Chelan,74267,37027,37240,27.2,69.0,0.5,0.9,0.8,0.1,51243,51837.0,1886.0,14.3,19.9,29.3,19.5,20.4,16.8,14.0,76.8,9.6,1.5,4.4,2.5,5.3,18.2,33140,76.8,16.0,6.9,0.2,7.5
53009,Clallam,72397,35935,36462,5.7,83.8,0.8,4.4,1.4,0.1,58144,47253.0,1606.0,15.0,22.4,29.0,23.6,23.7,11.2,12.5,76.2,9.8,2.3,4.4,2.3,4.9,20.9,27697,69.7,22.0,8.2,0.1,9.9
53011,Clark,444506,219826,224680,8.4,80.3,1.8,0.6,4.1,0.7,311662,60756.0,842.0,11.2,14.4,34.9,17.3,24.7,9.1,14.0,78.8,9.2,2.4,1.8,1.5,6.3,25.3,201261,79.9,13.4,6.5,0.2,8.6
53013,Columbia,3989,2005,1984,6.4,88.5,0.4,0.5,0.6,0.9,3113,38581.0,4984.0,17.6,21.9,34.9,27.3,16.3,13.0,8.5,68.9,8.4,2.0,9.1,3.6,7.9,19.6,1557,58.0,28.8,12.7,0.4,10.4
53015,Cowlitz,102338,50495,51843,8.3,84.9,0.6,0.9,1.3,0.2,76209,47452.0,1861.0,17.5,24.2,27.3,19.8,22.2,12.5,18.2,79.2,12.4,0.2,1.7,1.7,4.8,24.1,40418,79.0,14.8,5.8,0.4,10.7
53017,Douglas,39599,19875,19724,30.0,66.1,0.2,0.9,0.7,0.0,25070,53636.0,2812.0,14.8,23.9,24.9,16.3,21.9,22.2,14.7,81.7,7.8,0.5,2.5,4.2,3.3,19.3,18034,79.2,14.6,5.7,0.4,6.5
53019,Ferry,7652,3987,3665,4.0,74.1,0.3,15.2,0.1,0.6,6151,38125.0,3523.0,22.0,24.7,34.6,15.3,17.7,18.4,14.0,69.5,10.8,0.4,11.7,1.5,6.2,21.1,2452,52.4,40.6,6.4,0.5,12.2
53021,Franklin,86443,45052,41391,51.5,42.3,1.8,0.3,2.0,0.1,44033,56980.0,2936.0,18.3,27.6,23.8,18.0,18.2,22.0,18.0,81.9,11.9,0.7,1.5,0.8,3.3,20.7,36259,81.7,13.2,5.0,0.1,7.2
53023,Garfield,2230,1110,1120,3.4,94.1,0.0,0.1,1.2,0.0,1720,45855.0,8863.0,11.5,16.9,35.6,18.2,24.8,12.7,8.7,75.3,8.6,0.1,5.7,0.9,9.4,20.1,883,48.5,32.4,19.1,0.0,7.4
53025,Grant,92070,46507,45563,39.7,56.0,0.6,0.9,1.0,0.0,50991,48714.0,2269.0,17.9,22.8,27.6,15.9,16.2,25.3,15.1,74.3,12.4,2.4,2.8,2.5,5.5,18.4,38314,75.4,19.4,5.1,0.1,10.1
53027,Grays Harbor,71419,36748,34671,9.6,80.1,1.1,4.0,1.5,0.4,54051,43538.0,1652.0,18.1,24.8,25.0,24.9,23.1,11.8,15.1,76.9,13.4,1.5,2.2,2.0,3.9,24.2,26197,71.2,21.7,7.0,0.2,14.3
