CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
54001,Barbour,16731,8142,8589,0.7,96.1,0.8,0.5,0.4,0.0,13209,37066.0,2601.0,1171,21.5,30.3,21.3,21.1,28.8,15.2,13.6,81.5,9.4,0.3,3.8,1.0,3.9,30.4,6345,79.4,16.7,3.9,0.0,9.0
54003,Berkeley,108724,53507,55217,3.9,85.2,6.9,0.1,1.0,0.1,80646,55239.0,1628.0,1199,14.2,22.0,32.6,17.1,24.2,10.0,16.1,83.3,11.2,1.0,1.1,0.4,2.9,30.9,49941,72.6,23.1,4.2,0.1,9.7
54005,Boone,24000,11917,12083,0.5,98.0,0.7,0.0,0.1,0.0,18550,39958.0,2871.0,1337,23.3,35.2,26.5,19.6,21.4,20.1,12.5,87.0,8.7,0.0,2.7,0.1,1.5,30.4,7592,77.7,17.8,4.5,0.0,9.2
54007,Braxton,14466,7256,7210,0.6,97.4,0.4,0.1,0.0,0.0,11497,32750.0,4420.0,1040,21.0,27.7,25.6,20.3,23.3,14.6,16.2,78.0,11.9,0.1,2.0,3.3,4.8,30.7,5280,74.8,18.6,6.1,0.5,14.4
54009,Brooke,23665,11537,12128,0.8,96.1,1.7,0.1,0.5,0.0,19243,46215.0,2259.0,1129,13.1,20.7,29.8,23.1,21.3,12.3,13.6,84.0,6.9,0.6,4.5,0.3,3.7,26.2,10360,79.5,16.5,4.0,0.0,6.4
54011,Cabell,96824,47123,49701,1.3,90.3,4.7,0.2,1.2,0.0,76435,38344.0,1905.0,770,21.7,27.4,37.8,17.9,28.5,5.9,9.8,82.2,7.9,1.1,4.1,2.5,2.2,20.4,40103,79.4,16.8,3.8,0.0,6.8
54013,Calhoun,7557,3783,3774,1.0,97.3,0.1,0.1,0.1,0.0,6037,35568.0,6515.0,1848,17.7,20.7,23.5,15.8,22.5,26.9,11.4,82.0,13.8,0.0,2.0,1.1,1.0,32.9,2511,77.6,17.6,3.3,1.5,18.1
54015,Clay,9141,4578,4563,0.1,97.9,0.0,0.4,0.0,0.2,7031,31325.0,3298.0,1235,28.2,30.0,24.2,23.3,16.5,22.2,13.8,71.2,20.7,0.0,2.1,3.0,3.0,41.4,2891,69.1,22.9,7.0,1.0,12.3
54017,Doddridge,8201,4375,3826,0.4,96.2,1.1,0.1,0.1,0.0,6646,39974.0,4623.0,1559,15.7,17.7,26.5,14.8,26.5,23.5,8.7,81.4,10.4,0.0,2.4,1.7,4.0,35.7,2831,72.7,21.6,5.7,0.0,6.5
54019,Fayette,45534,22936,22598,1.0,92.5,5.2,0.3,0.1,0.0,35939,36293.0,1836.0,790,19.9,27.5,27.0,20.8,24.6,15.3,12.3,81.4,9.3,0.1,4.0,3.6,1.6,27.2,15837,74.8,21.7,3.5,0.1,9.2
54021,Gilmer,8644,5111,3533,3.9,79.6,10.7,0.4,0.3,0.0,7166,37536.0,4352.0,1739,27.0,36.9,31.3,22.0,22.2,16.3,8.2,71.4,14.1,0.1,4.7,2.0,7.7,31.2,2791,66.8,29.8,3.4,0.0,9.4
