CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
55001,Adams,20451,11033,9418,3.8,90.6,3.0,0.4,0.4,0.2,17026,43640.0,2147.0,14.1,26.3,23.5,24.9,20.1,11.9,19.6,78.6,13.3,0.2,1.4,1.7,4.7,28.7,7457,80.0,12.6,7.3,0.2,10.1
55003,Ashland,15993,7996,7997,2.3,83.1,0.5,9.8,0.5,0.0,12327,39381.0,1885.0,15.7,22.9,30.0,22.0,21.2,12.0,14.8,75.5,9.7,0.5,7.9,1.7,4.7,18.1,7475,75.6,17.4,6.9,0.1,7.9
55005,Barron,45686,23012,22674,2.3,94.1,1.3,0.8,0.5,0.0,35320,45714.0,1117.0,12.6,17.4,26.6,17.1,20.6,12.2,23.5,79.2,7.6,0.2,5.5,1.3,6.2,19.6,22257,80.8,10.9,8.1,0.2,6.0
55007,Bayfield,15050,7719,7331,1.5,85.4,0.6,9.9,0.4,0.0,12176,46665.0,1207.0,11.6,19.6,34.6,19.2,19.6,13.6,13.0,75.6,10.2,1.2,4.7,1.5,6.8,23.4,6859,68.4,20.8,10.4,0.4,7.2
55009,Brown,254717,126333,128384,7.9,82.3,2.1,2.1,3.0,0.0,183966,53527.0,982.0,11.7,15.7,33.4,16.9,24.6,8.0,17.1,84.0,7.4,0.8,2.5,1.8,3.6,18.9,130354,84.6,11.0,4.3,0.1,6.1
55011,Buffalo,13319,6753,6566,2.0,96.4,0.5,0.2,0.1,0.0,10362,50196.0,2227.0,11.4,13.0,31.6,14.8,19.3,14.0,20.3,75.9,11.6,0.3,4.1,1.0,7.1,24.1,7013,77.9,11.0,10.7,0.5,3.7
55013,Burnett,15334,7845,7489,1.6,90.6,0.5,4.8,0.4,0.0,12399,41135.0,1421.0,15.6,23.2,26.9,21.5,21.4,13.4,16.8,79.6,9.7,0.2,2.6,1.1,6.8,27.0,6464,75.8,14.5,9.3,0.4,7.5
55015,Calumet,49678,24937,24741,3.9,91.7,0.7,0.6,2.3,0.0,36324,67427.0,1946.0,7.0,10.7,33.8,12.3,25.2,8.7,20.0,86.4,6.9,0.2,1.3,1.0,4.2,20.1,26679,86.0,9.5,4.3,0.2,3.1
55017,Chippewa,63209,32911,30298,1.4,94.2,1.3,0.3,1.2,0.0,48396,52109.0,1400.0,10.1,11.6,29.5,16.7,21.8,10.6,21.4,80.8,8.7,0.2,2.6,1.5,6.4,22.0,31085,81.2,10.8,7.7,0.3,5.1
55019,Clark,34518,17475,17043,4.1,93.8,0.4,0.3,0.4,0.0,23705,45048.0,1517.0,16.2,24.2,28.6,15.0,17.1,13.9,25.4,73.2,8.3,0.1,5.0,2.8,10.7,20.9,15579,75.8,9.0,14.7,0.6,4.8
