CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
56001,Wyoming,Albany,37565,19692,17873,9.1,83.4,1.3,0.7,3.1,0.0,29933,42834.0,2677.0,24946,1188,26.9,21.5,42.0,20.3,20.7,9.4,7.7,65.4,10.7,2.6,9.8,5.6,5.9,12.8,20577,58.7,34.2,6.9,0.2,4.7
56003,Wyoming,Big Horn,11895,6002,5893,8.9,88.1,0.1,1.1,0.4,0.1,8670,51679.0,2108.0,23812,1016,12.1,12.7,32.4,17.4,18.1,19.3,12.8,71.1,13.6,0.0,7.0,2.6,5.7,16.9,5288,70.2,20.8,8.7,0.3,4.4
56005,Wyoming,Campbell,48013,24914,23099,8.2,87.9,0.8,1.0,0.6,0.0,33585,80060.0,4714.0,33925,1672,7.2,8.4,25.0,14.4,21.7,24.0,14.9,81.1,10.4,2.4,1.4,2.6,2.2,20.2,26387,80.8,14.6,4.3,0.3,4.0
56007,Wyoming,Carbon,15739,8592,7147,17.4,78.4,1.4,0.6,0.2,0.1,11382,56825.0,3998.0,26706,1163,15.3,19.4,28.6,19.5,16.4,16.5,19.0,77.7,10.7,0.4,4.2,1.5,5.4,17.4,7851,72.5,21.8,5.3,0.4,4.3
56009,Wyoming,Converse,14101,7118,6983,7.5,89.1,0.0,0.2,0.9,0.0,10430,62307.0,6211.0,30249,1852,9.4,11.6,26.6,19.0,19.4,21.6,13.4,77.9,9.7,4.2,2.0,1.4,4.8,24.2,7303,75.0,17.7,7.0,0.3,5.1
56011,Wyoming,Crook,7229,3716,3513,2.5,96.8,0.2,0.2,0.1,0.0,5519,60445.0,4096.0,32083,3094,5.0,5.6,28.3,13.2,20.6,23.1,14.8,69.2,10.9,0.6,4.3,2.6,12.5,26.3,3754,72.6,15.5,11.7,0.2,4.1
56013,Wyoming,Fremont,40755,20358,20397,6.6,70.5,0.5,18.9,0.6,0.1,30206,52773.0,2488.0,25293,868,14.2,20.9,33.5,20.0,20.7,15.3,10.5,75.5,11.7,1.0,3.5,2.0,6.3,18.5,18736,61.8,28.3,9.4,0.5,7.8
56015,Wyoming,Goshen,13544,7180,6364,10.4,86.5,0.3,0.4,0.2,0.0,10618,42689.0,4929.0,25105,1946,17.9,31.9,33.6,20.3,18.2,13.5,14.4,77.6,10.2,0.5,3.1,1.5,7.2,19.2,6080,61.1,27.8,10.9,0.3,6.8
56017,Wyoming,Hot Springs,4809,2394,2415,3.6,93.4,0.2,1.5,0.3,0.0,3698,45278.0,4773.0,27259,2354,10.7,15.8,36.3,16.6,23.3,15.4,8.4,71.9,14.2,0.6,7.9,0.3,5.2,18.8,2292,70.5,19.0,9.9,0.7,3.3
56019,Wyoming,Johnson,8600,4525,4075,4.4,94.8,0.0,0.4,0.0,0.0,6615,54065.0,6444.0,30144,3817,6.3,0.8,32.5,19.7,17.3,22.0,8.4,68.3,18.4,0.5,2.4,3.1,7.3,31.1,4300,71.7,19.2,8.2,0.9,3.6
