CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
8001,Adams County,487850,245840,242010,39.3,51.1,3.0,0.5,3.8,0.1,306416,64087,991,366,12.2,16.4,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5.0,29.2,246450,83.6,11.2,5.1,0.1,5.1
8003,Alamosa County,16345,8085,8260,45.8,48.6,1.6,1.3,1.0,0.2,11257,36315,4688,1603,27.8,33.8,30.6,22.6,22.3,13.1,11.4,75.8,15.7,0.0,4.2,1.4,2.9,14.6,6593,73.1,18.2,6.3,2.3,9.9
8005,Arapahoe County,626612,309190,317422,18.9,61.3,10.2,0.3,5.6,0.2,426765,69553,846,489,9.9,13.2,41.4,16.7,25.0,7.9,9.0,77.4,8.5,4.4,1.5,1.3,6.8,27.7,330548,83.0,11.3,5.5,0.2,5.2
8007,Archuleta County,12592,6400,6192,18.3,76.7,1.1,2.1,0.7,0.0,9992,48016,5197,2043,11.6,21.3,37.3,17.0,20.0,16.5,9.2,71.0,13.5,0.2,3.7,1.8,9.7,17.2,5696,68.0,15.4,15.9,0.8,5.4
8009,Baca County,3581,1732,1849,10.5,85.7,1.5,1.1,0.0,0.0,2727,35898,2615,1570,19.5,28.7,39.7,19.2,15.3,19.0,6.8,71.3,9.8,0.0,9.3,1.3,8.3,14.5,1655,55.0,25.3,16.9,2.8,4.5
8011,Bent County,5806,3767,2039,32.0,60.8,6.1,0.5,0.4,0.0,4660,32500,3442,2107,24.5,32.4,31.0,27.2,18.5,13.9,9.3,77.7,12.0,0.0,4.0,2.7,3.5,20.1,1370,47.6,40.1,12.3,0.0,9.3
8013,Boulder County,316782,159112,157670,13.8,78.2,0.8,0.2,4.5,0.1,235892,75669,1234,832,13.1,11.6,53.2,15.6,19.4,5.0,6.7,64.7,7.9,4.9,5.1,5.6,11.8,22.7,170940,78.9,13.1,7.8,0.2,5.2
8014,Broomfield County,64283,31920,32363,12.1,77.6,1.0,0.3,6.4,0.0,46152,85639,2394,1707,5.2,4.7,53.3,12.0,22.0,5.9,6.8,77.9,6.4,3.6,1.1,1.8,9.3,27.9,34972,80.3,13.6,6.0,0.1,4.0
8015,Chaffee County,18818,10056,8762,10.1,85.3,1.6,0.4,0.8,0.0,15687,53762,2655,2035,9.6,8.2,35.7,19.4,22.4,11.4,11.0,71.8,7.3,0.3,4.4,6.1,10.2,17.5,8379,71.8,18.0,9.5,0.6,2.5
8017,Cheyenne County,2127,1086,1041,14.9,80.0,0.0,0.0,3.1,0.1,1362,54907,5772,2186,11.8,10.2,37.1,12.1,19.2,17.5,14.1,73.1,5.7,0.0,6.6,2.9,11.7,12.6,931,60.4,22.8,16.4,0.4,8.1
8019,Clear Creek County,9257,4752,4505,6.1,89.9,0.9,0.1,0.9,0.2,7523,68534,4776,4494,6.8,7.7,37.5,17.8,24.2,12.9,7.6,66.3,11.2,0.5,4.0,3.1,14.9,30.3,5248,67.7,18.9,13.1,0.2,3.2
8021,Conejos County,8147,4084,4063,53.4,43.9,0.3,1.5,0.1,0.1,5755,35657,3150,1395,21.1,27.0,30.3,20.5,17.6,19.5,12.1,77.3,14.7,0.0,1.6,1.8,4.6,21.6,2899,65.4,21.2,13.1,0.3,9.4
8023,Costilla County,3628,1958,1670,63.8,32.1,0.4,0.1,1.5,0.0,2812,29000,4573,2701,29.6,49.9,25.2,18.1,23.6,22.7,10.4,74.1,14.2,0.0,4.3,0.0,7.4,18.1,1242,63.5,22.4,14.1,0.0,9.1
8025,Crowley County,5514,3752,1762,30.7,62.4,4.3,1.1,0.4,0.0,4506,35292,6589,2450,24.6,31.3,22.2,29.1,16.0,17.8,14.9,78.3,9.5,0.0,6.2,0.4,5.6,23.1,1747,66.7,26.7,6.6,0.0,21.4
