CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
12001,Alachua County,259865,125712,134153,9.3,62.0,19.8,0.3,5.9,0.1,200490,45478,1546,711,23.3,22.0,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466,70.2,25.5,4.2,0.1,6.6
12003,Baker County,27537,14422,13115,2.4,81.9,13.8,0.4,0.7,0.0,20673,59506,4489,1777,17.2,22.0,29.9,19.0,26.7,10.6,13.9,84.9,9.1,0.0,0.1,2.4,3.5,29.9,10567,69.1,26.7,4.0,0.2,5.8
12005,Bay County,180117,89542,90575,6.0,77.3,10.7,0.7,2.3,0.0,137132,50283,1571,677,15.4,22.1,32.0,22.2,25.1,10.2,10.5,81.7,10.5,1.2,1.3,2.0,3.3,22.8,80334,77.5,16.0,6.2,0.4,6.4
12007,Bradford County,26775,14754,12021,3.8,74.5,19.1,0.3,0.6,0.0,21017,46106,5357,1548,18.8,24.9,31.7,22.8,23.7,11.0,10.8,87.5,7.1,0.1,2.1,1.8,1.4,31.1,9118,71.3,24.9,3.6,0.2,7.6
12009,Brevard County,568183,277666,290517,9.7,75.3,9.8,0.3,2.4,0.1,445123,51536,616,419,13.4,19.4,38.4,19.1,24.7,8.5,9.4,81.6,8.0,0.6,1.1,2.7,6.0,24.5,239195,81.6,13.1,5.2,0.2,7.6
12011,Broward County,1890416,920265,970151,28.4,38.2,27.4,0.2,3.5,0.0,1247710,54895,644,287,14.0,19.1,35.6,19.9,27.5,8.4,8.6,80.0,9.0,2.8,1.2,2.1,4.9,28.2,930561,83.1,10.6,6.2,0.1,7.6
12013,Calhoun County,14458,7872,6586,5.8,76.9,12.8,0.9,0.8,0.0,11034,36237,2312,1194,12.9,10.0,23.9,29.4,19.1,18.2,9.4,78.7,15.5,0.0,0.9,3.2,1.7,26.8,4698,71.4,23.1,5.5,0.0,8.6
12015,Charlotte County,173236,84432,88804,6.9,84.4,5.5,0.3,1.2,0.0,144514,46511,1143,872,12.0,19.6,29.0,22.3,29.0,12.1,7.6,79.0,8.8,0.2,1.0,3.2,7.7,24.7,59033,79.7,12.9,7.0,0.4,8.9
12017,Citrus County,141373,68487,72886,5.3,88.6,2.8,0.3,1.6,0.0,117655,40574,1147,924,17.4,30.6,28.2,23.5,25.2,11.2,11.9,81.7,8.1,0.3,1.2,2.9,5.8,25.3,45294,79.9,12.8,6.8,0.4,9.9
12019,Clay County,203291,100119,103172,9.3,74.2,9.6,0.1,3.0,0.1,149644,61971,1829,923,10.4,12.9,33.5,18.3,26.6,10.9,10.7,83.3,8.1,0.1,1.1,1.9,5.4,33.3,91705,82.1,14.1,3.8,0.1,8.1
12021,Collier County,356774,175608,181166,27.2,63.6,6.8,0.2,1.3,0.0,247583,62407,1257,871,12.8,22.8,30.6,24.2,24.1,13.5,7.6,74.6,11.3,2.4,1.5,2.8,7.3,24.5,150802,84.6,8.2,7.0,0.1,5.3
12023,Columbia County,68484,35425,33059,5.8,73.1,17.6,0.2,0.9,0.1,52547,43504,2151,1025,16.8,23.9,30.3,20.7,25.0,13.0,11.0,83.7,10.6,0.2,0.6,1.3,3.7,24.8,25911,73.2,22.3,4.4,0.2,9.5
12027,DeSoto County,35675,20184,15491,30.5,55.5,12.8,0.2,0.2,0.1,24109,35435,1717,1313,29.9,41.0,15.2,20.6,19.0,32.8,12.4,67.2,18.2,6.0,1.8,1.5,5.3,24.7,12667,78.9,13.2,7.7,0.2,6.1
12029,Dixie County,16323,9048,7275,3.9,84.8,7.1,0.4,0.5,0.0,13063,35910,3084,2088,23.7,32.9,25.9,17.3,24.7,16.1,15.9,77.1,14.0,0.0,1.3,1.8,5.8,26.7,4798,69.4,22.0,8.1,0.5,6.2
12031,Duval County,912043,442115,469928,9.0,54.1,29.3,0.2,4.6,0.1,666437,51296,541,367,16.0,24.3,36.6,18.3,27.1,7.8,10.3,80.3,9.4,1.9,1.7,2.0,4.8,24.5,430830,84.1,11.4,4.5,0.1,7.4
12033,Escambia County,309924,153834,156090,5.5,64.8,21.6,0.4,2.8,0.1,238553,47361,949,554,14.6,23.8,32.6,20.6,28.8,8.3,9.7,75.9,10.6,0.6,2.1,1.7,9.0,21.9,134161,78.3,15.3,6.3,0.1,7.2
