CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
13001,Georgia,Appling County,18471,9090,9381,9.7,69.6,17.9,0.6,0.8,0.0,13387,37089,3056,19936,1548,24.7,31.8,26.0,13.9,18.7,22.8,18.6,82.9,11.3,0.2,2.4,0.6,2.6,22.0,6951,78.8,16.2,4.9,0.2,7.7
13003,Georgia,Atkinson County,8313,4112,4201,24.6,56.6,17.8,0.7,0.0,0.0,5245,33063,1483,19904,3123,27.4,45.6,21.6,9.7,22.2,23.0,23.5,82.7,11.6,0.0,2.2,2.2,1.2,22.9,3289,82.8,11.6,5.6,0.0,8.4
13005,Georgia,Bacon County,11279,5599,5680,8.5,73.6,14.6,0.0,0.9,0.2,7903,38824,3793,18856,1372,23.2,34.4,30.7,12.0,22.4,18.6,16.2,79.1,15.1,1.2,1.3,1.3,2.1,20.4,4345,77.7,16.1,6.2,0.0,3.1
13007,Georgia,Baker County,3251,1547,1704,5.4,52.1,41.3,0.2,0.6,0.5,2512,43867,6318,22270,2612,19.5,19.4,28.5,11.4,27.8,19.9,12.4,88.8,8.0,0.0,1.1,0.6,1.5,27.4,1286,70.1,23.1,6.8,0.0,2.5
13009,Georgia,Baldwin County,45527,22893,22634,2.2,52.9,41.4,0.3,1.5,0.2,36104,37008,2546,20114,1154,27.8,37.0,30.3,26.9,20.2,9.8,12.8,85.2,8.8,0.4,2.5,1.4,1.7,21.7,17647,68.6,27.7,3.7,0.0,9.0
13011,Georgia,Banks County,18363,9245,9118,6.4,88.4,2.5,0.2,1.2,0.0,13533,42182,3151,19451,977,14.3,17.9,24.8,17.0,22.4,16.4,19.5,80.6,12.5,0.0,2.0,0.6,4.4,30.2,7796,80.5,11.6,7.0,0.9,6.6
13013,Georgia,Barrow County,75099,37033,38066,10.0,73.0,11.1,0.1,3.6,0.0,51848,56119,2078,22978,689,13.2,18.1,28.0,13.8,29.1,12.5,16.6,85.1,9.9,0.3,0.5,0.8,3.3,33.2,34265,82.9,12.5,4.5,0.1,6.8
13015,Georgia,Bartow County,102623,50888,51735,8.2,78.2,10.5,0.2,0.9,0.0,73506,52393,2222,24931,977,14.2,19.1,29.9,16.6,22.8,12.1,18.6,81.9,9.7,0.8,0.7,1.6,5.3,27.9,46890,81.4,13.0,5.4,0.2,6.0
13017,Georgia,Ben Hill County,17272,8259,9013,6.0,56.5,36.2,0.0,0.2,0.0,12517,32344,2976,16635,1067,30.4,43.1,24.3,18.1,18.7,11.3,27.6,84.3,10.9,0.0,1.5,2.6,0.6,17.5,6132,81.4,15.7,2.8,0.1,5.2
13019,Georgia,Berrien County,19014,9297,9717,4.9,82.3,10.8,0.2,1.0,0.0,14081,38297,3248,18064,940,23.7,29.9,22.8,19.7,20.6,15.9,21.1,80.4,13.7,0.1,1.6,1.9,2.3,23.8,7062,77.3,17.7,4.8,0.3,9.4
13021,Georgia,Bibb County,153923,72312,81611,3.2,39.3,54.0,0.2,1.9,0.0,113107,38183,1684,23426,681,26.7,41.3,34.8,21.1,26.7,6.4,11.0,82.0,9.9,1.0,2.3,1.9,3.0,21.1,60590,79.8,15.9,4.1,0.1,10.4
13023,Georgia,Bleckley County,12779,5909,6870,2.7,68.8,27.7,0.1,0.2,0.0,9903,40688,3305,20667,3761,23.0,32.0,30.1,20.3,22.9,12.9,13.8,84.6,10.5,0.1,1.2,0.2,3.4,24.2,4227,65.5,29.4,5.1,0.0,7.7
13025,Georgia,Brantley County,18411,9070,9341,2.1,92.6,3.1,0.1,0.7,0.1,13772,36812,3685,18220,1692,21.8,28.0,24.4,18.0,20.8,20.7,16.1,84.2,8.9,1.4,1.2,0.7,3.7,30.8,6430,75.0,18.0,6.8,0.2,7.8
13027,Georgia,Brooks County,15629,7531,8098,5.6,56.8,33.6,0.0,0.8,0.0,11757,34890,5889,20964,1463,23.6,40.8,27.1,16.6,23.5,16.8,16.1,82.1,9.7,0.6,0.7,2.3,4.7,24.2,5865,75.2,18.3,6.4,0.1,13.6
13029,Georgia,Bryan County,34883,17313,17570,6.6,74.3,14.6,0.5,1.5,0.0,24041,68589,5815,29880,1737,14.1,17.0,37.6,17.0,23.6,11.2,10.6,85.3,8.0,0.0,1.5,2.6,2.6,30.0,15250,75.3,18.3,6.3,0.1,7.9
13031,Georgia,Bulloch County,73742,36288,37454,3.7,64.0,28.5,0.2,1.5,0.0,57432,39305,2425,20526,894,30.4,32.6,32.9,21.8,21.8,9.5,14.1,79.2,10.8,1.3,2.2,2.1,4.5,21.6,32662,67.3,24.6,7.7,0.3,9.3
13033,Georgia,Burke County,22645,10752,11893,3.1,47.0,49.1,0.0,0.3,0.0,16455,38707,5008,19720,1231,29.2,47.4,28.0,18.1,19.8,14.8,19.4,87.7,7.8,0.2,0.7,1.0,2.7,26.4,8671,77.2,17.0,5.6,0.2,5.8
13035,Georgia,Butts County,23556,12464,11092,3.1,66.6,28.2,0.1,0.6,0.0,18209,39655,2735,21236,2495,23.5,31.6,27.3,16.3,25.3,14.4,16.7,85.7,9.0,0.0,0.2,0.6,4.6,30.8,8655,79.3,15.0,4.5,1.2,7.6
13037,Georgia,Calhoun County,6503,3915,2588,4.8,32.5,60.5,0.0,0.5,0.0,5141,29617,2794,13865,2459,32.2,41.7,30.3,21.4,17.5,15.0,15.8,79.2,9.8,0.6,2.5,0.2,7.6,22.6,1612,71.5,23.9,3.9,0.7,14.9
13039,Georgia,Camden County,52252,26821,25431,6.4,70.1,18.5,0.6,1.4,0.1,38225,53687,1418,26854,2141,12.7,20.2,33.0,19.6,23.8,12.1,11.5,84.0,7.2,0.2,4.8,2.0,1.8,22.8,21015,68.1,26.6,5.1,0.2,8.2
13043,Georgia,Candler County,10894,5353,5541,11.5,61.2,23.5,0.7,0.8,0.0,7742,33125,4183,18233,1999,31.5,44.8,25.8,16.8,26.7,14.6,16.1,80.9,15.2,0.0,1.4,0.3,2.1,22.2,4279,74.8,16.1,8.9,0.2,6.3
13045,Georgia,Carroll County,114898,56032,58866,6.7,71.1,18.7,0.3,0.8,0.1,84217,46844,1697,23139,1022,18.6,26.2,27.0,18.7,22.6,11.6,20.0,81.2,13.1,0.3,1.4,1.6,2.4,27.8,49458,79.2,15.1,5.6,0.1,9.4
13047,Georgia,Catoosa County,65870,31953,33917,2.9,91.4,2.3,0.2,1.3,0.0,49624,54537,1845,25643,997,10.8,14.6,32.2,13.5,28.5,10.4,15.4,85.6,10.0,0.0,0.5,0.5,3.4,23.3,31464,82.7,12.0,5.2,0.1,5.4
13049,Georgia,Charlton County,12963,7393,5570,8.4,62.0,25.3,1.5,0.8,0.0,9378,43257,6511,19102,1451,23.1,34.7,25.0,20.3,16.9,17.5,20.3,78.8,13.6,0.5,0.4,2.4,4.4,33.7,4412,74.8,19.8,5.2,0.2,10.4
13051,Georgia,Chatham County,285506,137781,147725,6.3,49.1,39.4,0.2,2.5,0.1,212500,52215,1310,28765,736,17.3,25.9,36.2,21.1,22.6,8.1,12.0,78.5,9.5,2.7,2.5,2.6,4.1,21.8,132386,80.0,14.5,5.3,0.2,8.7
13053,Georgia,Chattahoochee County,11096,7455,3641,15.3,59.1,17.9,0.8,2.5,0.2,8372,46096,6130,22774,2558,15.0,17.9,31.9,18.0,21.6,14.3,14.1,49.2,9.5,0.4,9.8,1.9,29.2,15.5,2210,55.6,39.3,4.9,0.2,15.2
13055,Georgia,Chattooga County,24880,12730,12150,4.7,83.1,10.2,0.1,0.4,0.0,18729,35718,2489,17716,1149,22.5,29.5,23.1,15.2,18.9,12.3,30.5,83.6,11.3,0.5,2.2,0.8,1.7,25.2,8839,80.2,13.3,6.2,0.4,9.5
13057,Georgia,Cherokee County,235896,116132,119764,10.0,79.9,6.2,0.1,1.9,0.0,164025,75477,1920,33466,873,9.4,12.2,40.7,15.1,27.1,8.8,8.4,78.9,9.1,0.5,1.0,1.9,8.7,34.5,117102,84.2,10.5,5.3,0.0,4.9
13059,Georgia,Clarke County,123554,58788,64766,10.6,55.6,27.3,0.1,4.2,0.0,93727,34557,1564,21203,570,34.1,39.6,40.7,21.3,19.9,5.7,12.4,74.6,10.3,4.5,3.9,2.5,4.2,19.4,57801,71.7,23.6,4.5,0.3,7.6
13061,Georgia,Clay County,3024,1495,1529,4.7,30.3,64.3,0.0,0.0,0.0,2312,23315,4341,14559,2352,41.4,63.5,18.4,18.7,20.2,26.6,16.1,66.3,29.3,0.6,0.0,0.0,3.9,29.6,865,74.7,19.1,6.2,0.0,20.3
13063,Georgia,Clayton County,274150,129364,144786,13.2,11.2,67.7,0.2,5.3,0.0,176914,44106,1280,19498,400,21.9,33.5,23.2,21.3,26.9,9.4,19.2,78.0,12.1,2.6,1.4,2.3,3.5,30.4,122985,80.0,14.7,5.2,0.1,10.3
13065,Georgia,Clinch County,6788,3411,3377,4.9,65.7,27.4,0.3,0.6,0.0,4848,21838,6556,17145,1744,39.5,45.6,27.0,18.0,17.4,14.9,22.7,88.3,8.1,0.0,1.1,0.4,2.1,18.5,2163,79.3,18.0,2.6,0.1,9.1
13067,Georgia,Cobb County,739072,357252,381820,12.8,53.1,26.3,0.1,5.1,0.0,497695,72004,1128,36587,443,10.9,14.7,45.7,14.8,23.9,7.3,8.3,79.6,8.5,1.1,1.2,2.0,7.6,31.4,382187,83.4,10.1,6.4,0.1,6.0
13069,Georgia,Coffee County,43048,22105,20943,11.3,58.6,27.9,0.1,0.7,0.0,30674,36572,1549,18945,1064,23.9,34.1,33.1,16.3,20.4,9.8,20.4,85.5,9.2,0.2,0.7,2.1,2.3,20.0,16232,79.4,14.3,6.1,0.1,5.7
13071,Georgia,Colquitt County,45890,22806,23084,18.9,56.5,22.5,0.3,0.8,0.0,29824,34503,1794,18121,903,25.4,38.3,22.4,17.5,20.6,21.7,17.7,73.2,18.9,1.4,1.6,1.5,3.5,21.6,18771,78.7,15.9,5.3,0.2,7.2
13073,Georgia,Columbia County,143723,70172,73551,6.2,70.1,16.3,0.2,4.0,0.0,102391,74162,1661,31720,870,8.6,10.1,42.9,17.2,22.6,8.2,9.1,86.6,9.4,0.1,0.3,0.6,3.0,25.2,63139,74.8,20.3,4.9,0.1,5.8
13075,Georgia,Cook County,17190,8275,8915,5.8,64.9,27.2,0.3,0.6,0.0,12384,35539,3615,17587,1187,24.2,30.1,24.8,16.8,24.1,14.2,20.1,81.8,11.0,0.1,1.6,0.7,4.8,25.6,6902,76.6,16.9,6.5,0.0,5.8
13077,Georgia,Coweta County,138015,67326,70689,6.8,71.5,17.4,0.1,1.8,0.0,98257,67570,1607,31548,895,11.6,16.6,34.7,15.8,24.6,10.1,14.8,81.5,10.9,0.6,0.4,1.8,4.8,31.0,66983,81.2,13.6,5.0,0.2,5.4
13079,Georgia,Crawford County,12385,6303,6082,0.7,73.5,23.3,0.1,1.1,0.0,9611,41032,5046,22212,2294,18.1,24.1,25.9,19.6,23.3,16.1,15.1,89.1,6.7,0.7,0.7,1.3,1.5,28.8,4604,72.2,23.3,4.0,0.5,12.6
13081,Georgia,Crisp County,23005,10813,12192,3.2,50.6,43.2,0.0,1.2,0.2,16976,33194,3700,21225,2736,31.2,40.6,28.7,20.0,25.1,11.6,14.6,83.8,10.5,0.3,1.0,1.7,2.8,18.8,8481,69.1,21.9,9.0,0.0,14.8
13083,Georgia,Dade County,16282,7956,8326,2.2,93.8,0.5,0.7,1.1,0.7,13024,43163,4466,23184,1538,17.5,23.0,26.1,21.5,21.6,14.5,16.3,75.8,12.4,0.2,7.1,0.5,3.9,26.4,7719,80.8,10.3,8.6,0.3,4.8
13085,Georgia,Dawson County,23397,11529,11868,4.2,92.8,1.2,0.1,0.3,0.0,18150,62284,5862,31954,2779,11.8,15.7,37.1,12.6,25.0,12.3,12.9,79.6,11.2,0.1,0.4,0.8,7.8,32.3,10665,79.9,13.3,6.7,0.0,6.1
13087,Georgia,Decatur County,27023,13037,13986,5.8,50.9,42.1,0.1,0.4,0.0,19762,36934,3234,19650,1242,24.1,30.2,27.6,17.0,24.6,14.5,16.3,80.8,11.4,0.5,0.3,4.9,2.2,24.0,9855,72.2,20.7,6.9,0.2,6.5
13089,Georgia,DeKalb County,736066,348949,387117,8.7,29.1,53.3,0.2,6.0,0.0,500428,55876,865,32110,420,17.6,27.9,43.6,16.2,23.9,5.6,10.7,72.0,10.7,7.9,1.7,1.6,6.2,31.9,365630,81.6,13.2,5.1,0.2,8.5
13091,Georgia,Dodge County,21063,11024,10039,3.4,65.3,27.8,0.0,0.6,0.0,16512,35290,2856,18563,1265,22.2,30.6,33.6,15.7,22.4,10.9,17.4,82.2,9.0,0.7,1.2,4.7,2.2,26.0,7684,60.9,31.4,7.7,0.0,9.0
13093,Georgia,Dooly County,14053,7631,6422,6.9,42.6,49.5,0.0,0.1,0.0,11050,33389,5181,16867,2006,23.2,32.1,22.2,20.2,18.6,11.2,27.9,82.1,12.7,0.0,0.8,1.0,3.4,21.5,4929,66.1,23.4,10.5,0.0,10.5
13095,Georgia,Dougherty County,91522,42377,49145,2.6,26.2,68.4,0.1,0.8,0.0,67545,34541,1950,20292,692,30.5,45.7,30.3,22.3,22.9,7.9,16.6,77.5,12.7,2.2,2.5,0.8,4.4,18.9,34494,72.3,23.6,4.0,0.1,15.8
13097,Georgia,Douglas County,140152,66926,73226,9.2,43.4,44.0,0.1,1.6,0.0,97768,59333,2092,25449,800,14.2,18.8,34.3,15.6,26.2,9.2,14.7,81.8,10.3,0.8,0.7,1.7,4.8,32.7,66421,80.6,13.8,5.7,0.0,7.9
13099,Georgia,Early County,10405,4817,5588,2.2,46.1,50.5,0.1,0.8,0.0,7694,29493,5666,17972,1246,27.5,42.3,29.9,12.4,19.5,19.7,18.6,88.8,7.1,0.1,1.3,2.4,0.3,25.2,3682,68.8,24.9,6.3,0.0,8.7
13101,Georgia,Echols County,4011,2012,1999,26.7,65.0,2.7,1.9,0.0,0.0,2598,34315,3790,20589,3791,28.2,26.2,19.7,13.0,23.4,27.9,16.0,82.6,12.5,0.4,0.9,0.0,3.7,26.8,1656,82.8,12.1,5.1,0.0,5.5
13103,Georgia,Effingham County,57087,28260,28827,3.9,79.3,13.2,0.1,1.0,0.1,40780,64279,3102,26765,940,9.6,12.9,32.1,13.7,21.0,14.6,18.6,86.7,8.6,0.2,0.8,1.6,2.1,31.1,26904,80.9,15.6,3.4,0.1,5.0
13105,Georgia,Elbert County,19288,9218,10070,5.5,63.5,30.5,0.0,0.1,0.0,14697,35207,3455,21138,1700,22.4,33.8,25.8,14.8,20.8,10.0,28.5,86.1,10.0,0.2,1.8,0.1,1.8,20.8,7327,72.1,19.3,8.4,0.2,7.7
