CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
16001,Ada County,435117,217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,316189,60151,1294,725,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984,78.3,15.0,6.6,0.1,4.3
16003,Adams County,3946,2021,1925,3.3,92.7,0.3,1.2,0.0,0.2,3229,42727,4646,2275,13.8,20.9,33.1,19.4,21.2,13.9,12.5,69.0,13.1,0.8,4.4,1.8,10.9,24.1,1539,65.4,22.0,12.5,0.0,8.7
16005,Bannock County,84113,41867,42246,8.3,84.5,0.6,2.7,1.2,0.2,59635,47390,1605,901,17.6,20.4,35.5,18.2,25.2,9.0,12.2,76.2,11.1,1.5,4.2,2.6,4.3,17.6,36989,73.1,20.9,5.9,0.2,6.3
16007,Bear Lake County,5942,2928,3014,4.1,93.7,0.8,0.2,0.7,0.0,4295,50603,4499,2065,14.5,21.6,23.1,20.2,24.2,18.6,13.9,71.6,16.8,0.3,3.8,1.1,6.4,23.0,2523,75.6,14.5,9.4,0.4,3.7
16009,Benewah County,9050,4568,4482,3.4,84.7,0.2,8.1,1.0,0.2,6951,43472,3699,1502,15.8,22.2,22.1,22.1,17.9,14.8,23.1,77.2,8.3,0.7,6.9,2.7,4.2,20.8,3450,69.6,20.7,9.5,0.2,9.6
16011,Bingham County,45369,22732,22637,17.9,74.0,0.3,4.9,0.9,0.0,29477,51307,2748,642,13.1,17.6,31.2,17.6,20.5,15.7,14.9,77.5,12.0,2.0,1.8,1.8,4.8,21.9,19417,75.0,17.8,6.8,0.4,5.2
16013,Blaine County,21583,11040,10543,21.0,76.5,0.3,0.0,1.0,0.0,14778,58835,5130,2376,14.8,28.6,31.3,28.5,20.2,12.8,7.3,76.1,7.2,1.4,3.6,2.4,9.3,19.2,11954,73.7,10.9,14.8,0.6,3.7
16015,Boise County,6968,3678,3290,4.1,91.8,0.2,1.0,0.7,0.0,5653,49964,9226,2408,11.3,19.9,40.3,13.9,24.4,10.4,11.1,68.8,12.8,0.4,5.5,2.6,9.9,38.1,2749,65.8,22.0,11.8,0.3,6.0
16017,Bonner County,41855,20980,20875,2.9,93.6,0.1,0.6,0.7,0.1,32924,45607,2239,1236,14.0,18.8,26.6,19.1,22.0,14.2,18.1,75.6,9.6,0.5,1.8,2.3,10.2,25.6,17199,77.3,11.5,11.2,0.0,4.4
16019,Bonneville County,110404,55082,55322,12.7,83.6,0.5,0.3,0.8,0.2,72872,54150,1580,1096,11.9,15.1,35.8,16.8,24.0,10.3,13.1,78.4,10.9,2.9,1.6,1.6,4.5,19.2,48734,78.0,15.7,6.1,0.2,3.8
