CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
17001,Adams County,66787,32698,34089,1.5,92.0,3.9,0.2,0.8,0.1,51303,48454,1689,13.1,17.5,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17.0,32243,83.1,10.6,6.1,0.1,5.5
17003,Alexander County,6776,3258,3518,1.0,61.8,34.6,0.6,0.2,0.0,5100,31014,2759,33.4,59.3,26.8,27.8,25.9,4.9,14.6,87.7,5.8,0.8,1.7,1.4,2.6,27.3,2164,75.0,20.6,4.4,0.0,8.2
17005,Bond County,17034,8767,8267,3.5,87.8,6.1,0.2,1.2,0.0,13473,54393,4323,15.7,21.8,24.5,18.5,26.0,11.6,19.3,77.0,9.9,0.4,7.9,0.3,4.5,24.5,7483,80.8,12.2,6.7,0.2,5.1
17007,Boone County,53638,26755,26883,21.0,74.0,2.1,0.3,1.2,0.0,36775,62701,3159,10.6,14.9,29.0,15.5,23.1,11.6,20.8,84.2,9.0,0.3,0.7,0.5,5.3,29.0,25060,83.7,9.4,6.9,0.0,8.1
17009,Brown County,6791,4360,2431,3.6,73.6,21.3,0.0,0.6,0.0,5636,56289,3862,11.6,15.1,27.4,17.0,28.1,7.9,19.6,84.3,5.5,0.3,1.6,0.6,7.7,16.6,2418,71.0,17.7,9.8,1.5,4.7
17011,Bureau County,33619,16506,17113,8.8,88.4,0.8,0.1,0.8,0.0,25556,54271,1910,12.6,22.2,28.0,19.1,22.7,10.0,20.2,82.0,9.2,0.8,1.9,1.9,4.2,20.6,16262,82.1,10.5,7.2,0.2,5.7
17013,Calhoun County,4897,2453,2444,1.1,96.7,0.3,0.1,0.9,0.0,3855,53641,3602,12.8,15.1,31.2,21.5,16.9,17.0,13.4,82.1,8.2,1.2,2.2,0.7,5.6,39.6,2166,76.2,14.0,9.1,0.6,3.7
17015,Carroll County,14704,7288,7416,3.6,93.4,1.2,0.1,0.7,0.0,11737,50555,3103,11.3,12.5,31.0,16.2,19.6,9.9,23.2,81.5,9.1,0.9,2.6,0.7,5.2,24.7,6765,76.4,14.6,8.8,0.1,5.8
17017,Cass County,12880,6529,6351,18.8,76.2,3.9,0.0,0.3,0.0,8802,50156,2767,13.1,16.7,23.8,16.4,21.1,11.1,27.6,77.8,12.8,0.4,3.3,1.5,4.2,20.5,6152,77.3,14.4,8.0,0.3,6.9
17019,Champaign County,207946,103843,104103,5.7,68.3,13.0,0.1,10.3,0.1,152566,49586,1516,21.4,18.8,45.3,17.8,20.8,5.6,10.5,69.4,8.4,6.5,7.8,3.3,4.4,17.9,103099,67.5,27.3,5.1,0.1,5.2
17021,Christian County,33562,17040,16522,1.6,95.2,1.6,0.3,0.6,0.1,26386,50668,1800,12.8,18.2,30.8,18.4,22.7,11.5,16.6,83.2,9.7,0.7,1.8,0.8,3.8,25.2,14987,79.0,13.2,7.7,0.1,4.6
17023,Clark County,15924,7827,8097,1.5,96.7,0.3,0.1,0.4,0.0,12161,52068,3824,14.3,23.9,25.5,17.3,21.1,11.8,24.2,80.2,12.0,0.0,1.7,1.2,4.9,22.4,7675,80.4,10.9,8.4,0.2,6.5
17025,Clay County,13393,6602,6791,1.4,96.4,0.7,0.1,0.7,0.0,10402,47427,3055,14.0,17.8,24.5,15.1,19.8,13.1,27.5,85.4,8.5,1.1,1.2,1.3,2.5,20.6,6348,81.5,11.8,6.7,0.0,5.0
17027,Clinton County,37640,19549,18091,3.1,91.6,3.5,0.3,0.6,0.0,29305,64543,2635,9.0,11.3,34.6,15.9,21.4,11.3,16.7,83.5,8.8,1.0,1.9,1.6,3.1,25.1,18718,80.5,13.4,6.0,0.0,3.9
17029,Coles County,52540,25395,27145,2.4,91.0,3.8,0.2,1.2,0.0,42302,41907,1985,21.0,23.4,31.2,19.5,24.6,7.5,17.2,77.0,10.0,0.9,5.6,2.0,4.5,16.3,24725,75.9,17.5,6.4,0.1,7.3
17031,Cook County,5238541,2540704,2697837,25.1,42.7,23.4,0.1,6.9,0.0,3538445,59426,380,15.9,23.0,39.3,17.9,23.6,6.0,13.1,61.7,8.1,18.9,4.4,2.4,4.5,32.9,2521437,84.2,11.1,4.6,0.1,8.7
17033,Crawford County,19214,10067,9147,2.9,91.0,4.1,0.1,0.4,0.0,15335,47468,2393,11.9,12.9,28.6,16.1,21.5,11.3,22.4,84.3,10.6,0.3,1.6,0.8,2.4,15.8,8102,80.2,13.6,6.0,0.2,6.2
17035,Cumberland County,10899,5453,5446,1.1,96.7,0.1,0.2,0.3,0.1,8386,50680,3553,14.3,19.1,26.2,17.7,18.7,14.6,22.8,85.9,7.2,0.3,2.1,0.6,4.0,22.4,5135,81.0,11.8,7.2,0.0,5.0
17037,DeKalb County,104473,51739,52734,10.8,77.6,7.1,0.0,2.4,0.0,77267,58343,1544,18.1,20.0,32.8,20.9,24.1,9.0,13.2,79.3,8.7,2.0,4.2,1.8,4.0,25.5,52511,77.1,18.8,3.9,0.3,8.6
17039,De Witt County,16176,8085,8091,2.6,89.1,0.4,0.2,0.1,0.2,12510,55411,3084,13.3,21.3,29.5,17.8,25.0,11.6,16.2,84.8,7.3,0.1,1.4,1.5,4.8,21.9,8112,75.3,15.7,8.6,0.4,6.6
17041,Douglas County,19830,9780,10050,7.2,90.5,0.3,0.3,0.7,0.1,14422,52261,2466,12.1,18.8,27.1,15.4,23.8,11.6,22.2,76.8,9.3,0.2,3.5,4.8,5.5,20.8,9138,78.5,13.5,7.7,0.3,5.4
