CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
19001,Adair County,7192,3552,3640,1.7,96.6,0.3,0.0,0.4,0.0,5572,49477,2633,9.5,12.1,28.2,16.9,20.0,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,22.3,3680,73.8,15.3,10.4,0.5,3.0
19003,Adams County,3785,1870,1915,1.2,96.8,0.4,0.1,0.6,0.0,2992,49745,3996,11.2,8.6,37.4,14.3,17.0,13.1,18.3,80.7,9.6,0.2,3.3,0.8,5.3,19.6,1796,72.0,12.1,15.5,0.3,4.2
19005,Allamakee County,13940,7098,6842,6.1,91.2,0.9,0.1,0.3,0.0,10379,47895,3365,11.4,15.3,29.8,15.3,17.5,17.5,19.9,74.1,11.1,0.2,5.0,2.1,7.5,24.3,6881,77.8,10.3,10.8,1.1,3.3
19007,Appanoose County,12547,6206,6341,1.8,95.7,0.6,0.1,0.5,0.0,9739,40377,2415,17.1,26.3,28.7,14.0,25.6,9.1,22.6,80.8,11.1,0.3,2.0,1.0,4.7,19.6,5502,77.2,13.0,9.6,0.2,6.3
19009,Audubon County,5711,2814,2897,0.4,97.1,0.4,0.0,0.5,0.0,4540,48750,2762,11.1,15.3,29.6,17.3,22.0,14.9,16.1,81.9,8.8,0.6,2.6,1.0,5.2,19.2,2882,73.1,13.6,13.0,0.3,2.7
19011,Benton County,25646,12786,12860,1.4,96.6,0.7,0.1,0.3,0.0,19383,64061,3365,8.7,10.8,31.8,13.3,23.9,11.9,19.2,82.4,8.8,0.1,3.0,0.9,4.8,23.8,13230,80.9,11.1,7.9,0.1,3.6
19013,Black Hawk County,132960,65251,67709,4.2,82.2,8.8,0.2,2.1,0.2,100773,50916,994,15.9,18.2,31.8,18.4,24.3,7.4,18.2,82.1,8.5,0.6,4.1,1.6,3.2,15.7,68771,81.8,13.9,4.2,0.1,5.3
19015,Boone County,26381,13280,13101,2.5,94.6,0.4,0.1,0.4,0.7,20197,57906,3321,9.4,11.5,31.5,17.3,24.3,9.9,17.0,82.2,10.1,0.2,3.2,1.0,3.2,21.4,13803,75.8,19.1,5.0,0.1,4.4
19017,Bremer County,24741,12195,12546,1.4,95.3,0.9,0.2,1.1,0.0,19032,65440,2649,7.7,7.7,37.1,15.4,22.8,9.1,15.5,79.2,7.2,0.4,7.1,0.6,5.5,20.2,12931,80.8,12.2,7.0,0.0,3.6
19019,Buchanan County,21101,10497,10604,1.5,96.4,0.3,0.3,0.6,0.0,15351,59348,3103,7.8,9.1,30.5,16.6,19.8,12.5,20.6,79.1,6.5,0.3,5.7,2.7,5.8,22.4,10412,77.8,13.3,8.8,0.1,3.2
19021,Buena Vista County,20369,10254,10115,25.0,61.4,2.6,0.0,8.9,1.3,12715,52784,1870,13.7,21.5,26.3,17.1,18.0,8.6,29.9,71.6,15.9,0.0,5.3,1.6,5.5,13.9,10658,81.2,9.9,8.7,0.3,4.9
19023,Butler County,14822,7402,7420,1.3,96.8,0.2,0.3,0.4,0.1,11356,53937,1971,9.4,14.1,29.9,14.1,23.9,11.3,20.8,81.3,9.4,0.2,3.0,0.9,5.2,24.0,7431,77.2,11.2,11.3,0.3,3.2
19025,Calhoun County,9814,5080,4734,1.8,94.8,1.8,0.3,0.3,0.0,7731,46302,3680,15.3,21.3,33.3,18.5,19.7,14.0,14.3,82.4,7.6,0.5,2.0,1.5,6.0,20.4,4370,69.9,16.7,13.2,0.1,2.3
19027,Carroll County,20428,10052,10376,2.4,95.3,1.5,0.1,0.2,0.0,15339,54563,2886,10.3,12.8,31.3,15.6,24.4,10.7,18.1,83.4,6.3,0.4,2.3,0.9,6.7,14.0,10592,79.3,10.4,10.1,0.2,2.5
19029,Cass County,13327,6586,6741,2.4,95.8,0.3,0.1,0.5,0.2,10284,45637,3680,15.1,25.1,29.4,16.7,22.4,13.2,18.3,78.0,10.9,0.7,4.8,0.8,4.8,18.4,6544,76.7,12.1,10.7,0.5,2.5
19031,Cedar County,18368,9148,9220,1.9,95.8,0.7,0.2,0.3,0.0,14182,62555,1614,5.4,2.6,34.9,14.2,23.0,11.5,16.4,82.6,6.2,0.3,2.2,1.6,7.2,25.3,9872,72.6,17.4,9.4,0.6,3.0
19033,Cerro Gordo County,43134,21011,22123,4.6,91.2,1.7,0.3,1.1,0.0,33798,50569,2060,11.3,13.4,32.1,16.8,22.5,9.7,19.0,82.6,8.2,0.8,3.5,1.6,3.4,16.3,22051,82.0,11.6,6.2,0.2,4.1
19035,Cherokee County,11577,5804,5773,3.4,94.0,1.0,0.4,0.4,0.0,9046,53998,3616,11.9,18.4,27.7,15.3,23.7,13.6,19.7,83.4,6.7,0.0,1.7,0.4,7.7,16.1,5990,71.4,16.6,11.4,0.6,3.3
19037,Chickasaw County,12140,6053,6087,2.2,96.3,0.4,0.3,0.4,0.0,9149,50688,3491,8.9,11.3,30.4,15.6,18.2,12.8,23.0,78.9,8.4,0.3,4.7,0.7,6.9,19.6,6269,76.0,13.8,9.9,0.3,2.5
19039,Clarke County,9267,4600,4667,12.7,84.6,0.1,0.0,1.0,0.0,6627,49718,3191,15.4,24.0,31.1,16.4,15.9,13.2,23.3,79.0,14.6,0.3,1.7,1.0,3.2,24.3,4610,80.9,11.9,6.8,0.4,4.4
19041,Clay County,16387,8091,8296,3.3,94.0,0.2,0.0,0.5,0.0,12485,48978,4257,11.8,18.1,33.2,13.8,24.4,11.9,16.6,77.4,11.9,0.3,2.1,1.7,6.6,16.3,8247,80.6,10.3,8.8,0.2,3.4
19043,Clayton County,17711,8916,8795,1.9,96.2,1.0,0.1,0.4,0.0,13695,51114,2880,10.4,14.3,27.6,15.6,20.2,13.4,23.1,78.5,8.7,0.4,4.5,1.1,6.8,21.5,9050,74.5,11.3,13.4,0.8,3.0
19045,Clinton County,47587,23289,24298,3.0,91.5,2.6,0.4,0.7,0.0,36207,50295,2832,13.1,17.2,28.6,16.4,22.8,10.6,21.5,82.8,8.2,0.7,2.5,1.3,4.5,19.5,22825,84.1,9.6,6.1,0.2,4.2
19047,Crawford County,17131,8878,8253,27.4,67.5,1.2,0.6,1.9,0.1,10873,51091,3288,18.5,24.1,25.9,12.6,16.0,12.2,33.3,79.2,9.6,0.0,3.5,3.5,4.1,16.3,8112,80.1,11.8,7.9,0.3,6.2
19049,Dallas County,80864,39934,40930,6.1,86.2,1.3,0.1,4.2,0.1,54705,82719,3270,5.4,5.2,51.1,11.4,23.0,5.7,8.8,85.8,7.1,0.2,1.3,0.6,5.0,21.1,44329,83.7,11.9,4.3,0.1,2.4
19051,Davis County,8834,4360,4474,1.3,97.0,0.1,0.0,0.3,0.0,6238,52390,4489,13.7,18.1,35.0,13.4,19.2,16.3,16.0,70.6,14.1,0.1,3.7,5.6,5.9,22.9,3949,69.8,15.0,14.2,1.0,3.5
19053,Decatur County,8105,4074,4031,2.7,93.2,1.7,0.3,0.6,0.2,6251,41042,3857,19.1,23.9,31.0,22.5,19.9,12.8,13.8,66.0,13.7,0.1,11.5,2.2,6.4,24.0,3780,77.2,14.3,7.8,0.6,5.0
19055,Delaware County,17326,8659,8667,1.4,97.0,0.3,0.1,0.3,0.0,13057,60534,3595,9.2,14.2,30.9,13.2,20.9,12.4,22.6,82.0,6.5,0.2,3.0,0.3,8.0,22.6,9345,79.0,10.4,9.9,0.7,2.5
19057,Des Moines County,39876,19534,20342,2.9,88.0,6.0,0.2,0.6,0.0,30397,47524,1795,15.3,23.8,27.8,18.4,23.5,8.9,21.4,82.8,7.3,0.5,3.0,3.2,3.2,15.9,19302,83.4,10.7,5.8,0.0,5.6
