CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
20001,Kansas,Allen County,12752,6318,6434,3.3,90.7,1.5,0.1,0.6,0.1,9728,43031,2171,23011,1282,14.2,18.2,27.5,15.6,20.7,8.6,27.5,80.9,10.7,0.9,3.5,0.7,3.3,17.4,6006,75.3,15.9,8.4,0.4,3.6
20003,Kansas,Anderson County,7840,3849,3991,0.7,95.2,0.2,3.5,0.0,0.0,5849,40986,4317,21887,1627,13.6,21.9,28.4,23.1,17.1,15.0,16.3,77.6,11.8,0.0,2.5,1.4,6.7,24.2,3502,72.3,12.0,14.7,1.0,4.2
20005,Kansas,Atchison County,16466,7957,8509,2.9,88.4,3.1,0.4,0.3,0.1,12474,46640,4084,25494,3458,18.5,24.7,33.0,17.1,24.1,8.0,17.8,76.9,8.6,0.0,7.6,0.8,6.1,19.8,7669,79.4,14.8,5.5,0.3,6.3
20007,Kansas,Barber County,4905,2525,2380,3.2,92.4,0.7,1.5,0.7,0.0,3708,52075,4504,28840,2840,15.9,24.8,29.3,16.0,19.5,16.6,18.6,82.8,8.5,0.0,2.4,1.5,4.8,15.8,2391,69.6,16.8,13.2,0.5,2.5
20009,Kansas,Barton County,27067,13445,13622,14.5,82.0,1.1,0.3,0.1,0.2,19342,46070,3301,26264,1526,15.7,21.7,29.1,17.7,23.4,14.2,15.6,82.2,10.9,0.7,1.8,0.9,3.5,17.9,13580,77.1,15.2,7.5,0.2,4.2
20011,Kansas,Bourbon County,14757,7315,7442,2.5,90.5,3.2,0.7,0.9,0.0,10929,39379,3355,20707,1127,17.6,26.0,29.5,20.1,22.0,10.6,17.7,78.9,9.9,0.1,4.0,1.4,5.6,17.1,6414,78.2,15.4,6.3,0.1,2.2
20013,Kansas,Brown County,9736,4680,5056,4.2,83.4,0.9,7.7,0.6,0.1,7200,46964,2694,24319,1213,13.2,19.4,30.4,21.6,20.3,7.9,19.8,80.8,7.9,0.1,3.7,0.4,7.1,18.2,4589,72.9,15.5,11.5,0.2,3.4
20015,Kansas,Butler County,66260,33449,32811,4.6,89.5,2.1,0.8,1.1,0.0,48321,62324,2317,28478,929,10.8,15.8,40.0,15.2,21.4,11.6,11.8,84.8,7.9,0.1,1.6,1.3,4.2,22.7,31363,77.9,16.0,6.0,0.1,4.5
20017,Kansas,Chase County,2665,1345,1320,4.4,91.6,1.5,0.0,0.0,0.0,2034,42772,4209,24469,2376,12.6,18.1,35.7,12.5,20.5,13.9,17.4,74.1,9.9,1.0,3.2,3.4,8.3,20.9,1156,70.6,21.9,7.5,0.0,4.8
20019,Kansas,Chautauqua County,3425,1778,1647,3.4,86.7,0.4,5.3,0.0,0.0,2696,39531,4615,23621,1778,14.3,21.6,32.6,14.8,15.9,19.3,17.4,75.3,11.4,0.0,7.5,1.1,4.8,19.7,1474,68.0,19.7,12.0,0.2,6.2
