CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
21001,Adair County,19304,9632,9672,1.8,93.4,3.6,0.1,0.1,0.0,15280,36575,3426,21.5,27.1,28.5,15.9,19.7,12.2,23.8,84.5,9.0,0.0,2.6,0.5,3.4,22.2,7988,74.1,15.8,9.9,0.1,6.2
21003,Allen County,20628,10227,10401,1.9,95.4,1.9,0.0,0.2,0.0,15597,40598,2927,20.0,27.9,24.5,16.6,21.8,13.5,23.7,77.9,11.0,0.2,2.5,1.6,6.9,24.1,8443,74.8,13.9,11.3,0.1,7.5
21005,Anderson County,22017,10639,11378,1.7,94.2,2.4,0.0,0.7,0.0,16456,51681,3353,12.0,15.2,31.8,14.7,27.6,9.4,16.6,86.4,10.7,0.0,0.5,0.2,2.1,26.6,10357,69.3,24.1,6.5,0.1,6.3
21007,Ballard County,8152,4077,4075,1.2,93.0,3.9,0.2,0.4,0.0,6321,42988,2753,18.2,29.1,27.7,17.3,23.8,9.9,21.3,89.3,3.8,2.2,0.4,0.8,3.6,23.6,3394,81.4,11.9,6.7,0.0,4.7
21009,Barren County,43418,21123,22295,3.0,90.7,3.9,0.2,0.5,0.0,32469,39658,1505,22.9,33.7,28.4,14.7,21.5,9.8,25.6,80.3,11.7,0.2,1.7,1.0,5.1,20.7,18377,79.0,13.6,7.0,0.4,7.6
21011,Bath County,12189,6012,6177,1.5,95.4,1.0,0.1,0.3,0.0,8988,38763,3975,24.0,31.7,26.3,17.9,17.5,9.2,29.2,82.3,12.4,0.2,1.3,0.4,3.4,25.5,4462,75.1,16.9,7.9,0.1,7.8
21013,Bell County,27469,13385,14084,0.3,94.5,3.3,0.1,0.2,0.0,21558,23558,2343,38.0,49.3,24.6,19.0,22.4,13.7,20.3,75.8,15.6,0.1,2.9,2.6,2.9,20.6,7559,77.8,16.9,5.1,0.1,9.0
21015,Boone County,127682,63122,64560,4.1,88.4,3.0,0.1,2.3,0.0,90254,72731,2787,7.6,10.6,39.4,13.2,27.8,6.7,12.8,84.8,8.1,0.8,0.9,0.9,4.4,24.0,64527,85.6,10.5,3.8,0.1,4.9
21017,Bourbon County,20017,9706,10311,6.7,85.2,7.2,0.0,0.3,0.0,14754,47886,5525,16.6,24.0,29.4,20.2,22.4,12.3,15.7,79.5,9.6,0.5,2.3,2.1,6.0,22.7,9357,77.4,14.9,7.3,0.4,6.9
21019,Boyd County,48486,24180,24306,1.7,93.3,2.4,0.1,0.3,0.0,37927,45543,2616,19.3,27.5,36.3,17.9,23.7,8.9,13.3,82.8,10.9,0.3,3.4,1.1,1.5,21.6,18235,79.5,15.4,4.8,0.3,9.3
21021,Boyle County,29773,14883,14890,3.2,85.9,7.1,0.2,0.8,0.0,23299,43076,3260,15.5,18.7,33.0,18.1,20.3,7.5,21.0,80.4,10.6,0.1,3.8,0.9,4.1,20.5,12386,79.7,14.6,5.6,0.2,4.9
21023,Bracken County,8330,4186,4144,1.6,96.4,0.0,0.2,0.5,0.0,6226,40458,3488,21.4,26.2,27.0,16.3,20.2,16.0,20.4,82.1,10.9,0.1,2.4,0.5,4.0,35.6,3498,76.4,16.4,7.1,0.1,7.6
21025,Breathitt County,13276,6675,6601,0.9,97.0,1.0,0.2,0.2,0.0,10462,25861,2129,36.0,48.3,29.9,23.9,23.1,11.1,12.0,79.3,11.3,0.6,3.0,4.7,1.0,27.7,4012,65.7,26.0,8.1,0.2,11.9
21027,Breckinridge County,19991,10028,9963,1.3,94.7,1.7,0.1,0.4,0.0,15309,44057,4356,17.7,22.0,27.1,15.8,18.2,15.5,23.5,75.4,15.9,1.1,2.0,1.2,4.4,31.6,7757,76.6,15.1,8.2,0.1,9.8
21029,Bullitt County,78622,39131,39491,1.8,94.9,0.6,0.2,0.6,0.1,60463,59917,1921,10.2,12.7,27.3,13.0,26.9,11.1,21.7,85.2,10.0,0.1,0.7,1.0,3.0,28.1,38391,86.4,9.5,4.0,0.2,5.9
21031,Butler County,12735,6405,6330,3.1,95.1,0.4,0.2,0.1,0.0,9714,39362,2505,22.0,36.2,26.8,11.3,21.0,12.7,28.2,82.5,10.2,0.3,0.6,2.0,4.4,26.0,5177,75.6,15.4,8.1,0.9,5.4
21033,Caldwell County,12747,5973,6774,1.3,91.1,6.8,0.0,0.0,0.0,9895,46182,8251,17.5,22.4,29.2,13.2,21.2,11.7,24.7,81.1,9.3,0.5,2.4,5.6,1.2,22.4,5330,75.6,15.2,8.3,0.8,6.9
21035,Calloway County,38616,18594,20022,2.6,89.7,3.7,0.3,1.8,0.1,30271,39269,2306,22.4,24.2,31.1,20.0,24.7,9.5,14.7,77.1,9.8,0.2,7.7,1.6,3.5,16.6,17382,72.7,20.6,6.4,0.3,5.7
21037,Campbell County,91804,45005,46799,1.9,92.4,3.2,0.0,0.9,0.0,71035,57208,2586,14.2,19.2,39.1,15.3,25.8,7.9,11.8,80.9,9.1,2.1,3.1,1.2,3.6,22.4,46154,85.0,11.0,3.9,0.1,5.4
21039,Carlisle County,4890,2378,2512,2.3,94.4,1.6,0.6,0.2,0.0,3791,38860,3262,17.3,30.5,27.9,20.8,23.2,10.6,17.6,84.4,8.1,0.0,0.1,2.1,5.4,26.2,1978,77.5,16.6,5.8,0.2,7.0
21041,Carroll County,10695,5467,5228,6.6,89.1,2.5,0.1,0.3,0.0,7697,43345,3306,27.7,44.8,20.1,17.0,22.2,13.4,27.4,80.4,12.9,0.0,2.7,0.8,3.1,18.5,4460,85.7,10.6,3.6,0.2,10.3
21043,Carter County,27385,13462,13923,0.9,96.8,0.8,0.4,0.1,0.0,21136,35095,2851,21.5,28.3,24.6,19.9,26.5,13.4,15.6,79.6,12.6,0.2,4.2,0.8,2.6,30.3,9584,75.4,18.0,6.5,0.1,10.0
21045,Casey County,15805,7785,8020,2.8,95.0,0.6,0.3,0.3,0.0,12096,33031,2686,26.6,33.3,28.0,14.9,19.9,14.0,23.2,80.2,12.4,0.2,0.7,1.5,5.0,28.9,5769,74.2,17.3,8.2,0.3,7.5
21047,Christian County,72438,38426,34012,7.5,66.3,20.4,0.5,1.3,0.3,51551,41849,1312,19.7,24.9,27.8,20.4,22.2,8.5,21.1,78.2,8.6,0.5,8.9,1.9,1.9,17.3,24118,75.7,17.6,6.6,0.2,8.0
21049,Clark County,35757,17426,18331,2.7,90.5,5.0,0.1,0.5,0.0,27311,51547,2891,15.0,21.2,33.4,15.0,24.0,10.8,16.8,82.4,9.8,0.1,1.8,2.2,3.5,23.1,15907,79.6,15.4,4.9,0.1,6.7
21051,Clay County,20866,11054,9812,2.5,92.6,3.3,0.3,0.0,0.1,16297,24596,2434,39.5,52.2,24.8,21.2,24.7,11.5,17.9,76.9,16.0,0.1,2.6,2.1,2.3,29.5,5762,74.0,22.6,3.2,0.3,9.1
