CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
22001,Acadia Parish,62607,30433,32174,2.4,77.5,17.6,0.1,0.1,0.0,45197,40492,2544,21.5,27.6,27.6,16.9,25.7,15.0,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982,80.0,12.1,7.6,0.3,8.9
22003,Allen Parish,25667,14542,11125,4.9,71.1,19.0,1.8,0.7,0.0,19205,42176,3540,16.6,22.4,29.1,23.1,21.3,15.0,11.5,84.3,9.8,0.7,0.7,2.2,2.3,28.3,8577,72.8,23.8,3.2,0.2,9.4
22005,Ascension Parish,119129,58718,60411,5.3,69.4,21.8,0.0,0.9,0.0,84202,74748,2416,11.7,15.2,37.3,15.0,23.5,11.0,13.1,87.1,7.8,0.1,0.5,1.0,3.6,30.0,57496,80.7,14.1,5.2,0.1,6.3
22007,Assumption Parish,22881,11085,11796,2.8,65.8,29.7,0.6,0.3,0.0,17528,48656,4294,15.7,23.2,26.1,18.6,20.9,18.3,16.1,87.3,8.2,0.2,1.0,1.8,1.5,29.6,9375,81.4,13.9,4.1,0.7,6.9
22009,Avoyelles Parish,41095,20693,20402,1.8,65.3,30.1,1.2,0.1,0.1,31157,36763,2183,23.7,31.7,31.6,24.4,17.4,12.6,14.0,85.2,9.0,0.2,2.0,2.0,1.6,30.2,14753,75.3,19.7,4.9,0.1,7.7
22011,Beauregard Parish,36598,18631,17967,3.7,80.0,12.7,0.6,0.4,0.0,26980,47350,3568,17.3,20.2,29.2,16.2,21.2,18.2,15.3,80.6,12.0,0.3,1.8,3.6,1.6,30.1,14174,76.5,18.2,5.2,0.1,7.4
22013,Bienville Parish,13806,6692,7114,1.7,54.3,41.5,0.1,0.0,0.0,10703,34077,3437,25.3,36.6,30.0,15.8,19.1,13.9,21.2,86.0,8.6,0.2,1.6,0.8,2.8,32.6,5020,68.9,23.4,6.8,0.9,7.4
22015,Bossier Parish,125698,62214,63484,6.5,67.6,21.6,0.5,1.5,0.1,91455,52145,2315,16.4,22.9,37.0,17.5,24.1,11.4,9.9,86.9,7.0,0.3,1.4,1.4,3.0,21.7,54751,76.0,18.8,5.0,0.1,5.8
22017,Caddo Parish,251069,119235,131834,2.8,45.6,48.3,0.4,1.2,0.0,187462,40391,1046,23.4,35.7,33.1,21.5,24.4,8.9,12.0,86.4,7.2,1.8,1.2,1.0,2.4,20.9,105583,81.2,14.1,4.6,0.1,7.0
22019,Calcasieu Parish,198753,96906,101847,3.2,68.2,24.6,0.3,1.4,0.0,146328,48219,1329,16.8,24.3,30.6,21.1,22.5,12.6,13.2,86.1,8.2,0.3,1.5,1.8,2.1,20.5,90318,80.9,14.0,5.0,0.1,6.6
22021,Caldwell Parish,10000,5313,4687,3.1,79.1,16.8,0.6,0.2,0.0,7594,31933,3546,26.2,34.3,23.8,25.4,24.3,14.8,11.7,84.4,7.2,0.0,4.4,2.3,1.7,23.7,3451,69.9,25.4,4.6,0.0,9.4
22023,Cameron Parish,6806,3289,3517,5.5,91.3,2.8,0.0,0.3,0.0,5083,60194,8102,8.7,7.9,24.9,12.0,26.8,17.8,18.5,86.7,8.6,0.2,0.8,2.8,0.9,33.6,3118,76.5,16.3,7.0,0.3,3.0
22025,Catahoula Parish,10044,5359,4685,1.5,66.0,31.9,0.1,0.2,0.0,7790,34470,6967,21.8,31.9,32.0,19.4,20.6,18.2,9.9,91.3,5.7,0.0,1.0,1.5,0.6,23.3,3671,67.0,22.6,10.1,0.4,5.6
22027,Claiborne Parish,16296,9360,6936,1.4,45.6,51.2,0.2,0.0,0.0,13224,26877,1827,29.9,44.8,24.8,21.4,17.7,16.1,20.1,84.7,9.2,0.0,3.8,0.3,2.0,26.2,5311,70.1,22.1,7.4,0.5,9.4
22029,Concordia Parish,20211,10319,9892,1.3,56.9,41.1,0.1,0.2,0.1,15287,30028,4822,31.2,44.7,24.1,21.7,28.7,14.6,10.8,91.4,5.1,0.3,1.2,1.3,0.8,20.2,6768,76.7,16.9,6.4,0.0,9.2
22031,De Soto Parish,27164,13154,14010,2.8,58.2,36.7,1.1,0.2,0.1,20385,41443,2657,26.3,41.3,28.0,17.7,23.0,14.7,16.7,86.2,9.6,0.7,0.9,0.5,2.1,29.2,10301,81.4,15.2,3.3,0.1,10.6
22033,East Baton Rouge Parish,446167,214073,232094,4.0,45.2,45.6,0.1,3.4,0.0,330962,51436,946,19.1,25.8,38.1,18.7,24.4,8.4,10.5,82.9,9.8,1.6,1.8,1.2,2.8,23.6,216397,78.6,16.7,4.5,0.1,6.9
22035,East Carroll Parish,7318,4409,2909,0.5,27.3,71.6,0.0,0.0,0.0,5958,20795,3343,48.2,76.5,32.7,28.0,18.4,10.4,10.4,90.0,7.3,0.0,0.9,0.1,1.7,12.3,1697,74.2,18.2,7.6,0.0,6.9
22037,East Feliciana Parish,19553,10667,8886,1.5,52.9,44.4,0.3,0.2,0.0,15743,46964,4848,17.9,22.8,27.0,22.6,22.2,14.5,13.7,88.1,7.2,0.1,1.8,0.2,2.5,30.6,6920,71.2,24.6,3.9,0.4,6.1
22039,Evangeline Parish,33750,17232,16518,3.4,67.0,27.4,0.1,0.4,0.0,24179,31745,1823,26.4,35.5,27.7,20.1,21.7,15.8,14.7,87.5,6.4,0.0,2.9,1.7,1.4,28.3,11578,78.3,13.8,7.9,0.0,11.9
22041,Franklin Parish,20388,9991,10397,0.2,65.3,33.4,0.0,0.0,0.0,15137,34722,2998,28.8,43.0,25.5,15.2,28.5,17.9,12.9,86.7,5.6,0.2,1.9,2.6,3.0,21.8,7285,75.8,14.1,10.0,0.1,8.8
22043,Grant Parish,22305,12669,9636,4.9,76.6,15.2,1.3,0.2,0.0,16845,40577,2656,20.2,26.1,25.7,20.3,21.6,15.3,17.0,79.0,14.7,0.6,0.7,2.9,2.2,34.5,7248,73.6,21.6,4.7,0.1,7.9
22045,Iberia Parish,73346,35791,37555,4.0,59.2,31.4,0.1,2.8,0.0,52333,44504,2274,20.4,31.0,26.4,19.0,24.9,15.2,14.4,84.2,9.5,0.4,2.2,2.1,1.6,24.2,30316,80.6,12.9,6.5,0.1,11.2
22047,Iberville Parish,33122,16772,16350,2.5,47.7,48.7,0.3,0.1,0.0,25967,47128,4922,19.3,28.9,26.9,22.1,25.1,11.9,13.9,85.2,8.0,0.7,2.3,2.1,1.8,24.9,12825,76.1,19.6,4.2,0.0,7.5
22049,Jackson Parish,15952,8086,7866,1.6,66.9,30.1,0.1,0.5,0.0,12316,36394,3607,25.4,38.0,27.0,20.0,23.6,14.6,14.8,82.0,10.8,0.3,1.2,1.8,4.0,30.1,5664,73.0,20.6,5.8,0.6,6.2
22051,Jefferson Parish,437038,212326,224712,14.3,53.4,26.1,0.3,4.2,0.0,311837,50868,652,16.3,27.2,32.6,19.2,24.4,13.1,10.6,82.0,10.9,1.1,1.6,1.6,2.8,24.0,210435,82.2,11.5,6.1,0.2,5.9
22053,Jefferson Davis Parish,31405,15431,15974,2.3,78.6,16.3,0.7,0.4,0.0,23299,40744,3794,19.6,24.2,27.0,19.3,22.4,17.0,14.3,81.9,11.3,0.0,1.5,3.7,1.6,30.8,12173,75.0,19.0,5.8,0.2,9.1
22055,Lafayette Parish,238230,116361,121869,4.6,66.1,25.6,0.2,1.8,0.0,175619,53950,1431,16.6,21.6,35.7,18.8,24.1,10.8,10.6,83.5,9.1,0.7,1.9,1.8,3.0,24.1,119324,81.6,10.7,7.5,0.2,5.1
22057,Lafourche Parish,98112,48235,49877,4.4,76.9,13.0,2.4,0.8,0.0,73025,52705,1689,16.0,22.0,27.7,15.3,23.3,16.1,17.6,80.6,10.4,0.5,0.9,5.2,2.4,28.0,42975,82.2,12.0,5.7,0.1,7.0
22059,LaSalle Parish,14930,7691,7239,2.8,82.9,12.0,1.3,0.0,0.1,11131,34712,3487,24.8,32.2,29.0,16.8,22.4,22.4,9.4,85.1,7.8,1.1,0.5,3.0,2.5,41.5,4829,75.9,17.8,6.3,0.0,6.1
22061,Lincoln Parish,47536,23206,24330,2.9,53.2,40.4,0.2,1.8,0.0,36487,34424,2465,31.2,30.1,36.3,22.8,22.7,7.0,11.2,81.9,10.1,0.1,3.2,1.6,3.3,19.3,21219,69.8,24.7,5.6,0.0,8.8
22063,Livingston Parish,137096,67159,69937,3.5,88.4,5.9,0.2,0.5,0.0,99751,60456,2138,13.2,16.8,30.4,16.1,24.3,15.0,14.2,87.9,8.2,0.1,0.4,0.7,2.7,33.8,61986,80.3,15.3,4.3,0.1,5.8
22065,Madison Parish,11616,5786,5830,2.0,34.1,63.5,0.1,0.0,0.0,8785,29424,3063,36.4,51.3,25.6,31.1,19.9,10.3,13.1,86.3,6.9,0.1,5.2,1.0,0.5,13.0,3767,72.3,22.7,4.9,0.2,12.3
22067,Morehouse Parish,26290,12505,13785,1.3,49.5,47.9,0.1,0.4,0.0,19744,31672,1947,27.6,40.2,24.7,18.6,22.7,14.2,19.8,89.7,7.7,0.1,0.7,1.1,0.8,23.2,9422,85.4,10.3,4.1,0.3,6.1
22069,Natchitoches Parish,39051,18610,20441,2.2,52.7,40.9,1.1,0.7,0.0,29497,29001,1903,31.9,40.2,27.7,17.3,23.4,10.5,21.0,84.3,10.3,0.5,2.0,1.3,1.7,22.9,12941,76.7,19.6,3.7,0.0,13.6
22071,Orleans Parish,388182,185063,203119,5.5,30.6,59.1,0.1,2.9,0.0,297411,38721,991,25.4,38.3,42.3,22.4,20.4,6.4,8.5,68.5,9.2,7.6,5.0,4.9,4.9,23.8,178016,79.3,13.8,6.8,0.1,8.7
22073,Ouachita Parish,156433,75019,81414,2.2,58.3,37.4,0.2,1.0,0.0,115331,40081,1071,24.5,36.0,33.8,18.8,26.7,9.0,11.7,85.6,9.1,1.1,0.9,1.1,2.2,19.9,64288,80.9,14.7,4.3,0.1,7.0
22075,Plaquemines Parish,23394,11393,12001,6.7,65.2,20.6,0.8,3.3,0.0,16662,49635,4704,19.3,21.8,32.4,18.4,18.9,18.0,12.3,84.2,10.9,0.2,2.2,1.1,1.4,25.8,9849,74.8,18.4,6.5,0.3,3.0
22077,Pointe Coupee Parish,22271,10692,11579,2.5,60.4,35.4,0.3,0.2,0.0,16980,43964,3897,17.5,25.0,22.6,21.1,26.6,16.3,13.3,80.4,8.9,0.9,2.7,4.5,2.7,29.1,9422,78.4,15.9,5.0,0.7,8.3
22079,Rapides Parish,132080,63888,68192,3.0,61.4,31.9,0.6,1.6,0.0,96874,42655,1524,19.5,27.1,32.4,22.3,23.1,10.2,12.0,82.2,9.7,1.7,1.8,2.3,2.3,22.5,53417,74.3,20.9,4.5,0.3,7.7
22081,Red River Parish,8723,4192,4531,1.9,57.0,37.5,0.4,0.0,0.0,6568,41510,6776,20.4,23.6,27.0,19.0,20.4,18.7,15.0,82.8,6.9,0.3,0.7,4.1,5.2,33.9,3366,76.0,20.1,3.9,0.0,4.7
22083,Richland Parish,20619,10028,10591,2.1,60.5,35.8,0.0,0.5,0.0,15572,34745,4692,28.2,43.4,24.8,24.6,23.5,14.5,12.7,87.9,8.7,0.2,0.9,1.2,1.0,20.8,8098,81.0,15.8,3.1,0.1,7.0
22085,Sabine Parish,24145,11997,12148,3.8,68.1,16.5,7.5,0.4,0.0,18163,40695,2615,19.6,26.1,29.0,16.3,19.6,18.5,16.6,79.3,11.6,0.3,3.0,3.1,2.7,32.1,8598,82.5,12.5,4.6,0.4,9.5
22087,St. Bernard Parish,45067,22256,22811,9.9,63.5,22.0,0.3,2.3,0.0,31681,45265,2007,19.7,27.2,25.6,20.7,22.6,17.5,13.5,87.0,7.9,1.1,1.0,1.5,1.4,27.0,18382,76.3,14.5,9.1,0.1,10.7
22089,St. Charles Parish,52728,25901,26827,5.8,65.5,26.4,0.3,1.1,0.0,38740,64707,2777,12.2,15.3,33.4,15.9,25.0,12.2,13.5,87.8,6.9,0.0,0.9,1.7,2.7,27.0,24457,80.8,13.6,5.6,0.0,7.3
22091,St. Helena Parish,10509,5093,5416,0.2,44.1,54.0,0.8,0.2,0.0,8133,35254,5942,26.4,38.2,29.1,19.5,19.9,18.6,12.9,82.5,8.3,0.5,1.6,0.9,6.2,38.5,3652,77.2,16.6,5.7,0.5,15.7
22093,St. James Parish,21485,10340,11145,1.6,48.0,49.6,0.0,0.2,0.0,16386,52055,4958,15.6,25.5,22.3,19.3,23.0,14.3,21.2,84.8,9.7,0.6,1.9,1.9,1.2,27.0,9193,83.2,12.7,3.7,0.3,8.2
22095,St. John the Baptist Parish,43565,21285,22280,5.8,36.4,55.4,0.0,0.9,0.0,31950,53628,2953,17.9,25.7,28.9,16.5,25.0,11.8,17.8,88.0,7.6,0.3,0.8,1.7,1.6,28.5,19280,83.4,12.4,4.1,0.1,7.3
22097,St. Landry Parish,83580,40144,43436,2.0,54.6,41.0,0.1,0.3,0.0,60279,32163,1363,27.9,42.0,28.6,19.6,25.5,12.8,13.6,85.4,9.1,0.2,1.2,0.9,3.3,26.4,30554,78.6,15.2,6.1,0.1,5.5
22099,St. Martin Parish,53609,26445,27164,2.8,64.4,29.3,0.4,1.0,0.0,39790,47279,3779,17.7,27.8,26.2,18.7,23.1,15.0,17.1,82.4,13.1,0.4,1.2,1.3,1.7,27.2,23899,81.0,12.7,6.0,0.4,6.4
22101,St. Mary Parish,52578,26153,26425,6.8,56.1,30.9,1.1,1.4,0.0,38237,41345,1496,19.5,26.1,22.6,20.1,22.3,11.9,23.1,83.8,9.4,0.3,2.4,2.6,1.5,21.3,21085,82.2,13.8,4.0,0.0,8.5
22103,St. Tammany Parish,249201,121268,127933,5.4,79.1,11.6,0.5,1.5,0.0,184173,66539,1488,10.8,13.4,39.4,16.4,26.0,9.9,8.4,82.3,10.3,0.2,0.9,2.1,4.3,31.0,115543,79.7,13.4,6.6,0.2,6.4
22105,Tangipahoa Parish,128850,62548,66302,4.1,63.5,29.4,0.3,0.7,0.0,95348,45901,2690,21.9,31.7,29.0,19.2,26.0,12.1,13.7,78.7,14.6,0.4,1.5,1.6,3.2,31.3,55791,79.4,15.1,5.4,0.1,8.9
22107,Tensas Parish,4771,2322,2449,1.8,42.3,55.4,0.0,0.1,0.0,3597,21906,2773,38.0,54.2,27.9,25.8,15.1,18.8,12.4,88.9,4.4,0.5,2.1,2.5,1.6,24.1,1506,67.1,27.0,5.9,0.0,15.3
22109,Terrebonne Parish,113067,55794,57273,5.0,67.1,19.2,5.4,0.9,0.1,81842,47650,2206,20.1,26.6,26.8,17.7,23.6,14.9,17.0,81.1,10.5,0.3,1.2,3.5,3.4,22.7,47254,82.4,11.4,6.1,0.1,6.1
