CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
23001,Androscoggin County,107317,52550,54767,1.8,91.1,1.6,0.2,0.8,0.0,82714,49538,1293,14.3,19.8,33.2,19.3,23.5,9.8,14.1,78.8,11.2,0.2,4.0,1.7,4.1,24.2,53532,82.1,11.2,6.5,0.1,5.2
23003,Aroostook County,68840,34006,34834,1.1,94.5,0.9,1.7,0.4,0.0,54948,39021,1177,17.5,22.1,31.6,18.6,22.3,12.9,14.8,80.1,9.8,0.1,4.2,1.6,4.3,17.6,30233,75.0,16.4,8.4,0.2,5.3
23005,Cumberland County,289173,140510,148663,2.0,90.7,2.8,0.2,2.1,0.0,226819,65702,1115,10.7,12.7,45.1,16.2,23.8,7.1,7.8,76.7,8.2,1.4,4.9,1.8,7.0,22.9,157303,81.8,10.4,7.7,0.1,4.0
23007,Franklin County,30177,14739,15438,1.3,95.8,0.3,0.4,0.5,0.1,24418,45541,2739,12.4,13.5,32.0,20.4,22.3,12.7,12.5,76.0,10.4,0.4,6.1,1.2,6.0,23.7,14426,74.3,15.5,10.0,0.2,6.1
23009,Hancock County,54468,26394,28074,1.3,95.1,0.8,0.4,1.0,0.1,44004,51438,1931,11.6,14.9,34.0,20.8,20.7,15.3,9.1,73.6,12.6,0.7,5.2,1.4,6.5,23.1,26527,72.5,12.6,14.8,0.1,5.7
23011,Kennebec County,121289,59175,62114,1.5,94.9,0.8,0.6,0.9,0.0,96094,50116,1664,14.1,20.1,37.1,17.8,25.5,9.9,9.8,80.1,9.3,0.2,4.4,1.1,4.8,23.4,58332,73.1,19.7,7.1,0.1,5.7
23013,Knox County,39700,19601,20099,1.3,95.6,0.6,0.4,0.6,0.0,31959,53117,2506,11.6,14.9,33.6,17.2,23.9,15.3,10.0,76.8,9.8,0.3,4.8,1.8,6.6,17.4,19568,73.0,12.3,14.7,0.1,4.7
23015,Lincoln County,34021,16599,17422,1.1,96.2,0.3,0.5,0.9,0.0,27877,54041,2895,11.8,16.2,34.5,19.7,19.1,15.6,11.0,76.8,10.4,0.6,3.3,1.8,7.0,24.8,16588,73.4,12.5,14.1,0.1,3.4
23017,Oxford County,57230,28290,28940,1.2,95.6,0.3,0.3,0.6,0.0,45561,44582,1758,15.2,22.1,27.7,20.8,20.8,14.6,16.0,81.4,10.0,0.2,2.3,1.0,5.0,28.4,25524,77.8,12.1,9.8,0.2,6.3
23019,Penobscot County,152284,75404,76880,1.3,94.0,0.8,1.0,1.0,0.0,121923,47886,1189,15.9,19.2,35.5,20.2,24.5,9.9,10.0,79.7,10.8,0.6,3.4,1.4,4.1,22.5,72746,78.2,15.5,6.2,0.1,6.5
23021,Piscataquis County,16960,8452,8508,1.4,95.4,0.4,0.7,0.6,0.0,13863,38797,2314,18.7,26.5,29.3,18.9,17.7,13.4,20.7,80.0,8.9,0.2,3.6,1.3,6.0,25.4,6545,75.7,14.7,9.5,0.1,7.8
23023,Sagadahoc County,35149,16942,18207,1.6,94.9,0.7,0.1,0.6,0.0,28104,60457,2953,11.3,19.8,36.8,17.9,21.6,12.7,10.9,80.1,9.0,0.1,3.9,1.2,5.7,22.9,18266,76.9,14.3,8.8,0.0,4.1
23025,Somerset County,50994,25180,25814,1.0,96.0,0.4,0.4,0.3,0.0,40507,41549,1522,17.8,26.0,27.4,18.5,22.8,14.5,16.9,82.4,9.2,0.1,2.3,1.9,4.2,24.4,22217,79.7,12.5,7.8,0.1,8.8
23027,Waldo County,39280,19269,20011,1.2,95.8,0.5,0.3,0.4,0.0,31212,50162,2047,14.3,18.7,35.9,17.5,21.8,12.6,12.1,75.9,10.6,0.4,3.9,1.3,7.9,26.4,18698,72.8,13.8,13.2,0.1,6.5
23029,Washington County,31822,15714,16108,1.9,90.1,0.4,4.7,0.5,0.0,25304,40328,1454,18.2,23.2,28.9,19.8,18.1,18.7,14.5,73.6,13.2,0.3,5.1,1.4,6.3,20.9,12881,65.4,18.6,15.9,0.2,7.9
23031,York County,201454,98215,103239,1.6,94.6,0.8,0.4,1.2,0.0,159823,62618,1559,8.5,9.9,35.6,18.2,23.7,10.0,12.5,80.1,9.5,0.7,2.4,1.6,5.7,28.0,105307,77.5,14.5,7.9,0.1,4.8
