CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
24001,Allegany County,72591,37892,34699,1.7,87.3,8.0,0.2,0.8,0.0,58846,42771,1485,683,16.8,22.9,29.9,23.4,24.8,8.8,13.1,82.5,9.7,0.5,4.4,1.2,1.7,20.9,28738,73.6,22.6,3.7,0.0,9.0
24003,Anne Arundel County,564600,279581,285019,7.3,69.6,15.9,0.1,3.6,0.1,418118,94502,1251,544,6.1,7.4,47.0,15.4,23.0,7.5,7.1,80.1,7.5,3.6,2.3,1.4,5.1,30.2,290628,72.2,23.3,4.4,0.1,5.2
24005,Baltimore County,828637,392930,435707,5.1,58.7,27.5,0.2,5.9,0.0,607614,71810,964,448,9.1,11.5,43.4,16.6,24.4,7.0,8.6,79.2,8.7,4.8,1.8,1.5,4.0,29.5,420974,77.2,17.8,4.8,0.2,5.5
24009,Calvert County,90824,45184,45640,3.6,78.8,11.7,0.2,1.6,0.0,68233,100350,4007,1123,5.7,5.5,41.0,15.0,23.0,13.0,8.1,81.7,8.4,3.0,0.7,0.9,5.3,41.9,45756,67.1,28.1,4.7,0.1,7.3
24011,Caroline County,32785,15971,16814,6.9,76.3,13.2,0.1,0.6,0.0,24049,52469,2494,918,16.5,25.6,27.6,21.5,22.0,16.8,12.2,83.7,8.6,0.9,2.4,1.7,2.6,32.1,15674,75.1,16.8,8.0,0.1,6.5
24013,Carroll County,167319,82784,84535,3.2,89.8,3.3,0.2,1.7,0.0,127833,90510,1770,900,5.5,6.9,44.0,15.5,22.3,10.6,7.7,85.5,6.9,0.8,1.4,0.7,4.7,35.6,88335,76.5,18.7,4.8,0.0,4.0
24015,Cecil County,102416,50878,51538,4.1,85.8,6.4,0.3,1.4,0.0,77244,70516,2476,921,9.4,12.8,35.2,16.3,21.5,12.9,14.1,82.9,8.4,1.2,1.6,1.4,4.6,29.3,50620,78.6,17.1,4.2,0.1,5.8
24017,Charles County,156021,75368,80653,5.4,43.1,42.8,0.6,3.1,0.1,114231,93973,2130,786,6.9,9.5,42.2,17.0,24.7,8.6,7.4,81.4,7.3,5.8,1.1,0.6,3.7,43.9,78635,65.7,30.9,3.2,0.2,4.5
24019,Dorchester County,32386,15476,16910,5.0,63.8,26.8,0.1,1.0,0.0,24851,50532,3733,1879,15.4,25.7,31.8,20.0,23.4,10.2,14.6,78.4,14.9,0.8,2.1,1.3,2.6,26.3,15240,73.3,19.6,6.9,0.2,8.3
24021,Frederick County,246105,121305,124800,8.8,74.8,8.8,0.2,4.5,0.1,176511,88502,1557,564,7.2,9.1,46.1,15.5,22.3,8.8,7.4,78.1,9.6,2.9,2.1,1.2,6.1,35.0,130387,73.9,20.6,5.3,0.2,5.1
