CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
25001,Barnstable County,213900,102152,111748,2.7,90.2,2.7,0.4,1.5,0.1,173782,68048,1279,7.5,11.7,37.9,21.2,23.4,10.6,7.0,81.1,7.2,1.3,2.5,1.5,6.3,23.3,104246,75.1,12.6,12.1,0.2,5.5
25003,Berkshire County,127751,61741,66010,4.3,89.0,2.6,0.2,1.6,0.0,102107,55190,1350,11.3,15.0,37.7,21.5,23.0,8.9,8.9,77.8,7.9,1.4,6.0,1.4,5.6,20.0,63947,78.9,12.9,8.0,0.2,6.8
25005,Bristol County,557016,269719,287297,7.3,82.8,3.5,0.0,2.2,0.0,416441,62514,883,12.2,17.3,36.2,18.8,23.2,9.5,12.3,81.8,8.6,2.8,2.5,0.9,3.4,28.0,278538,82.2,12.9,4.8,0.1,6.9
25007,Dukes County,17275,8282,8993,1.6,87.0,3.7,1.6,0.3,0.0,13333,67535,8612,8.4,13.4,45.2,16.3,17.0,11.1,10.4,73.6,4.9,4.0,5.2,4.1,8.2,14.6,9172,61.7,15.2,22.6,0.4,3.0
25009,Essex County,775860,373886,401974,19.6,72.0,3.1,0.1,3.4,0.0,555798,73533,773,10.9,15.4,41.2,18.7,22.5,7.0,10.6,74.2,8.5,5.9,3.3,2.4,5.7,29.8,397621,82.0,11.7,6.1,0.2,6.0
25011,Franklin County,70926,34663,36263,3.8,91.2,1.2,0.2,1.5,0.1,56595,57307,2221,10.9,14.9,41.5,18.6,20.2,8.9,10.7,76.8,9.5,1.8,4.2,1.1,6.6,24.2,36953,71.9,17.6,10.2,0.3,5.8
25013,Hampden County,469188,226391,242797,23.9,64.1,7.8,0.1,2.2,0.0,350837,52205,1036,17.2,26.7,34.2,21.1,24.0,7.6,13.0,82.2,8.0,2.0,3.0,1.3,3.6,22.6,215324,80.1,14.9,4.9,0.1,8.0
25015,Hampshire County,161197,75492,85705,5.4,84.2,2.8,0.1,5.3,0.0,129998,64974,1932,13.8,12.3,45.7,19.2,21.4,6.6,7.1,71.4,6.8,3.2,9.2,2.0,7.4,23.2,84348,72.5,20.1,7.3,0.1,6.5
25017,Middlesex County,1582857,773112,809745,7.7,73.3,4.8,0.1,11.2,0.0,1110166,92878,735,8.2,9.3,55.0,14.3,19.1,5.3,6.3,68.1,6.9,12.1,5.0,2.4,5.6,30.3,862873,82.9,10.7,6.2,0.1,4.8
25019,Nantucket County,10912,5804,5108,8.6,73.8,8.0,0.6,2.4,0.1,7695,91942,11350,11.2,22.4,32.3,15.8,26.5,18.5,7.0,67.0,8.6,1.6,12.3,5.2,5.3,12.1,6408,71.2,14.5,14.4,0.0,3.8
25021,Norfolk County,694389,333237,361152,4.2,76.7,6.3,0.1,10.3,0.0,501784,95668,1134,6.5,6.7,52.8,14.0,21.6,5.6,6.0,68.5,7.1,14.4,3.6,1.5,4.9,33.9,367385,83.2,11.1,5.5,0.1,5.5
25023,Plymouth County,509114,247788,261326,3.7,81.9,8.8,0.1,1.2,0.0,379673,82081,1195,8.0,11.0,38.8,19.2,24.6,8.2,9.2,80.4,7.0,5.7,1.4,1.0,4.5,33.0,261653,81.5,13.0,5.5,0.1,6.0
25025,Suffolk County,780685,377572,403113,22.3,45.5,20.2,0.2,8.6,0.0,533762,61242,825,19.6,28.2,45.5,21.9,20.4,4.9,7.3,41.0,6.5,32.7,13.3,3.4,3.1,30.7,423215,85.3,10.7,3.9,0.1,7.1
25027,Worcester County,818249,403587,414662,10.8,77.9,4.3,0.2,4.7,0.0,599698,69313,924,11.1,14.3,41.7,17.3,22.5,7.6,10.9,80.7,8.4,1.7,2.7,1.5,5.1,28.7,413989,81.5,12.9,5.3,0.2,6.1
