CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
26001,Alcona County,10413,5247,5166,1.4,96.0,0.3,0.5,0.4,0.0,8984,39424,1705,1059,14.9,21.7,23.5,20.9,22.9,13.2,19.6,80.8,9.6,0.2,1.8,2.3,5.3,24.0,3357,78.3,14.0,7.5,0.2,9.3
26003,Alger County,9254,5088,4166,1.4,84.2,7.2,3.3,0.1,0.0,7779,42647,5475,1475,13.0,16.6,27.9,23.2,23.1,8.1,17.7,72.9,11.1,2.0,4.3,1.8,8.0,21.3,3160,77.1,17.6,5.3,0.0,6.9
26005,Allegan County,114145,56997,57148,7.2,88.7,1.3,0.5,0.6,0.0,84358,58487,1264,539,10.8,14.3,30.3,14.7,20.1,12.4,22.5,86.0,7.6,0.3,1.4,0.7,4.1,23.9,54028,86.3,7.7,5.9,0.2,3.6
26007,Alpena County,28730,14169,14561,1.3,96.0,0.5,0.4,0.4,0.1,23062,40954,1521,751,15.0,19.1,29.5,19.8,26.1,10.0,14.6,82.9,8.4,0.7,2.7,1.2,3.9,16.9,12665,83.0,10.4,6.4,0.2,6.4
26009,Antrim County,23133,11479,11654,2.1,95.0,0.3,0.8,0.3,0.0,18589,50988,1365,1193,12.6,20.5,27.5,21.6,22.5,10.8,17.7,74.7,14.5,0.7,1.9,1.0,7.3,25.0,9771,79.6,9.9,10.3,0.2,6.1
26011,Arenac County,15238,7714,7524,2.0,94.9,0.5,1.3,0.4,0.0,12396,39947,1456,784,18.5,29.2,25.6,21.1,22.0,11.6,19.7,83.6,8.2,0.7,3.1,1.5,3.0,27.2,5842,82.6,10.2,7.0,0.3,9.6
26013,Baraga County,8580,5112,3468,1.5,73.1,15.8,4.7,0.5,0.0,6953,42757,2418,1634,14.4,22.9,25.8,22.5,24.1,10.1,17.5,83.2,8.5,0.0,3.5,0.9,4.0,19.0,2485,77.6,16.6,5.4,0.4,6.0
26015,Barry County,59607,29958,29649,2.7,94.6,0.4,0.2,0.5,0.0,45486,57312,1893,966,9.3,12.4,29.0,16.4,22.6,12.5,19.5,84.8,7.6,0.2,2.5,0.8,4.2,28.4,27877,84.4,9.4,6.1,0.1,6.2
26017,Bay County,105350,51875,53475,5.2,90.4,1.5,0.2,0.6,0.0,82835,45983,1430,636,16.3,24.3,29.4,20.4,25.0,8.8,16.4,86.2,7.6,0.7,1.4,0.9,3.2,22.1,46195,83.8,10.6,5.5,0.1,7.4
26019,Benzie County,17462,8694,8768,2.4,93.9,0.3,1.4,0.4,0.0,14050,53185,3219,847,10.0,12.8,31.0,20.5,22.9,13.4,12.2,75.9,13.4,1.2,1.8,1.5,6.1,26.2,7679,78.1,14.8,6.9,0.2,6.5
26021,Berrien County,154948,75835,79113,5.2,75.1,14.6,0.3,1.9,0.0,115590,47132,1298,645,17.2,26.2,34.2,18.5,22.3,9.0,16.0,82.0,8.6,0.6,2.7,1.7,4.5,19.3,70439,84.9,9.0,5.9,0.2,7.3
26023,Branch County,43543,22517,21026,4.5,90.9,2.3,0.3,0.5,0.0,32719,48192,1961,575,15.9,25.8,22.8,18.4,22.1,10.3,26.5,83.7,8.9,0.4,1.3,1.4,4.3,22.5,18861,82.7,10.5,6.6,0.2,4.6
26025,Calhoun County,134327,65652,68675,5.0,78.3,10.6,0.6,2.1,0.0,100589,46213,1008,511,17.4,26.3,29.0,19.6,21.4,7.5,22.5,82.2,9.7,0.7,3.1,1.0,3.2,20.2,58179,82.5,12.4,4.9,0.1,7.4
26027,Cass County,51397,25861,25536,3.7,86.4,4.8,1.1,0.8,0.0,40105,50699,1402,1072,13.6,19.4,28.6,15.0,21.0,11.6,23.7,83.2,9.6,0.1,1.5,1.1,4.6,25.1,23277,85.9,8.7,5.3,0.1,7.8
26029,Charlevoix County,26160,12868,13292,1.8,94.0,0.4,1.2,0.4,0.1,20708,51567,2026,1513,11.6,16.4,30.7,19.9,23.1,10.4,15.9,79.0,11.2,0.9,2.4,0.8,5.7,20.4,11902,81.6,9.4,8.6,0.4,6.2
26031,Cheboygan County,25475,12680,12795,1.3,92.2,0.8,2.0,0.4,0.0,20913,42876,2289,907,16.8,28.2,26.8,21.1,24.4,13.9,13.8,81.3,10.8,1.0,1.4,1.3,4.3,26.8,10443,80.2,12.0,7.5,0.4,10.7
26033,Chippewa County,38023,20948,17075,1.8,70.1,6.4,13.9,1.0,0.1,30374,44030,1729,957,17.1,24.4,29.1,27.0,23.5,7.6,12.7,77.4,11.7,0.8,5.1,1.4,3.6,16.8,14986,65.8,26.7,7.0,0.6,9.0
26035,Clare County,30597,15148,15449,1.9,95.1,0.5,0.5,0.3,0.0,24405,35913,1933,952,23.6,37.9,25.1,21.6,22.6,12.4,18.3,79.5,9.4,1.1,2.5,1.7,5.9,28.0,10985,79.7,10.5,9.3,0.5,11.5
