CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
27001,Minnesota,Aitkin County,15841,8079,7762,1.3,94.1,0.5,2.2,0.4,0.0,13155,45860,1405,26883,743,12.1,15.9,30.7,19.9,23.1,13.2,13.0,79.4,9.1,0.5,4.1,1.5,5.4,26.0,6274,75.8,15.7,8.4,0.1,6.2
27003,Minnesota,Anoka County,344861,172482,172379,4.2,82.7,5.5,0.5,4.2,0.0,251328,76796,917,34321,453,6.6,9.3,36.6,15.9,24.2,9.0,14.2,82.2,7.8,3.4,1.0,1.0,4.5,28.1,187986,84.5,11.0,4.3,0.1,4.2
27005,Minnesota,Becker County,33552,16672,16880,1.9,86.6,0.5,7.4,0.6,0.0,24981,55884,2108,28525,860,12.7,17.1,32.8,17.7,18.8,13.8,16.8,78.9,8.9,0.5,3.2,1.3,7.2,22.4,16143,75.1,16.0,8.7,0.2,3.6
27007,Minnesota,Beltrami County,45847,22775,23072,2.2,72.5,0.9,20.4,0.8,0.1,33902,45923,1753,23748,981,19.0,24.0,33.7,22.0,23.4,10.3,10.6,75.6,11.1,2.1,3.7,1.3,6.1,19.8,20931,67.8,25.5,6.5,0.2,8.7
27009,Minnesota,Benton County,39360,19652,19708,2.2,91.5,2.8,0.3,1.1,0.0,28857,53574,2425,27018,844,14.1,17.9,31.1,17.2,22.9,9.8,19.0,82.7,8.3,1.3,1.9,1.8,4.1,23.1,20468,82.7,11.6,5.4,0.3,4.2
27011,Minnesota,Big Stone County,5039,2489,2550,1.4,98.0,0.3,0.0,0.0,0.0,3966,48299,3265,29035,1551,11.7,15.8,31.7,13.2,23.2,16.2,15.6,77.3,9.9,0.4,4.3,0.6,7.5,17.5,2388,70.7,17.0,11.9,0.3,2.8
27013,Minnesota,Blue Earth County,65767,33054,32713,3.2,88.9,3.3,0.3,2.1,0.0,51071,53752,1543,28283,675,18.1,11.8,33.7,19.9,23.7,8.0,14.7,80.9,7.6,1.5,4.0,1.1,5.0,17.3,37072,81.0,13.5,5.4,0.1,4.5
27015,Minnesota,Brown County,25243,12550,12693,4.1,93.9,0.3,0.1,0.7,0.1,19442,55764,1955,29696,1334,8.1,11.1,30.1,17.2,21.2,11.4,20.0,79.5,6.8,0.5,5.0,1.2,7.0,15.1,13588,82.1,9.4,8.4,0.2,2.3
27017,Minnesota,Carlton County,35408,18500,16908,1.7,88.3,1.6,5.3,0.5,0.0,27167,58874,2894,26900,886,12.1,13.5,31.3,23.1,19.9,9.8,16.0,82.6,9.5,0.1,2.0,0.8,4.9,22.2,16758,72.8,21.1,5.9,0.2,3.9
27019,Minnesota,Carver County,98799,49086,49713,4.1,89.6,1.5,0.2,2.5,0.0,69628,93095,2193,44212,1682,4.0,3.3,46.5,14.3,24.2,6.1,8.9,82.5,7.0,2.0,1.2,0.9,6.4,26.3,55757,85.5,9.1,5.2,0.1,2.4
27021,Minnesota,Cass County,28810,14698,14112,2.0,83.3,0.4,10.9,0.6,0.0,22555,50162,1142,28004,618,15.3,27.3,29.2,20.1,24.3,13.2,13.2,76.6,10.2,0.8,2.6,1.8,8.0,23.8,12264,72.7,17.1,9.7,0.5,5.7
27023,Minnesota,Chippewa County,12040,5994,6046,6.3,88.8,0.6,1.4,0.7,1.0,8897,57601,5017,29354,1772,11.1,17.5,32.1,20.0,18.6,12.0,17.3,79.4,8.5,1.0,3.3,0.9,6.9,15.3,6270,77.4,14.3,8.1,0.3,2.0
27025,Minnesota,Chisago County,54297,28102,26195,2.0,93.8,1.3,0.4,1.0,0.0,41208,76747,1966,32105,809,5.4,4.9,34.0,17.3,22.9,12.7,13.2,82.2,8.0,1.6,1.5,1.2,5.5,32.8,28244,82.2,12.0,5.7,0.1,4.2
27027,Minnesota,Clay County,62040,30613,31427,4.3,88.5,2.5,1.3,1.1,0.0,46089,61409,1749,28122,692,12.5,13.1,36.1,18.2,24.6,9.2,11.8,79.1,8.1,1.0,4.0,1.5,6.3,18.9,33502,79.6,14.6,5.5,0.2,2.8
27029,Minnesota,Clearwater County,8824,4485,4339,2.0,85.0,0.4,8.4,0.4,0.1,6585,45638,2019,24515,1048,17.9,25.2,27.4,18.2,17.6,19.1,17.8,76.8,12.9,0.8,2.7,1.0,5.7,25.8,3667,72.9,17.5,9.4,0.3,7.3
27031,Minnesota,Cook County,5270,2609,2661,2.1,86.1,0.5,8.2,0.8,0.0,4258,51903,3714,31831,2251,13.0,15.1,39.4,24.8,17.3,11.7,6.9,68.6,9.0,1.3,11.2,3.2,6.7,15.9,2636,64.8,25.8,9.1,0.3,2.6
27033,Minnesota,Cottonwood County,11437,5660,5777,7.1,87.1,0.6,0.5,2.8,0.3,8312,50524,2661,27206,1357,15.6,18.7,28.9,16.8,17.6,13.4,23.3,76.7,11.2,0.7,4.1,1.4,5.9,16.8,5365,79.0,11.9,9.0,0.1,5.1
27035,Minnesota,Crow Wing County,63505,31769,31736,1.4,95.1,0.6,1.0,0.4,0.0,49153,53121,1367,30013,1015,9.6,11.1,32.9,20.3,24.1,10.0,12.8,83.3,8.0,0.4,1.5,1.6,5.2,21.4,30124,81.2,12.0,6.8,0.1,3.5
27037,Minnesota,Dakota County,414655,204016,210639,6.8,79.7,5.6,0.2,4.7,0.0,296543,79995,1173,38863,382,6.9,9.2,42.4,15.3,24.7,6.2,11.3,81.2,8.3,3.3,1.1,1.0,5.0,24.3,231109,84.3,11.5,4.1,0.1,4.0
