CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
28001,Adams County,31583,15680,15903,8.4,36.9,52.8,0.2,0.6,0.0,22394,30359,1438,34.2,56.9,30.5,20.6,23.6,13.0,12.3,87.2,6.5,0.7,0.6,1.2,3.7,18.9,10190,75.2,18.2,6.4,0.1,10.9
28003,Alcorn County,37242,18345,18897,3.0,83.2,11.7,0.0,0.3,0.0,27984,38919,1799,19.6,24.1,29.2,14.9,22.8,10.6,22.5,85.9,10.6,0.3,1.0,0.5,1.7,22.4,14884,81.1,13.9,5.0,0.1,8.6
28005,Amite County,12574,6133,6441,0.2,57.3,42.0,0.0,0.3,0.0,9902,30129,3714,22.8,29.5,24.4,19.2,16.5,19.2,20.6,81.2,12.1,2.2,0.4,1.4,2.7,37.1,4550,71.8,17.3,10.2,0.7,10.8
28007,Attala County,18731,8860,9871,2.0,54.0,42.2,0.1,0.4,0.0,13839,33815,1867,22.6,29.4,26.1,18.5,19.6,13.7,22.2,80.1,13.7,0.4,1.0,3.9,0.9,28.3,6776,73.2,22.2,4.7,0.0,10.3
28009,Benton County,8306,4257,4049,2.5,60.2,36.6,0.0,0.0,0.0,6412,40605,5982,20.2,15.4,24.4,12.1,20.9,11.7,30.9,88.2,6.9,0.0,0.5,2.3,2.1,30.5,2923,83.0,11.6,5.4,0.0,13.7
28011,Bolivar County,33121,15613,17508,2.1,32.4,64.2,0.3,0.9,0.0,24533,28468,2121,37.4,51.7,31.1,22.3,22.7,10.0,13.9,82.7,11.2,0.2,2.2,1.0,2.6,18.0,11228,66.6,27.0,6.2,0.1,12.6
28013,Calhoun County,14617,6994,7623,5.7,65.0,27.2,0.0,0.2,0.3,10814,33370,2074,26.9,42.0,21.4,13.8,17.7,13.8,33.3,86.5,9.0,0.5,0.9,1.3,1.8,25.1,5260,82.3,10.6,7.0,0.1,8.4
28015,Carroll County,10221,5157,5064,0.5,64.3,33.5,0.1,0.7,0.0,8170,43068,5973,14.0,20.2,33.9,12.4,20.3,14.7,18.6,92.6,4.5,0.0,1.3,0.0,1.6,28.8,3737,71.9,18.3,9.3,0.5,7.0
28017,Chickasaw County,17305,8393,8912,4.4,50.5,43.3,0.1,0.1,0.0,12698,33579,2547,22.9,33.5,19.7,12.1,23.4,6.8,38.1,82.0,14.3,0.0,1.3,1.2,1.3,24.1,6746,77.5,16.6,6.0,0.0,7.6
28019,Choctaw County,8360,4100,4260,0.5,67.6,30.9,0.5,0.1,0.1,6474,34542,2680,24.5,44.6,31.0,13.4,20.9,16.4,18.3,83.0,10.8,0.4,1.3,2.5,2.0,29.3,3046,70.6,21.4,7.3,0.7,10.4
28021,Claiborne County,9106,4269,4837,0.4,12.1,86.9,0.2,0.4,0.0,7081,24601,2695,45.9,66.6,25.0,25.2,20.7,9.6,19.5,85.1,5.4,0.5,3.9,2.2,2.9,22.4,2394,63.7,31.5,4.6,0.2,17.7
28023,Clarke County,16089,7575,8514,0.9,63.4,35.1,0.1,0.0,0.0,12397,37626,2904,18.5,27.1,26.2,16.6,21.0,20.3,16.0,83.1,9.4,0.0,2.9,2.8,1.8,32.0,6137,79.0,15.0,5.7,0.3,9.1
28025,Clay County,19990,9273,10717,0.6,39.2,59.0,0.3,0.7,0.0,15184,34118,4893,26.6,43.2,27.6,19.6,19.1,11.8,21.9,86.9,7.2,0.0,1.8,0.5,3.5,22.2,7663,75.6,16.9,7.5,0.0,11.3
28027,Coahoma County,24296,11202,13094,0.1,21.6,77.1,0.1,0.5,0.0,17491,28728,2702,36.2,52.2,29.9,24.0,21.1,10.0,14.9,79.6,13.5,0.8,3.1,1.3,1.7,21.8,8402,72.2,21.4,6.2,0.2,19.0
28029,Copiah County,28748,13762,14986,3.0,44.4,51.7,0.0,0.2,0.0,21679,38046,2544,24.3,38.5,28.1,19.8,23.4,9.3,19.4,84.1,11.6,0.4,1.6,0.7,1.6,31.5,10312,80.8,15.5,3.6,0.1,12.3
28031,Covington County,19172,9219,9953,2.4,60.7,35.6,0.0,0.2,0.1,14268,36471,3535,23.1,35.5,24.4,16.0,24.5,17.9,17.2,80.5,16.1,0.3,1.0,1.2,0.8,26.1,7377,77.7,16.1,6.1,0.1,8.8
28033,DeSoto County,173267,83838,89429,4.8,66.6,25.3,0.1,1.2,0.0,124156,62595,1212,9.8,12.5,32.7,15.1,26.0,10.4,15.8,88.6,8.1,0.1,0.4,0.6,2.1,24.9,85681,82.3,12.4,5.2,0.0,6.1
28035,Forrest County,75835,36106,39729,3.0,57.1,36.8,0.2,0.9,0.0,57023,39555,2944,26.3,33.3,34.0,17.2,26.2,9.3,13.4,79.6,8.5,0.3,2.1,8.3,1.2,21.6,32089,77.9,18.8,3.2,0.0,11.9
28037,Franklin County,7772,3752,4020,0.8,63.2,36.0,0.0,0.0,0.0,5877,42388,6189,17.9,24.0,28.2,13.1,19.1,22.6,16.9,85.1,8.1,0.0,2.0,2.9,1.9,31.4,2883,72.4,17.9,9.8,0.0,7.4
