CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
29001,Missouri,Adair County,25437,12013,13424,2.3,90.5,2.4,0.2,2.3,0.1,20169,38750,2130,21778,1702,26.2,20.7,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4.0,2.6,4.0,17.1,11274,73.6,20.9,5.3,0.2,5.5
29003,Missouri,Andrew County,17358,8622,8736,2.3,94.9,1.3,0.1,0.1,0.0,13329,56658,5755,28003,1772,9.0,8.3,35.4,14.9,22.6,10.6,16.5,86.8,6.6,0.0,2.2,0.5,3.8,22.5,8504,78.3,16.1,5.4,0.1,4.2
29005,Missouri,Atchison County,5335,2642,2693,1.2,96.6,0.4,0.4,0.6,0.0,4283,45259,3028,28209,1640,12.1,15.8,31.9,21.6,18.4,10.5,17.6,83.9,8.1,0.4,3.7,0.5,3.5,17.9,2666,75.1,17.0,7.7,0.2,4.1
29007,Missouri,Audrain County,25763,11744,14019,2.9,87.1,6.1,0.2,0.2,0.0,19551,44056,2242,21226,1233,16.7,26.7,26.8,20.5,20.8,10.3,21.5,80.8,10.0,0.0,3.1,2.0,4.1,21.0,10622,77.7,15.5,6.6,0.2,7.4
29009,Missouri,Barry County,35398,17782,17616,9.0,86.5,0.3,0.6,1.5,0.0,25988,40638,2557,20840,1534,20.5,32.4,24.7,15.6,20.1,13.1,26.5,79.8,11.6,0.4,2.2,1.3,4.7,23.4,14330,80.4,10.5,9.0,0.0,8.0
29011,Missouri,Barton County,11942,5924,6018,2.5,92.7,0.2,1.9,0.6,0.0,8885,41184,2834,24628,1992,20.9,29.4,32.7,11.7,22.7,11.5,21.4,81.8,6.4,0.3,4.0,1.5,5.9,22.8,5304,73.7,14.6,11.0,0.7,5.4
29013,Missouri,Bates County,16405,8010,8395,2.1,94.5,1.2,0.4,0.2,0.1,12386,45605,2524,25873,3331,14.3,19.2,27.1,20.1,20.9,16.1,15.9,74.6,12.7,0.6,3.0,1.0,8.1,30.1,7261,74.5,13.6,11.6,0.3,5.2
29015,Missouri,Benton County,18918,9308,9610,1.9,95.3,0.4,0.4,0.1,0.0,15524,35097,2364,20163,964,18.6,28.4,31.0,18.5,21.4,11.5,17.6,75.8,14.0,0.6,1.5,1.4,6.7,27.4,6177,73.2,16.0,10.8,0.0,9.7
29017,Missouri,Bollinger County,12347,6180,6167,1.2,96.5,0.4,0.7,0.4,0.0,9592,40791,3471,20687,1326,19.9,29.2,24.4,17.5,19.0,16.8,22.3,71.2,18.2,1.0,4.5,1.1,4.1,32.6,4995,80.3,9.9,9.7,0.0,5.1
29019,Missouri,Boone County,174589,84812,89777,3.3,79.5,8.5,0.1,4.2,0.1,133063,52005,1208,28495,778,18.7,15.2,44.8,17.9,23.1,6.3,7.9,77.7,11.0,1.1,3.9,2.1,4.2,17.9,92859,74.0,21.1,4.7,0.2,4.4
