CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
30001,Beaverhead County,9360,4694,4666,4.2,91.3,0.1,2.0,0.6,0.0,7524,43880,5838,16.1,9.4,34.1,19.4,21.8,15.0,9.7,70.4,8.0,0.0,10.8,2.7,8.0,14.2,4647,69.0,17.4,13.0,0.6,4.6
30003,Big Horn County,13290,6566,6724,5.6,27.7,0.1,65.0,0.1,0.0,8749,47276,4170,26.8,34.3,33.9,22.6,22.7,14.0,6.8,70.0,11.1,0.5,7.1,1.3,10.0,18.1,4789,46.9,45.5,7.1,0.5,15.9
30005,Blaine County,6646,3316,3330,2.5,46.2,0.2,49.1,0.0,0.2,4624,35506,2516,32.7,44.2,37.2,15.2,20.2,18.4,9.1,68.4,13.7,0.9,7.6,0.8,8.6,15.5,2494,53.1,37.4,8.1,1.4,16.8
30007,Broadwater County,5755,2896,2859,2.6,94.4,0.1,1.5,0.0,0.0,4584,55295,4990,7.8,4.0,36.4,17.6,15.4,18.7,11.8,74.3,10.7,0.0,5.4,1.3,8.2,26.5,2621,62.6,23.5,13.2,0.8,4.1
30009,Carbon County,10466,5271,5195,2.4,94.6,0.2,0.8,0.3,0.0,8515,56988,4501,9.9,10.9,38.5,18.6,19.5,15.1,8.3,61.9,12.6,1.1,8.5,3.0,12.9,27.5,5127,74.3,13.9,11.4,0.4,4.0
30011,Carter County,1320,660,660,0.3,97.7,0.0,0.4,0.0,0.0,1064,45347,7344,11.8,18.6,49.8,12.4,13.2,18.1,6.6,49.6,9.8,0.0,11.0,5.0,24.5,18.0,607,47.6,15.8,33.3,3.3,2.9
30013,Cascade County,81816,41259,40557,4.2,85.8,1.3,4.2,0.8,0.1,62743,46827,1361,13.1,17.3,35.6,19.9,23.5,11.6,9.3,79.8,11.2,0.7,3.8,1.1,3.4,15.3,36927,75.0,17.2,7.5,0.4,4.6
30015,Chouteau County,5812,2884,2928,2.3,76.5,0.1,19.1,0.4,0.0,4363,39577,2805,20.3,26.7,39.0,19.2,20.1,12.0,9.8,63.7,9.2,0.7,8.5,2.7,15.3,17.2,2490,62.2,22.9,13.5,1.3,3.5
30017,Custer County,11895,5916,5979,3.2,92.4,0.5,1.3,0.4,0.0,9232,53050,8518,9.8,9.8,33.8,16.7,27.6,12.3,9.5,77.1,10.0,0.7,3.5,1.7,7.0,12.8,6417,73.1,16.8,9.8,0.3,1.7
30019,Daniels County,1788,926,862,2.8,96.6,0.0,0.6,0.0,0.0,1397,53591,3318,4.6,1.8,47.7,13.8,20.8,13.6,4.1,78.3,7.2,0.0,5.8,0.3,8.4,11.4,925,62.3,13.8,23.9,0.0,1.7
30021,Dawson County,9324,4869,4455,3.0,92.6,0.5,2.1,0.4,0.0,7122,59622,4284,12.3,23.2,33.9,19.5,17.9,15.9,12.9,74.4,10.4,0.2,5.5,1.4,8.1,17.4,4805,70.8,16.4,11.8,1.0,1.1
30023,Deer Lodge County,9131,4778,4353,3.3,90.5,0.4,1.3,0.5,0.0,7666,41235,2892,18.8,24.3,29.6,24.7,20.2,13.8,11.8,73.5,11.3,0.2,4.2,1.5,9.3,17.2,3881,62.4,31.4,6.2,0.1,2.3
30025,Fallon County,2925,1526,1399,1.8,93.8,1.4,0.5,1.0,0.0,2135,56806,11052,5.8,9.5,25.3,17.4,18.2,23.1,16.0,74.6,5.4,0.0,9.9,0.4,9.6,13.1,1601,71.2,18.1,10.6,0.2,1.7
