CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
31001,Nebraska,Adams County,31564,15981,15583,9.4,86.9,0.6,0.1,1.3,0.0,23151,51721,2585,28085,1682,12.4,18.0,33.4,19.4,20.4,10.1,16.7,83.0,9.3,0.7,1.8,1.3,3.9,15.3,15890,78.0,15.1,6.7,0.1,4.2
31003,Nebraska,Antelope County,6406,3213,3193,3.2,95.3,0.2,0.3,0.4,0.0,4851,46949,2107,28091,2085,11.5,14.6,36.2,15.0,18.9,17.2,12.7,76.7,7.4,0.0,4.9,1.2,9.8,16.0,3203,72.0,13.1,14.8,0.1,1.9
31005,Nebraska,Arthur County,421,204,217,0.0,97.6,0.0,0.0,0.0,0.0,289,41250,6988,21799,3647,10.9,8.3,46.9,9.6,11.3,20.3,11.9,64.5,14.2,0.0,7.7,0.0,13.6,20.8,177,60.5,16.9,21.5,1.1,0.6
31007,Nebraska,Banner County,728,356,372,7.8,89.4,0.5,0.0,0.0,0.0,554,55000,8235,30736,7156,8.9,10.5,52.0,5.5,17.3,13.8,11.3,62.5,10.9,0.0,5.1,0.0,21.5,24.8,398,50.3,24.6,25.1,0.0,3.2
31009,Nebraska,Blaine County,502,256,246,0.0,98.0,0.0,0.0,0.6,1.4,396,52000,2382,28503,4324,9.8,15.1,44.7,9.6,11.7,22.7,11.3,55.6,10.1,0.4,7.6,2.5,23.8,20.6,282,65.2,16.0,18.8,0.0,1.1
31011,Nebraska,Boone County,5357,2691,2666,2.0,96.7,0.5,0.0,0.1,0.1,4080,53854,2563,28861,1576,7.3,6.6,34.3,17.7,17.6,15.1,15.4,75.8,6.9,0.0,3.8,0.7,12.9,15.5,2769,70.4,12.5,17.0,0.2,1.7
31013,Nebraska,Box Butte County,11200,5671,5529,12.1,82.3,0.6,2.8,0.3,0.3,8217,56328,5202,28483,1583,10.9,14.3,30.0,12.1,19.4,15.3,23.4,83.7,8.5,0.1,2.3,1.8,3.7,10.8,5509,76.2,14.1,9.6,0.1,5.1
31015,Nebraska,Boyd County,2049,1038,1011,0.7,95.0,0.5,1.5,0.9,0.0,1563,48750,7047,26413,3070,9.8,5.6,43.4,12.0,15.2,17.5,11.9,65.1,5.4,0.0,8.0,1.1,20.5,17.2,1020,54.8,17.5,26.2,1.5,1.6
31017,Nebraska,Brown County,3058,1468,1590,1.2,96.5,0.0,0.2,0.4,0.0,2401,42773,6964,29664,4110,16.0,22.3,40.2,19.2,18.7,12.0,9.9,74.5,6.7,0.0,8.5,1.8,8.4,14.5,1584,66.1,15.8,17.9,0.2,0.6
31019,Nebraska,Buffalo County,48834,24367,24467,8.7,87.4,1.1,0.1,1.3,0.0,36221,55053,2413,28553,1068,14.4,15.0,33.4,18.2,25.4,9.6,13.4,82.0,9.3,0.2,3.5,1.7,3.5,14.6,27447,81.0,13.1,5.7,0.2,3.1
