CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
32001,Churchill County,24022,12177,11845,13.4,73.9,2.4,4.0,2.4,0.2,17384,46914,3854,13.8,15.3,30.3,20.3,20.0,16.0,13.4,81.3,10.7,0.1,2.6,2.1,3.2,20.1,9228,69.7,22.3,7.7,0.2,7.8
32003,Clark County,2112436,1056002,1056434,30.7,44.1,10.8,0.4,9.5,0.7,1384810,54882,434,14.6,21.2,27.2,29.2,26.1,7.9,9.6,78.9,9.9,3.7,1.6,2.3,3.6,24.5,982033,84.5,10.5,4.9,0.1,8.3
32005,Douglas County,47632,24047,23585,12.3,81.1,0.6,1.8,1.3,0.2,37474,61176,1683,9.8,13.5,36.1,23.7,21.4,10.0,8.7,79.5,10.5,0.2,1.2,1.2,7.5,23.9,20744,71.5,19.3,9.1,0.2,6.2
32007,Elko County,52377,27185,25192,24.2,67.2,0.8,5.2,1.0,0.2,35352,76178,4026,11.5,16.2,25.8,20.2,20.7,21.6,11.6,60.7,13.3,14.8,5.6,1.2,4.4,31.3,26482,82.5,14.1,3.2,0.2,4.4
32009,Esmeralda County,1102,485,617,15.6,80.0,0.7,2.4,0.0,0.0,807,39405,8125,6.8,8.9,31.0,15.4,9.8,28.1,15.8,64.5,8.1,0.0,14.8,3.6,9.0,15.9,449,71.5,16.9,10.7,0.9,3.9
32011,Eureka County,1728,849,879,1.6,96.7,0.1,1.7,0.0,0.0,1306,67159,29806,10.0,0.0,30.6,13.6,17.7,25.3,12.7,53.4,8.8,8.6,24.7,0.0,4.4,22.5,904,55.1,28.4,16.5,0.0,0.0
32013,Humboldt County,17088,8879,8209,26.5,65.8,0.6,4.5,0.3,0.0,11405,69324,7633,9.1,9.7,22.5,14.8,22.3,23.2,17.1,64.3,12.0,14.5,3.0,1.2,5.0,29.9,8394,78.2,12.6,9.0,0.2,7.3
32015,Lander County,5887,3276,2611,26.8,67.8,0.1,4.2,0.1,0.5,3910,79865,9671,13.2,22.3,22.1,15.4,14.7,34.8,13.1,57.6,22.8,11.2,5.1,1.4,2.0,23.6,2683,79.2,16.0,4.7,0.0,7.6
32017,Lincoln County,5203,2780,2423,8.7,83.7,2.6,3.2,1.0,0.0,4157,52971,6740,12.1,25.2,37.1,22.9,20.7,15.4,3.9,79.0,11.5,0.0,3.0,1.3,5.2,13.2,1793,45.1,48.6,6.0,0.3,9.3
32019,Lyon County,52303,26400,25903,16.2,76.1,0.9,1.9,1.1,0.2,38606,50920,1612,13.7,18.3,25.1,20.6,23.5,13.4,17.4,79.7,14.6,0.1,0.8,1.7,3.1,29.6,20991,78.1,16.1,5.7,0.1,9.8
32021,Mineral County,4471,2165,2306,11.1,58.1,0.8,21.6,4.6,0.0,3392,39375,7830,20.3,41.4,23.8,21.6,22.4,18.4,13.8,77.0,5.0,0.0,8.5,1.2,8.3,13.1,1685,55.0,41.2,3.8,0.0,20.6
32023,Nye County,43296,21789,21507,14.2,77.2,3.0,1.5,1.6,0.4,34245,44225,3588,17.3,26.7,24.3,23.2,24.0,15.6,12.9,72.9,14.1,1.1,4.6,2.2,5.1,24.4,14551,77.8,16.0,6.0,0.3,11.4
32027,Pershing County,6661,4337,2324,23.8,66.1,4.7,2.8,1.3,0.5,5112,52308,8717,15.0,22.8,35.1,14.4,16.9,22.8,10.7,74.4,13.4,1.0,5.6,0.7,4.8,16.7,2211,64.9,28.9,6.2,0.0,4.2
32029,Storey County,3891,1894,1997,6.7,86.7,0.7,1.4,1.9,0.0,3366,63607,7565,7.7,16.4,30.3,23.4,28.4,11.9,6.0,82.8,6.9,1.6,3.7,0.4,4.5,26.7,1768,74.4,14.5,11.1,0.0,4.2
32031,Washoe County,445551,224212,221339,23.9,63.7,2.1,1.3,5.2,0.6,315259,58595,1146,13.3,16.9,33.8,20.9,25.7,8.0,11.5,77.8,11.3,1.9,2.8,1.9,4.3,21.4,219548,80.5,13.8,5.6,0.1,6.8
32033,White Pine County,9858,5820,4038,15.3,72.7,4.7,5.7,0.8,0.2,7475,60358,4355,13.0,21.3,34.1,22.7,18.1,17.3,7.8,77.8,8.2,1.7,10.2,0.7,1.3,14.2,3567,59.2,34.9,5.9,0.0,6.2
32510,Carson City,54219,27794,26425,23.4,68.1,1.6,2.0,2.4,0.1,39650,49341,2023,14.7,22.8,30.3,22.4,23.6,10.2,13.5,80.0,12.3,0.3,3.0,1.7,2.8,18.5,24327,71.3,24.4,4.0,0.2,7.7
