CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
33001,Belknap County,60383,29705,30678,1.6,95.3,0.5,0.2,1.0,0.0,48302,65834,3253,1228,9.1,14.0,37.5,17.8,23.6,11.3,9.8,81.8,9.8,0.0,1.5,2.0,4.9,26.4,30674,75.3,15.7,8.9,0.1,4.9
33003,Carroll County,47524,23734,23790,1.4,96.1,0.5,0.1,0.6,0.0,39147,58139,3515,1604,9.2,11.5,32.5,21.3,23.6,12.7,9.9,82.0,7.7,0.3,2.2,1.5,6.2,26.2,23324,71.9,14.5,13.5,0.1,4.7
33005,Cheshire County,76109,37199,38910,1.7,94.5,0.7,0.2,1.3,0.0,61273,60148,1832,1068,10.2,13.2,37.4,17.6,22.1,9.6,13.3,76.7,8.4,0.4,3.4,1.7,9.5,23.4,40037,78.4,14.2,7.3,0.1,4.5
33007,Coos County,32119,16923,15196,1.7,93.6,2.3,0.4,0.6,0.1,26377,45386,1718,696,13.3,19.4,31.6,22.5,21.9,11.5,12.4,79.0,10.4,0.1,3.2,1.6,5.7,20.8,14728,72.3,18.7,8.8,0.2,6.1
33009,Grafton County,89280,43952,45328,2.2,91.2,1.0,0.4,3.4,0.1,71329,61036,2543,1138,10.9,14.5,41.9,19.1,19.8,8.9,10.2,73.7,8.7,1.6,7.8,3.0,5.3,22.0,45847,75.8,15.7,8.3,0.2,4.0
33011,Hillsborough County,406371,201775,204596,6.3,85.7,2.1,0.1,3.8,0.0,303819,75777,1259,461,8.6,10.9,41.4,15.1,24.5,7.9,11.1,81.5,8.4,0.8,2.2,1.0,6.1,27.9,219781,83.2,11.2,5.5,0.1,4.8
33013,Merrimack County,147958,72864,75094,2.0,93.1,1.2,0.1,1.8,0.0,115569,69856,1417,635,7.7,9.1,39.3,16.5,24.0,9.2,10.9,81.1,8.2,0.4,2.5,1.2,6.6,26.3,77527,76.6,16.4,6.9,0.1,4.0
33015,Rockingham County,302479,149778,152701,2.7,93.2,0.7,0.1,1.9,0.0,235982,85619,1358,698,4.8,5.7,43.6,13.4,24.7,8.4,9.9,83.8,6.2,0.8,1.7,0.9,6.6,30.2,170757,82.3,11.3,6.2,0.1,4.3
33017,Strafford County,126552,61938,64614,2.2,91.4,0.8,0.0,3.2,0.0,98519,67805,2346,883,9.5,9.3,38.1,17.8,23.5,7.8,12.8,78.9,8.4,2.4,4.8,1.7,3.9,26.7,69103,79.0,16.1,4.9,0.0,4.4
33019,Sullivan County,43073,21263,21810,1.4,95.4,0.4,0.3,0.6,0.0,34368,59419,3601,1262,9.4,12.3,35.0,14.7,23.6,9.1,17.6,80.3,10.3,0.3,3.1,1.1,4.8,24.1,21646,80.4,12.8,6.8,0.1,3.7
