CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
34001,Atlantic County,272926,132171,140755,18.5,56.4,14.3,0.2,8.4,0.0,195390,57514,1710,15.3,24.4,31.0,29.3,23.1,8.2,8.4,77.1,7.5,6.5,3.5,2.9,2.5,24.2,127737,79.6,15.7,4.7,0.1,10.9
34003,Bergen County,937920,454204,483716,18.9,57.8,5.3,0.1,16.2,0.0,637924,91572,1122,7.2,8.5,47.9,13.5,24.3,6.3,8.0,68.7,7.4,14.9,2.8,1.4,4.7,32.3,473672,83.2,11.3,5.3,0.2,5.2
34005,Burlington County,449192,220995,228197,7.6,68.3,15.7,0.0,4.8,0.0,338998,82839,930,6.4,8.9,43.8,14.6,25.3,6.6,9.7,83.1,7.1,3.6,1.4,1.0,3.8,29.3,223990,78.2,17.5,4.1,0.2,6.9
34007,Camden County,510996,246942,264054,16.1,57.5,18.1,0.1,5.7,0.0,371154,65037,975,13.1,19.3,39.3,17.9,25.2,6.8,10.8,76.8,9.2,7.4,2.0,1.3,3.4,28.3,248241,82.4,13.4,4.0,0.2,7.9
34009,Cape May County,94549,46158,48391,7.4,85.6,4.5,0.0,1.0,0.0,75563,62332,1965,10.6,14.5,34.6,22.6,24.9,10.8,7.0,79.3,6.1,2.1,5.1,2.8,4.5,22.9,42170,71.2,22.0,6.5,0.3,8.4
34011,Cumberland County,154952,79550,75402,29.7,47.4,17.7,0.5,1.3,0.0,107876,50000,1518,18.8,27.9,26.1,22.1,21.2,12.2,18.3,81.7,10.2,1.9,2.5,2.0,1.7,23.6,62714,76.8,19.2,3.7,0.2,9.0
34013,Essex County,800401,384515,415886,22.4,31.1,38.8,0.1,5.1,0.0,521054,57365,959,16.7,23.3,37.9,20.2,23.4,7.1,11.3,61.8,7.9,21.1,4.4,1.2,3.6,34.4,371793,80.0,14.7,5.1,0.2,10.4
34015,Gloucester County,291372,141589,149783,5.8,79.1,9.9,0.0,3.0,0.0,219949,81489,1248,7.9,10.4,41.7,14.9,24.9,8.4,10.1,85.6,6.4,2.3,1.3,1.2,3.3,29.9,145749,80.6,15.5,3.8,0.1,7.4
34017,Hudson County,679756,337345,342411,43.2,28.8,10.8,0.1,15.0,0.1,398510,62681,990,17.1,25.8,39.9,18.1,22.4,5.9,13.6,37.0,7.8,42.4,7.9,2.0,2.9,35.7,354105,85.2,10.3,4.4,0.1,7.1
34019,Hunterdon County,125717,62901,62816,6.2,86.3,2.5,0.1,3.8,0.0,95691,110969,2182,4.5,4.9,51.7,12.9,23.2,6.7,5.5,80.7,5.5,2.6,1.8,0.7,8.7,33.9,66382,79.5,13.7,6.6,0.1,4.4
34021,Mercer County,373362,182693,190669,16.9,50.8,19.7,0.0,10.7,0.0,251832,77027,1571,11.3,15.5,44.7,17.2,22.5,6.1,9.4,71.1,10.6,7.9,3.4,1.9,5.0,28.3,181602,80.0,16.0,3.9,0.1,7.5
34023,Middlesex County,837288,412127,425161,20.4,44.3,9.3,0.1,23.9,0.0,540851,83133,856,8.6,11.0,45.1,13.9,23.2,6.5,11.3,72.9,8.5,9.6,2.4,2.3,4.2,33.3,408838,83.3,12.8,3.7,0.1,6.4
34025,Monmouth County,627551,305192,322359,10.6,75.4,6.7,0.1,5.4,0.0,457219,91807,1342,7.6,9.9,44.6,15.5,24.8,7.6,7.5,75.8,7.1,7.9,2.0,2.0,5.2,33.6,314470,80.8,13.8,5.3,0.2,6.0
34027,Morris County,498847,244480,254367,13.0,72.0,3.0,0.0,10.1,0.0,354414,107034,1215,4.6,4.8,51.0,12.9,23.9,5.3,6.9,79.2,6.8,5.4,2.0,0.9,5.6,30.9,262461,82.9,11.6,5.4,0.1,5.2
34029,Ocean County,589699,283959,305740,9.0,84.9,2.8,0.0,1.9,0.0,431866,65771,928,10.9,18.7,35.1,18.9,27.7,9.8,8.4,82.8,7.3,1.9,1.6,1.7,4.8,30.7,253628,78.9,15.6,5.3,0.2,6.7
34031,Passaic County,510563,248308,262255,40.5,42.0,10.6,0.2,5.2,0.0,327162,63339,1461,17.0,26.3,32.3,17.2,24.2,7.8,18.4,70.7,11.5,9.1,3.5,1.9,3.2,27.6,238552,84.5,11.2,4.2,0.1,6.0
34033,Salem County,63776,31105,32671,8.3,75.1,13.1,0.2,0.9,0.0,47932,63934,3042,14.2,26.2,32.5,16.5,22.3,12.1,16.6,83.8,8.9,1.1,1.8,1.9,2.5,25.6,29365,80.4,15.4,4.2,0.1,8.0
34035,Somerset County,333316,162775,170541,14.4,57.7,9.0,0.1,17.0,0.0,225857,106046,1955,4.8,4.9,52.2,12.7,22.7,5.3,7.2,78.3,7.8,5.1,2.0,0.8,5.9,32.0,174463,85.4,10.6,3.9,0.1,4.9
34037,Sussex County,143570,71475,72095,7.5,87.2,2.0,0.0,2.0,0.0,110077,89238,2184,5.3,6.3,39.5,16.3,25.5,9.4,9.3,83.8,7.3,1.8,1.2,0.7,5.2,38.2,75370,79.7,14.4,5.8,0.1,6.4
34039,Union County,557320,271607,285713,30.7,40.7,20.1,0.1,4.9,0.0,352205,73376,1330,10.3,14.4,37.1,17.2,23.9,7.4,14.4,68.6,7.9,11.7,2.8,5.3,3.7,31.1,278003,82.8,12.9,4.1,0.1,7.4
34041,Warren County,107088,52230,54858,8.6,82.9,4.2,0.1,2.9,0.0,80808,75500,2277,8.2,12.3,36.5,16.9,26.1,9.4,11.1,80.9,9.0,1.1,2.9,1.2,4.9,35.4,54719,80.1,14.0,5.8,0.1,7.4
