CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
35001,Bernalillo County,674855,330743,344112,49.5,39.5,2.5,4.0,2.3,0.1,483669,50386,670,388,18.0,25.5,40.2,19.9,23.9,8.3,7.7,80.2,9.1,1.8,1.9,2.5,4.4,21.9,313658,74.3,19.8,5.7,0.2,6.7
35003,Catron County,3547,1861,1686,15.8,83.3,0.3,0.1,0.3,0.0,3023,42047,6181,2766,21.5,33.1,39.2,12.5,29.6,17.4,1.3,58.1,4.6,0.0,17.6,3.7,15.9,14.6,919,60.4,24.9,14.7,0.0,0.0
35005,Chaves County,65454,32536,32918,55.6,40.4,1.5,0.8,0.6,0.0,43143,42177,2361,801,21.2,30.9,28.3,21.5,23.6,14.3,12.3,80.9,11.3,0.9,1.8,1.2,3.9,19.8,26659,72.4,20.9,6.5,0.1,6.3
35006,Cibola County,27049,13678,13371,38.0,20.0,1.0,39.2,0.4,0.0,19394,36089,1706,1036,28.5,40.2,28.1,26.9,22.5,12.1,10.4,69.7,13.3,0.4,3.1,6.0,7.5,23.4,9600,63.7,28.9,7.2,0.2,16.0
35007,Colfax County,12522,6317,6205,49.2,47.2,0.6,1.0,0.3,0.0,9964,33042,4075,1407,23.5,35.0,33.0,24.6,23.8,12.6,5.9,75.4,15.9,0.1,3.5,0.5,4.6,15.6,4663,71.0,20.5,8.0,0.5,10.0
35009,Curry County,50283,26139,24144,41.0,49.1,5.5,0.9,1.4,0.1,34060,41941,1840,1522,22.5,34.2,28.5,18.9,20.4,17.2,15.0,83.6,10.5,0.1,1.9,2.7,1.2,14.3,20509,70.3,24.8,4.8,0.1,7.8
35011,De Baca County,2016,926,1090,46.0,52.2,1.5,0.0,0.0,0.0,1497,31439,8487,8560,22.7,22.4,32.9,16.9,13.9,18.7,17.6,70.7,9.0,0.0,4.4,5.9,9.9,10.3,675,60.4,35.6,4.0,0.0,6.6
35013,Doña Ana County,213849,105094,108755,67.7,28.0,1.6,0.7,1.0,0.0,138062,39114,1347,612,27.9,41.0,32.2,24.3,24.4,10.6,8.5,81.1,10.4,0.4,2.2,1.6,4.2,20.8,88633,70.5,22.9,6.5,0.1,9.3
35015,Eddy County,56793,28792,28001,47.5,48.5,1.4,1.3,0.5,0.0,39729,60703,3524,1075,14.6,20.3,26.4,17.2,23.4,18.8,14.2,86.0,9.3,0.5,1.4,1.0,1.8,17.7,26191,78.0,16.5,5.4,0.0,5.1
35017,Grant County,28382,13940,14442,50.0,46.5,0.7,1.5,0.1,0.0,22051,40470,2626,1637,22.0,32.0,32.3,25.2,20.6,16.2,5.8,84.0,5.7,0.4,3.4,1.4,5.1,16.4,10647,68.0,25.7,5.7,0.7,8.1
35019,Guadalupe County,4426,2645,1781,82.1,15.1,1.3,1.3,0.0,0.0,3575,26060,5152,2125,13.0,19.8,32.2,31.0,27.7,7.5,1.5,81.8,9.2,0.0,2.4,3.4,3.1,18.3,1374,52.3,42.6,5.2,0.0,1.5
35021,Harding County,546,291,255,37.4,62.3,0.0,0.0,0.0,0.0,445,35096,4082,12237,19.8,30.7,42.8,14.4,18.9,19.4,4.5,50.0,20.7,0.0,5.6,0.5,23.2,23.0,201,48.8,34.8,10.4,6.0,6.5
35023,Hidalgo County,4446,2179,2267,57.9,40.8,0.7,0.6,0.0,0.0,3247,31829,8065,1787,26.0,37.7,21.6,29.8,20.9,16.2,11.5,79.7,8.0,0.0,4.1,2.5,5.8,19.9,1614,61.4,33.7,4.5,0.4,9.0
35025,Lea County,69505,35804,33701,56.8,37.2,3.6,0.7,0.0,0.0,40774,59285,2560,885,16.1,22.3,25.0,15.2,21.9,20.1,17.7,84.1,10.9,0.4,1.5,0.9,2.1,20.4,28672,79.2,15.4,5.4,0.1,6.2
35027,Lincoln County,19497,9399,10098,31.9,63.4,0.6,1.6,0.5,0.0,15034,42145,4891,2848,15.4,17.5,28.1,25.0,25.8,11.4,9.8,72.3,14.9,0.1,3.1,2.1,7.6,21.1,7057,63.4,21.4,14.3,0.9,5.2
35028,Los Alamos County,18031,9135,8896,17.2,72.9,0.3,1.0,6.0,0.0,13223,110190,6543,2359,5.1,5.4,67.7,12.6,13.0,4.2,2.5,76.5,9.9,3.3,3.9,3.6,2.9,15.7,9122,61.6,34.3,3.8,0.3,3.7
35029,Luna County,24319,12057,12262,65.9,31.0,1.2,0.8,0.5,0.0,14774,27602,1859,1191,31.8,42.5,21.7,24.1,21.9,15.6,16.7,79.2,11.6,0.8,2.3,1.6,4.5,17.8,7895,73.0,19.3,7.6,0.0,11.4
35031,McKinley County,72849,35209,37640,14.1,9.1,0.5,73.3,0.9,0.0,50540,30336,1354,634,37.5,45.7,29.4,25.1,22.0,9.7,13.8,74.8,9.7,0.6,3.7,1.6,9.5,22.1,23207,56.9,35.7,7.4,0.0,16.1
35033,Mora County,4605,2286,2319,79.0,14.0,0.1,0.0,0.0,0.0,3764,26644,8160,2803,20.3,29.7,24.0,28.7,24.7,12.5,10.1,78.7,15.2,0.0,1.3,0.0,4.8,31.0,1245,61.4,33.9,4.7,0.0,8.2
35035,Otero County,65130,33478,31652,37.5,49.8,3.1,6.2,1.2,0.0,44487,43533,1693,1741,21.4,32.5,27.5,26.0,24.9,15.5,6.2,78.5,13.4,0.6,2.9,1.5,3.1,18.5,23707,64.3,29.0,6.2,0.6,9.3
35037,Quay County,8447,4057,4390,44.7,50.4,1.6,1.0,0.7,0.2,6454,26663,1293,1475,21.6,37.2,33.8,21.7,20.0,13.1,11.3,75.8,12.8,0.3,1.7,1.1,8.3,15.5,3015,70.1,22.1,7.0,0.8,4.0
35039,Rio Arriba County,39455,19338,20117,71.4,12.9,0.4,14.0,0.4,0.0,29026,33422,2549,963,26.4,33.2,37.4,25.4,21.7,8.4,7.0,85.1,7.6,1.3,0.9,1.2,3.9,27.2,13786,56.1,37.4,6.5,0.1,8.9
35041,Roosevelt County,19313,9665,9648,41.0,53.1,2.8,0.5,0.5,0.0,13132,35928,3076,1522,27.5,37.8,33.5,24.4,19.0,12.1,11.1,75.5,13.1,0.2,5.5,3.4,2.3,17.6,7650,64.9,27.8,6.8,0.4,10.7
35043,Sandoval County,138815,67939,70876,37.9,44.6,1.8,12.0,1.3,0.1,102231,60345,1942,669,14.7,19.4,39.7,17.8,25.6,9.4,7.5,81.5,8.8,1.1,1.5,1.4,5.7,28.4,59556,72.2,21.6,6.1,0.1,8.0
35045,San Juan County,128221,63529,64692,19.9,39.2,0.5,37.7,0.6,0.1,89913,49686,1618,715,20.8,27.4,28.3,19.9,23.4,15.9,12.5,84.1,10.0,0.4,1.7,1.2,2.7,23.9,51379,75.9,19.6,4.2,0.3,9.6
35047,San Miguel County,28203,14114,14089,77.6,18.1,1.0,1.1,0.7,0.0,21877,29168,2833,1190,30.9,39.8,33.6,25.9,23.5,10.8,6.2,74.1,10.1,0.6,3.6,2.0,9.6,20.8,9230,56.2,35.7,7.6,0.5,5.3
35049,Santa Fe County,147514,71878,75636,51.2,42.9,0.6,2.5,1.2,0.1,108682,57945,1544,882,14.4,22.0,44.2,19.3,21.9,8.0,6.7,78.0,8.9,1.4,2.3,1.6,7.9,22.3,69630,66.9,21.3,11.5,0.3,5.5
35051,Sierra County,11254,5513,5741,29.9,65.7,0.6,1.1,0.5,0.0,9158,29690,1938,3327,21.2,33.4,32.5,21.6,23.7,11.9,10.2,83.0,8.4,0.1,3.4,1.6,3.6,16.7,3740,58.8,33.3,7.9,0.0,11.4
35053,Socorro County,17098,9066,8032,49.7,35.1,0.1,8.8,2.2,0.0,12467,34008,3304,1225,26.6,35.8,35.7,17.9,21.4,11.3,13.7,70.7,14.1,0.5,7.4,5.6,1.7,16.9,5856,60.9,34.5,4.6,0.0,4.2
35055,Taos County,32809,16054,16755,56.8,35.4,0.2,6.5,0.2,0.0,25642,35314,2651,1416,21.3,28.0,34.7,26.9,22.3,11.0,5.1,69.9,12.3,0.3,3.5,1.7,12.2,20.2,13739,65.2,18.8,15.8,0.2,9.7
35057,Torrance County,15534,8126,7408,42.1,52.2,1.7,1.1,0.2,0.0,11630,35543,5007,1457,27.1,32.0,34.2,20.5,23.4,13.0,8.9,78.7,4.5,0.1,1.8,0.5,14.4,29.6,5326,66.7,24.4,8.9,0.0,7.8
35059,Union County,4216,2285,1931,41.3,52.0,1.3,2.2,0.0,0.0,3138,38240,2505,3971,14.2,26.2,31.7,30.7,12.2,11.8,13.6,75.5,16.0,0.9,2.0,4.1,1.5,15.1,1535,67.4,27.1,5.5,0.0,2.5
35061,Valencia County,75845,38013,37832,60.0,33.6,0.8,3.6,0.5,0.0,53864,43428,2047,678,22.0,29.1,27.6,21.4,23.2,15.8,12.0,80.7,10.1,0.9,1.2,2.2,5.0,28.8,28511,71.4,21.1,6.9,0.5,9.1
